alpha,avg_drawdown,avg_drawdown_r,avg_holding_bars,avg_loss,avg_loss_r,avg_pnl,avg_r_multiple,avg_trade_return,avg_win,avg_win_r,best_month,best_trade,best_trade_r,beta,cagr,cagr_pct,calmar_ratio,cvar_95,expectancy,expectancy_r,exposure_pct,gross_loss,gross_profit,losing_trades,max_consecutive_losses,max_consecutive_wins,max_drawdown,max_drawdown_duration,max_drawdown_pct,max_drawdown_r,median_pnl,median_r_multiple,median_trade_return,payoff_ratio,profit_factor,profitable_months,recovery_factor,selected,sharpe_ratio,sortino_ratio,test_end,test_start,total_fees,total_months,total_return,total_return_pct,total_slippage,total_trades,trades_per_day,train_end,train_start,ulcer_index,var_95,win_rate,window,winning_trades,worst_month,worst_trade,worst_trade_r
0.0,-0.009557142857142856,1.5,4,-995.0,-1.0,-995.0,-1.0,-0.1352060414432126,0.0,0.0,0.0,-989.9999999999999,-1.0,0.0,-0.07833662581305423,-7.833662581305423,-3.9365138599524734,-0.00022222222222222242,-995.0,-1.0,0.0989010989010989,1990.0,0.0,2,2,0,-0.0199,84,1.9900000000000002,2.0,-995.0,-1.0,-0.1352060414432126,0.0,0.0,0,1.0,v3_edge_BTCUSDT_1d_20260608_192634,-11.658785216619812,0.0,2021-04-01,2021-01-01,30.022760529698875,3,-0.0199,-1.9900000000000002,60.02646084005583,2,0.022222222222222223,2021-01-01,2020-01-01,0.01010278494952079,0.0,0.0,1,0,-0.010000000000000009,-1000.0,-1.0
0.0,-0.008152173913043478,1.0000000000000002,4,-1000.0000000000001,-1.0000000000000002,-1000.0000000000001,-1.0000000000000002,-0.08050878083571578,0.0,0.0,0.0,-1000.0000000000001,-1.0000000000000002,0.0,-0.0395365950294253,-3.9536595029425303,-3.9536595029425303,-0.00010989010989010998,-1000.0000000000001,-1.0000000000000002,0.043478260869565216,1000.0000000000001,0.0,1,1,0,-0.01,75,1.0,1.0000000000000002,-1000.0000000000001,-1.0000000000000002,-0.08050878083571578,0.0,0.0,0,1.0,v3_edge_BTCUSDT_1d_20260608_192634,-8.152394645841088,0.0,2021-07-01,2021-04-01,24.842010762542174,3,-0.01,-1.0,47.7299958346366,1,0.01098901098901099,2021-04-01,2020-04-01,0.00902893898143269,0.0,0.0,2,0,0.0,-1000.0000000000001,-1.0000000000000002
0.0,-0.013939427566251413,2.884940386678496,27,-991.9434697109026,-0.9789346970674977,-99.53625401120286,-0.08359364251794804,-0.0012507550075380076,2577.6853930878965,2.602429521130701,0.006790254756555036,4486.295514245985,4.525833566605885,0.0,-0.031241689622720115,-3.1241689622720115,-0.6374560585957431,-0.00010679287604372705,-99.5362540112028,-0.08359364251794804,0.3996383363471971,5951.660818265415,5155.370786175793,6,5,1,-0.04900995010000011,225,4.900995010000011,5.0,-1000.3261047087099,-1.0,-0.050716848191870265,2.598621264011296,0.8662070880037653,1,0.16247517707422485,v3_wf_edge_BTCUSDT_4h_20260608_192533,-0.4279532571903242,-1.8259408972368518,2021-10-01,2021-07-01,293.9390783215914,3,-0.007962900320896442,-0.7962900320896441,595.2272977154569,8,0.08695652173913043,2021-07-01,2020-07-01,0.02242431714959588,0.0,0.25,3,2,-0.0297010000000002,-1036.12687331841,-1.0000000000000002
0.0,-0.0034111986154033054,0.9121332336759232,64,-1008.7214670623796,-1.0,116.9660073006818,0.12034592480791542,0.011938734074374516,567.2409970459064,0.5684842947310816,0.013435622240104195,1694.3616911918361,1.7069972148312573,0.0,0.03290311207459928,3.2903112074599283,3.290311207459906,-3.656307129798906e-05,116.96600730068184,0.12034592480791542,0.8137432188065099,2017.4429341247592,2836.2049852295318,2,1,3,-0.010000000000000068,180,1.0000000000000069,1.0000000000000002,134.8009181915058,0.13480091819150578,0.00904253163119529,0.5623365969377433,1.405841492344358,2,0.8187620511047806,v3_wf_edge_BTCUSDT_4h_20260608_192533,1.1968235134382785,7559116079765.692,2022-01-01,2021-10-01,240.19707031770858,3,0.008187620511047862,0.8187620511047862,475.6874667765331,7,0.07608695652173914,2021-10-01,2020-10-01,0.005629257899009241,0.0,0.7142857142857143,4,5,-0.008738423178692889,-1016.094924942844,-1.0000000000000002
0.0,-0.005545224304940647,1.671190526352943,9,-565.4002914917097,-0.5397916793369945,347.3909284808755,0.34618234138806275,0.022819765548618146,1129.7834027430913,1.1055886448666832,0.012311938567435066,2875.669620559205,2.875669620559205,0.0,0.19633139603364347,19.63313960336435,6.6102621471884335,-6.07645417640142e-05,347.3909284808754,0.34618234138806275,0.22365988909426987,3392.401748950258,7908.48381920164,6,3,4,-0.02970099999999997,147,2.970099999999997,3.0,111.00343880242426,0.10611209664888134,0.006943975472814959,1.9982009555784903,2.3312344481749054,1,1.5205151578234428,v3_edge_ETHUSDT_4h_20260608_191748,3.6704381112615296,1.2849161721811737,2022-04-01,2022-01-01,491.2624305239022,3,0.04516082070251403,4.516082070251403,983.0033254590035,13,0.14444444444444443,2022-01-01,2021-01-01,0.010669954210650241,0.0,0.5384615384615384,5,7,-0.013045287129366145,-1058.9754596364237,-1.0
0.0,-0.009733801937842778,2.0,15,-1040.1400312853964,-1.0,829.9294697344073,0.8402042110944435,0.029038268717994198,5193.4249721139495,5.134014036981479,0.04280792421496815,6340.7401887401,6.152923026867585,0.0,0.3771401490712061,37.71401490712061,9.571115744146862,-0.000128913443830571,829.9294697344073,0.8402042110944435,0.2851919561243144,7280.980218997775,15580.274916341848,7,4,1,-0.039403990000000055,135,3.9403990000000055,4.0,-1023.6145629438056,-1.0,-0.01725624739812885,4.993005572236228,2.1398595309583834,2,2.1062066804260327,v3_edge_BTCUSDT_4h_20260608_191403,2.9696276326111355,186701797832680.66,2022-07-01,2022-04-01,1003.8698119862714,3,0.0829929469734407,8.29929469734407,1970.7600561316258,10,0.10989010989010989,2022-04-01,2021-04-01,0.016132445318739714,0.0,0.3,6,3,-0.010000000000000009,-1093.9322696701422,-1.0
0.0,-0.017296286801294806,1.756739830475436,16,-990.0333333333334,-1.0000000000000002,-263.9151507704846,-0.2567398304754355,-0.004988938033026217,1914.439396918062,1.9730406780982583,0.0197304067809827,1914.439396918062,1.9730406780982583,0.0,-0.04125837435325752,-4.125837435325752,-1.389124081790426,-5.444646098003634e-05,-263.9151507704846,-0.2567398304754355,0.11754068716094032,2970.1000000000004,1914.439396918062,3,3,1,-0.029701000000000057,526,2.9701000000000057,3.0000000000000004,-985.05,-1.0,-0.01845498034868638,1.933712060453919,0.644570686817973,1,0.35542931318202636,v3_edge_BTCUSDT_4h_20260608_191403,-1.2937649862033038,0.0,2022-10-01,2022-07-01,386.3313046295976,3,-0.010556606030819385,-1.0556606030819384,763.3077928623045,4,0.043478260869565216,2022-07-01,2021-07-01,0.019459934296314322,0.0,0.25,7,1,-0.010000000000000009,-1000.0000000000001,-1.0000000000000002
0.0,-0.029910222351842666,3.625,12,-979.9788008547564,-1.0,-684.1481542095121,-0.7000564512960221,-0.010926799513436307,1682.497018952443,1.6994919383358014,0.0,1682.497018952443,1.6994919383358014,0.0,-0.2229904614487931,-22.29904614487931,-3.282425898692983,-0.00014519056261343006,-684.148154209512,-0.7000564512960221,0.19891500904159132,7839.830406838052,1682.497018952443,8,7,1,-0.06793465209300988,357,6.7934652093009875,7.0,-976.9212617499256,-1.0,-0.01479890851079517,1.7168708317822148,0.21460885397277682,0,0.9063612159896746,v3_edge_BTCUSDT_4h_20260608_191403,-6.335452459264698,-226139875532657.1,2023-01-01,2022-10-01,1165.090385767842,3,-0.06157333387885592,-6.157333387885592,2337.158330822619,9,0.09782608695652174,2022-10-01,2021-10-01,0.03932620936005478,0.0,0.1111111111111111,8,1,-0.049009950099999866,-1006.8249701895247,-1.0000000000000002
0.0,-0.005600739371534196,1.0,115,-1000.0,-1.0,-1000.0,-1.0,-0.0350290449861086,0.0,0.0,0.0,-1000.0,-1.0,0.0,-0.0399669931783877,-3.99669931783877,-3.99669931783877,-1.8518518518518535e-05,-1000.0,-1.0,0.21256931608133087,1000.0,0.0,1,1,0,-0.01,303,1.0,1.0,-1000.0,-1.0,-0.0350290449861086,0.0,0.0,0,1.0,family_edge_BTCUSDT_4h_20260608_193935,-3.3466401061363023,0.0,2023-04-01,2023-01-01,57.09547607687095,3,-0.01,-1.0,112.3018206950833,1,0.011111111111111112,2023-01-01,2022-01-01,0.0074838087706288955,0.0,0.0,9,0,-0.010000000000000009,-1000.0,-1.0
0.0,-0.03902394589206833,4.7185735428141955,15,-993.2790649794166,-1.0,-39.032022375005,-0.02251569563116842,0.0006711850480192163,2585.1473447871267,2.6655661413831186,0.026227122246455625,4746.290626295606,5.049430671541397,0.0,-0.023293126539332687,-2.3293126539332687,-0.25572216783406576,-0.00020295202952029518,-39.03202237500511,-0.02251569563116842,0.4113345521023766,10926.069714773583,10340.589379148507,11,7,2,-0.09108763130166815,478,9.108763130166816,9.483912155540146,-978.5232192253012,-1.0,-0.014594206753051267,2.6026395158551923,0.9464143694018881,1,0.06427660125292503,v3_edge_BTCUSDT_4h_20260608_191403,-0.1573619673118705,-6184081189342.727,2023-07-01,2023-04-01,1833.7525508749736,3,-0.005854803356250777,-0.5854803356250776,3684.1473962260093,15,0.16483516483516483,2023-04-01,2022-04-01,0.04684007827819142,0.0,0.26666666666666666,10,4,-0.044246184495928986,-1034.1651543661128,-1.0000000000000002
