candidate,kind,symbol,timeframe,train_expectancy_r,train_max_drawdown_r,train_profit_factor,train_score,train_total_trades,window
family_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,0.721176421164874,6.0,1.8705011246463061,-999990,10,1
family_edge_BTCUSDT_1h_20260608_194104,family:ema_momentum,BTCUSDT,1h,-0.06843410464075583,16.732157118050118,0.8735467847639166,-58.895625005064495,57,1
family_edge_BTCUSDT_4h_20260608_193935,family:squeeze_breakout,BTCUSDT,4h,0.11511499550588135,6.0,1.1266170232124104,-2.9962420271375763,13,1
family_edge_BTCUSDT_4h_20260608_194014,family:channel_breakout,BTCUSDT,4h,0.36584382157152384,7.0,1.7962065659340816,42.16865438671606,20,1
family_edge_ETHUSDT_4h_20260608_194104,family:squeeze_breakout,ETHUSDT,4h,0.559538830993238,11.729816241621625,1.7810337160469019,59.025224731003334,29,1
family_edge_SOLUSDT_4h_20260608_194104,family:squeeze_breakout,SOLUSDT,4h,0.1996084935186936,0.9999999999999999,2.1748520869635746,-999994,6,1
family_wf_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,0.0525302651503577,4.82180626426019,1.0843707989139573,-5.2897788850389045,24,1
family_wf_edge_BTCUSDT_4h_20260608_194317,family:ema_momentum,BTCUSDT,4h,-0.22166307942198693,10.325911735159432,0.5586522993121649,-66.0603686116852,42,1
family_wf_edge_SOLUSDT_4h_20260608_194416,family:channel_breakout,SOLUSDT,4h,0.1211736257000333,0.9999999999999999,1.6315106820885759,-999994,6,1
v3_edge_BTCUSDT_1d_20260608_192634,v3,BTCUSDT,1d,1.061526233910371,2.0,4.293918246082917,202.99841040834824,13,1
v3_edge_BTCUSDT_1h_20260608_191157,v3,BTCUSDT,1h,-0.051807508268932816,10.530270690528184,0.8014590488870029,-40.06050028272956,86,1
