allow_long,allow_short,atr_stop_mult,atr_tp_mult,bb_lookback,bb_std,bb_width_lookback,bb_width_quantile,deploy_score,donchian_lookback,ema_fast,ema_slow,family,max_holding_bars,max_trend_strength,min_holding_bars,pullback_depth,pullback_rsi,range_lookback,rsi_high,rsi_low,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_r_multiple,stress_avg_win,stress_avg_win_r,stress_calmar_ratio,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_max_consecutive_losses,stress_max_drawdown_pct,stress_max_drawdown_r,stress_payoff_ratio,stress_profit_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_win_rate,train_avg_drawdown_r,train_avg_holding_bars,train_avg_loss,train_avg_loss_r,train_avg_r_multiple,train_avg_win,train_avg_win_r,train_calmar_ratio,train_expectancy,train_expectancy_r,train_exposure_pct,train_max_consecutive_losses,train_max_drawdown_pct,train_max_drawdown_r,train_payoff_ratio,train_profit_factor,train_rank,train_score,train_sharpe_ratio,train_sortino_ratio,train_total_fees,train_total_return_pct,train_total_slippage,train_total_trades,train_trades_per_day,train_win_rate,trend_slope_bars,trend_slope_min,trial,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_r_multiple,validation_avg_win,validation_avg_win_r,validation_calmar_ratio,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_max_consecutive_losses,validation_max_drawdown_pct,validation_max_drawdown_r,validation_payoff_ratio,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_win_rate,volatility_max,volatility_min,volume_lookback,volume_min
True,False,2.5951369027444615,11.85848029994542,20,2.0,50,0.15,-1000000,40,30,50,channel_breakout,24,0.07786340692864188,4,0.029155038309206623,45.3181151243135,20,71.75733486796292,41.356476741760474,0.9362800547579868,18,-892.0729214674843,-0.8407573329922448,0.33967066063759727,1139.3586405520862,1.098517227971067,2.71085469375349,344.4506380226891,0.33967066063759727,0.13438607798904287,2,2.041437776543982,2.0193908782411834,1.2772034809416815,1.986760970353727,1.765937130482357,0.5797694794684247,908.8167471904331,7.9223646745218135,1835.3385233040763,23,0.04448742746615087,0.6086956521739131,1.4519845091005317,20,-928.134462348975,-0.7770172056687797,0.528609826722651,1692.871018923506,1.4460774711058186,2.0969376121163186,611.1862171285138,0.528609826722651,0.14820735327700388,4,4.0517305668333226,4.107468608278252,1.823950179200428,2.5956214088621463,1,149.53931406255793,2.2733129984737954,0.9644126902430418,2672.3446803969214,38.504731679096295,2713.5656473982895,63,0.0431605389358301,0.5873015873015873,12,0.006472759570729386,407,1.0989711448010384,18,-1003.1184123824285,-0.9376533018250829,0.3912739725236594,1147.6732880527036,1.100035185509655,3.22029332132875,399.5718270317881,0.3912739725236594,0.13438607798904287,2,1.989999999999999,2.0,1.1441054953093266,2.145197803704987,1.9377559958530775,1.2794238475019117,952.0999105789812,9.190152021731134,962.2532670164458,23,0.04448742746615087,0.6521739130434783,0.2,0.001,75,1.6907491997627238
True,False,1.755950868392487,4.484042610119419,20,1.5,300,0.25,-1000000,24,14,50,channel_breakout,18,0.035804622975862996,6,0.028562166518141963,45.173972253452256,40,68.89797864031007,31.295336257679907,3.7862635136595486,11,-1047.4016084911468,-1.0,0.1290497542939684,1196.9178462155205,1.1640120290634393,0.38548035066246034,123.54767222537527,0.1290497542939684,0.08153399935546246,4,5.186409773198363,5.290207698019387,1.142749673584865,1.2466360075471248,0.7167574530354429,16567304602384.477,1288.1302928124333,2.841596461183668,2584.5468962274626,23,0.04448742746615087,0.5217391304347826,1.9950425849009126,12,-905.3706362936958,-0.7703327557779106,0.5144245138953043,1807.0688328931487,1.5776719094869305,1.2245610321402105,578.7943562802379,0.5144245138953043,0.07581639643754282,7,5.657018512218873,5.796617166512117,1.9959437168083154,2.4117653244767157,2,134.4316074532967,2.23466815714346,0.6940535425493192,3559.952088738472,30.67610088285258,3594.225971988838,53,0.036309659739666586,0.5471698113207547,18,0.006386315499091955,219,3.5252487834444333,11,-1058.938655084418,-1.0,0.19491298977245422,1336.375089238559,1.2902498970638705,0.6046032506646818,190.79025499713515,0.19491298977245422,0.08153399935546246,4,5.095176612814329,5.196150394071307,1.261994812279304,1.3767216133956048,1.0160970208294156,0.0,1376.0261567951093,4.3881758649340625,1381.797504816297,23,0.04448742746615087,0.5217391304347826,0.08,0.0,150,1.4761590741167785
True,False,3.7095311539091935,9.26330251138031,20,2.2,150,0.2,-1000000,8,14,150,channel_breakout,120,0.03037875447797904,2,0.010498450778472276,51.82526373478739,30,70.14190980151015,34.359515718368456,3.9265777314941617,47,-985.6435297357569,-0.9781505744453426,-0.04875866766252676,2165.6775872770954,2.181781908616231,-0.10407787316366136,-58.784377673153244,-0.04875866766252676,0.25813728649693846,7,6.793465209301015,7.0,2.1972219387040424,0.9155091411266845,-0.1946154570252273,-0.274558063285837,497.41302006636465,-0.9993344204436143,993.8241649430382,17,0.03288201160541586,0.29411764705882354,1.6535533895881462,45,-1142.926355692171,-0.9174770970755536,0.4989178166919765,2520.0592407072204,2.133219640269896,1.5638992769641775,557.7455283504036,0.4989178166919765,0.28899292075816396,4,4.50247302290782,4.5104334388213765,2.204918303052903,1.9109291959791832,3,118.07370137374214,1.8751448310662242,0.9810665445462394,1986.6377649654276,31.23374958762259,2019.8933925986519,56,0.03836492349851564,0.4642857142857143,36,0.003407551118618674,529,3.876289896373104,47,-988.0791353053214,-0.9777220384337362,-0.019422696011846496,2268.385131838928,2.2804957258006886,-0.05359998047431192,-30.295527321718623,-0.019422696011846496,0.25813728649693846,7,6.793465209300987,7.0,2.2957524866042087,0.9565635360850869,-0.0752298937042077,-0.1072646101702784,513.1747247981328,-0.5150239644692046,513.1733868825764,17,0.03288201160541586,0.29411764705882354,0.08,0.002,10,0.8063977083312915
True,True,2.798109904181876,4.840874883741051,55,1.8,50,0.2,-1000000,8,30,150,squeeze_breakout,240,0.056651654506834175,3,0.007338824680733129,56.08269556792136,30,71.34940978672077,38.631181120228256,3.7545780282653882,26,-973.4434481281519,-1.0,-0.14276012318841305,1402.0350880325,1.4645646458333124,-0.29236379291058284,-147.19004424618612,-0.14276012318841305,0.19658395101514664,7,8.221796496194896,8.518329763544214,1.440284066556196,0.7681515021633045,-0.8082659108216002,-13871474894221.344,741.8816841112313,-3.385371017662284,1485.5721932999952,23,0.04448742746615087,0.34782608695652173,1.5724535724157729,28,-1142.9742561195044,-1.0,0.45844721953319933,1716.1968269494987,1.5279751805242123,1.22994696567524,506.5475225741511,0.45844721953319933,0.17150034254395982,5,4.900995010000005,5.0,1.5015183568317052,2.0475250320432354,4,114.43897077081256,2.063773783330859,48299275820221.23,2234.450407609285,26.340471173855885,2241.1286702364246,52,0.03562457182005024,0.5769230769230769,18,0.007657852537386565,42,3.6481812618592016,26,-975.9212668227871,-1.0,-0.11411238574055232,1485.3323222847227,1.5469268909959122,-0.23985260885875037,-119.83306191582722,-0.11411238574055232,0.19658395101514664,7,8.151433834360923,8.44052784356114,1.5219796645280375,0.8117224877482866,-0.6270514578222848,0.0,771.0104491284624,-2.7561604240640447,771.5958871051237,23,0.04448742746615087,0.34782608695652173,0.2,0.0,30,1.7309831982395374
True,False,1.6924766553074535,9.823998801161498,55,2.0,100,0.25,-1000000,55,50,100,channel_breakout,24,0.06499295454970352,3,0.034490831770017855,40.172472487682064,40,71.153593611315,31.588386410431106,1.8861580293348188,12,-1063.3591186962378,-1.0,0.21945879399349108,1947.5277288221262,1.8823571494391609,0.6867193367142806,210.47762448460855,0.21945879399349108,0.10860457621656462,4,5.585706203876701,5.667789801053845,1.831486366722419,1.3430900022631072,0.9080459190172194,49895945217319.43,1502.1010077541373,5.472418236599828,3018.1910248380614,26,0.05029013539651837,0.4230769230769231,2.544435298068433,17,-1149.1533475797878,-0.9022204146668061,0.4575636744913782,2744.493579909445,2.2572779101419163,1.264389225803069,526.593431339629,0.4575636744913782,0.15460150719342317,9,7.195861158700699,7.431859223668415,2.3882744506549765,1.8044740293837602,5,96.51909475695825,1.8014113083035856,1.2349156775876255,5168.963350482624,41.60088107583061,5215.785180538284,79,0.05412194564969171,0.43037974683544306,12,0.005562745606046193,546,1.9184045296971557,12,-1077.8761258562208,-1.0,0.29376773310249926,2149.1018130655093,2.057996460060453,0.9678601901738187,287.38377137989585,0.29376773310249926,0.10860457621656462,4,5.396133500185711,5.463204338307633,1.9938300529277893,1.462142038813712,1.1357868638358481,66790755798708.875,1612.184381589203,7.47197805587729,1621.2792494682703,26,0.05029013539651837,0.4230769230769231,0.2,0.003,75,1.0382289041955637
True,True,2.1279362357920086,10.23770793050863,40,1.8,100,0.25,-1000000,30,30,300,trend_pullback,120,0.013070245509173283,6,0.007517450662189099,47.72409248100718,120,62.95457048784728,22.472949064664057,4.301670560700633,47,-898.7747010489529,-0.9307089309942606,-0.05360374775712332,2832.7520926945863,3.0162643935728566,-0.10467986303744735,-69.5465246614998,-0.05360374775712332,0.2752175314212053,6,8.46420077411362,8.798499176639135,3.1517933130388553,0.9005123751539588,-0.17376037967984134,-0.09330189796242899,710.1220029828071,-1.251837443907003,1415.997858634481,18,0.03481624758220503,0.2222222222222222,3.164634758992526,54,-1177.8944775694094,-0.9743739044739814,0.4441605993020141,3313.175235064987,2.8759340343465776,0.9176777288438627,476.71015340115764,0.4441605993020141,0.353505366522037,7,6.758727383827555,6.928577177574006,2.8127946078003006,1.6407968545501752,6,89.47964533778197,1.3007139006917274,1.4622840285091478,2591.350040321547,27.172478743866073,2625.125390493566,57,0.03905001141813199,0.3684210526315789,18,0.0015598513817156158,641,4.216271721406562,47,-898.1872524789312,-0.9287250714668895,-0.01682824652303462,2988.9741228867847,3.174810640780458,-0.05199739374904053,-34.37361350877222,-0.01682824652303462,0.2752175314212053,6,8.4141651794098,8.743726708093359,3.3277850633455714,0.9507957323844491,-0.05251001154037277,-0.028475716469056098,744.981499267993,-0.618725043157916,742.5376706861081,18,0.03481624758220503,0.2222222222222222,0.2,0.002,100,0.5147123177963542
True,False,3.3443614010297984,8.991231816937542,80,2.2,50,0.2,-1000000,12,14,50,channel_breakout,48,0.02519368550245862,4,0.0037093580975083515,47.47865419211316,80,76.87133337165238,27.863818244902234,3.540123969233747,28,-828.4468150649069,-0.8203990840724363,-0.013619595949778001,1492.6443878815987,1.4990919442802064,-0.05413527496928932,-21.110744474818034,-0.013619595949778001,0.20754108926844989,6,6.341043498327078,6.510058996082472,1.8017383382235026,0.9609271137192011,-0.07397370691851865,-0.02421848742881789,760.3991246187256,-0.48554712292083424,1521.3551380694134,23,0.04448742746615087,0.34782608695652173,1.5464120200995286,31,-931.8871340424917,-0.787755731952935,0.349245796329396,1702.268972222336,1.4862473246117274,1.5979580752912976,385.1909190899222,0.349245796329396,0.2609043160538936,5,3.954721950291461,4.015806876182577,1.8266900679677343,1.8266900679677338,7,87.37147184216724,1.7988014376652202,0.6551254234318217,2402.779252981384,27.733746174474422,2432.94834788248,72,0.04932633021237725,0.5,48,0.01229446728876881,500,3.4583742567991047,28,-826.052959267957,-0.814727855936844,0.018430661163965845,1578.6519062124603,1.5806028807279842,0.027123913030028316,10.366124377405527,0.018430661163965845,0.20754108926844989,6,6.207829160128578,6.367610833352284,1.9110783255488264,1.0192417736260408,0.0966889023483766,0.03177097691481668,789.0471101600051,0.23842086068034404,790.0763956751714,23,0.04448742746615087,0.34782608695652173,0.2,0.003,20,1.41783130824061
True,True,1.875105333413723,10.8006049143256,80,2.0,100,0.1,-1000000,40,10,80,channel_breakout,360,0.062310689771235064,4,0.003907820269944396,52.30301524415265,30,66.78755678705606,32.99834932423566,3.228649036778936,20,-1051.1534397670441,-1.0,0.21134837773738294,4739.487498921478,4.652959096107787,0.4820251830197076,189.69818995192486,0.21134837773738294,0.18143731872381566,8,7.7255305572079935,8.0,4.508844588827906,1.2296848878621565,0.6695448654763978,45413043164426.69,1534.8062841818278,5.311549318653895,3072.9649430340355,28,0.05415860735009671,0.21428571428571427,6.630627322505362,38,-1373.589089914617,-1.0,0.5566900626445921,6005.311583371237,4.768910232153488,0.5325739665099235,617.5428377974388,0.5566900626445921,0.27631879424526146,14,16.10043810031373,17.197461533375254,4.371985499494999,1.6157337715524995,8,86.34543171015538,1.366746144129168,43805173812915.6,4625.154117721006,38.90519878123875,4703.392055947504,63,0.0431605389358301,0.2698412698412698,36,0.007039788777454814,398,3.370971666814605,20,-1063.03463021009,-1.0,0.28085216086176595,5112.116389696844,4.977310084021574,0.6593704120797601,260.2120169128244,0.28085216086176595,0.18143731872381566,8,7.725530557207982,8.0,4.808983869779035,1.3115410553942821,0.8399769759861675,44977704793550.14,1641.2064652901106,7.285936473559093,1643.5349256013628,28,0.05415860735009671,0.21428571428571427,0.08,0.0005,10,0.4175963888992353
True,True,2.384136330620973,6.143850033608638,80,2.0,300,0.2,-1000000,10,80,400,squeeze_breakout,36,0.007681965839786323,3,0.02434496370205441,48.347060070918396,80,60.87730886690804,24.563069585150973,4.37967385926586,15,-937.5552080662669,-0.9473567087362683,-0.24795858243623656,1952.4405471860107,1.9901154217238648,-0.4808610444787647,-249.46098062524845,-0.24795858243623656,0.10699323235578473,4,7.757207114480405,7.940340210305142,2.0824806159553764,0.6507751924860552,-1.2304787881993804,-0.6199540656428376,961.2793540935025,-5.238680593130223,1935.5758918056088,21,0.04061895551257253,0.23809523809523808,2.082162810398362,21,-1152.6407611983625,-0.9700309571191085,0.3596912904891563,1746.7153603947143,1.528235083841874,0.9425750919012615,390.564916423759,0.3596912904891563,0.1517469741950217,3,5.918443538943344,5.94881309433821,1.51540308064302,1.7244241952144708,9,84.81780777984429,1.6617167478407882,1.6603989638440764,3500.881158147518,24.215024818273086,3507.094882242814,62,0.04247545101621374,0.532258064516129,12,0.02362918986289278,717,4.144342694637395,15,-941.7337059086492,-0.9461460630460814,-0.20611036277682984,2129.7996444907026,2.1620038780847755,-0.4287446996975224,-210.41624152785118,-0.20611036277682984,0.10699323235578473,4,7.3292824387904005,7.46806270757698,2.2615731295671595,0.7067416029897373,-0.9747429498773119,-0.5037392268763591,1017.1873072679099,-4.418741072084856,1024.0114941590018,21,0.04061895551257253,0.23809523809523808,0.2,0.002,75,0.9019196522687549
True,False,2.8209587605742232,7.537766903134739,14,2.0,300,0.15,-1000000,10,50,100,squeeze_breakout,18,0.0360264048375612,1,0.02365579586401473,47.97755840608035,20,74.68902279868772,26.918637905958022,2.0527276894064985,12,-772.6108039791973,-0.7650637705576429,-0.1470869671013582,1500.386409383014,1.5008511754487346,-0.25554023687264316,-152.70247306223064,-0.1470869671013582,0.04543989687399291,4,4.655391901888616,4.744831307758588,1.9419692316694712,0.7282384618760517,-0.5772337377016612,-0.11640958940689841,470.5341238275453,-1.6797272036845243,938.6487793181732,11,0.02127659574468085,0.2727272727272727,1.4296675038202231,13,-892.8751177584821,-0.8215621187386748,0.31304759404233246,1353.4978838612597,1.258555688026505,1.1684587420406005,332.4192467613769,0.31304759404233246,0.08403745147293902,3,3.6741666396538974,3.72228295261747,1.5158871122527724,1.8190645347033272,10,82.37423372616848,1.5424010543991598,0.49119861628002975,2279.225090903457,18.283058571875753,2299.8102366600056,55,0.03767983557889929,0.5454545454545454,24,0.009120833075283913,921,2.0005124658525335,12,-765.8080070283768,-0.7561479914222515,-0.11065678633517159,1611.8372060250824,1.610653093897042,-0.2000312514075044,-117.35931255925158,-0.11065678633517159,0.04543989687399291,4,4.568132735105192,4.653443003476307,2.104753660489419,0.7892826226835319,-0.41758149277336637,-0.08441413369788953,492.0244692557302,-1.2909524381517694,491.22523358407216,11,0.02127659574468085,0.2727272727272727,0.12,0.003,200,0.5212749288530697
