window,train_start,train_end,test_start,test_end,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,calmar_ratio,total_return_pct,max_drawdown_pct,max_drawdown_r,avg_drawdown_r,expectancy,expectancy_r,avg_win,avg_loss,avg_win_r,avg_loss_r,avg_r_multiple,payoff_ratio,trades_per_day,avg_holding_bars,max_consecutive_losses,exposure_pct,total_fees,total_slippage
1,2020-01-01,2021-01-01,2021-01-01,2021-04-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
2,2020-04-01,2021-04-01,2021-04-01,2021-07-01,3,0.3333333333333333,0.7729118525667382,-0.6844338018138189,0.0,-1.8154512982317184,-0.45542545068009355,1.0,1.0,1.0,-151.80848356003435,-0.1447557904567911,1550.0753023433303,-1002.7503765117166,1.5657326286296267,-1.0,-0.1447557904567911,1.5458237051334764,0.03296703296703297,15,1,0.08409506398537477,142.9693334145856,285.3136460247588
3,2020-07-01,2021-07-01,2021-07-01,2021-10-01,1,0.0,0.0,-3.310063706204222,0.0,-3.9115366654592143,-1.0,1.0,1.0,1.0,-1000.0,-1.0,0.0,-1000.0,0.0,-1.0,-1.0,0.0,0.010869565217391304,10,1,0.018083182640144666,56.2622059618948,110.63360391895526
4,2020-10-01,2021-10-01,2021-10-01,2022-01-01,3,0.3333333333333333,0.7562152780898028,-0.742999858973955,0.0,-1.9266579639252046,-0.48882819005812056,1.0,1.0,1.0,-162.94273001937404,-0.15611610721971284,1516.3351615574527,-1002.5816758077872,1.5316516783408614,-1.0,-0.15611610721971284,1.5124305561796056,0.03260869565217391,9,1,0.05063291139240506,139.58729864860877,278.4758324541647
5,2021-01-01,2022-01-01,2022-01-01,2022-04-01,3,0.3333333333333333,0.7668072136624783,-0.7110818257879198,0.0,-1.8843092071342937,-0.46763953852702983,1.0,1.0,1.0,-155.87984617567724,-0.1489098182250217,1537.7378398716855,-1002.6886891993585,1.553270545324935,-1.0,-0.1489098182250217,1.5336144273249566,0.03333333333333333,13,1,0.07578558225508318,154.17387547532985,307.72079664508607
6,2021-04-01,2022-04-01,2022-04-01,2022-07-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
7,2021-07-01,2022-07-01,2022-07-01,2022-10-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
8,2021-10-01,2022-10-01,2022-10-01,2023-01-01,5,0.2,0.29442433873717355,-3.9771502010541337,0.0,-3.575770162836751,-2.788459533607165,2.9701000000000057,3.0,2.1203230267871533,-557.6919067214312,-0.5601615133935767,1163.5752185786296,-988.0086880464464,1.1991924330321164,-1.0,-0.5601615133935767,1.1776973549486942,0.05434782608695652,23,3,0.2115732368896926,373.27664713253506,741.7162346255222
9,2022-01-01,2023-01-01,2023-01-01,2023-04-01,4,0.75,3.556127137564889,3.716461598324225,0.0,11.20003138952638,2.6503779469856963,0.9999999999999988,1.0,1.0,662.5944867464204,0.6610118606696394,1229.083483833563,-1036.872504515007,1.2146824808928525,-1.0,0.6610118606696394,1.1853757125216295,0.044444444444444446,22,1,0.16266173752310537,320.86452027148,647.6860011913489
10,2022-04-01,2023-04-01,2023-04-01,2023-07-01,6,0.3333333333333333,0.7778827055057744,-0.9466451943275126,-21858878423982.51,-1.1900641443406892,-0.8925611805055524,2.9700999999999986,3.0,1.976938353321422,-148.76019675092596,-0.14198537402215083,1562.9307648062031,-1004.6056775294903,1.5740438779335477,-1.0,-0.14198537402215083,1.5557654110115489,0.06593406593406594,14,3,0.16270566727605118,346.4505189013038,691.8093992743525
11,2022-07-01,2023-07-01,2023-07-01,2023-10-01,5,0.2,0.2717195783307038,-4.173603182121584,0.0,-2.7704381321169476,-2.869715445265276,3.9403990000000046,4.0,2.5770793250047483,-573.9430890530546,-0.5770793250047485,1070.6835547347268,-985.0997499999999,1.1146033749762576,-1.0,-0.5770793250047485,1.0868783133228153,0.05434782608695652,6,4,0.054249547920433995,478.20378647848247,951.6187900679091
