window,train_start,train_end,test_start,test_end,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,calmar_ratio,total_return_pct,max_drawdown_pct,max_drawdown_r,avg_drawdown_r,expectancy,expectancy_r,avg_win,avg_loss,avg_win_r,avg_loss_r,avg_r_multiple,payoff_ratio,trades_per_day,avg_holding_bars,max_consecutive_losses,exposure_pct,total_fees,total_slippage
1,2020-01-01,2021-01-01,2021-01-01,2021-04-01,9,0.2222222222222222,0.8820204294075777,-0.3765171696552995,-22757248126201.195,-1.1183158779693445,-0.8288885010950908,2.9701000000000057,3.0,1.8571428571428572,-92.09872234390025,-0.07367754548648062,3098.403342187888,-1003.6707407815541,3.168451045310837,-1.0,-0.07367754548648062,3.087071502926522,0.1,9,3,0.1645101663585952,536.3531656223967,1072.1243789300186
2,2020-04-01,2021-04-01,2021-04-01,2021-07-01,7,0.42857142857142855,3.4469132081969303,3.8216035241777226,282754543550321.06,13.422720965242833,11.157210492653656,3.940398999999998,4.0,2.5,1593.8872132362376,1.5742675294711448,5238.9729346796075,-1139.9270778462896,5.006624235432671,-1.0,1.5742675294711448,4.595884277595906,0.07692307692307693,17,4,0.226691042047532,451.3588616421983,943.278402535173
3,2020-07-01,2021-07-01,2021-07-01,2021-10-01,9,0.2222222222222222,0.5202151544324359,-2.9936564098361127,-52082261482696.664,-2.169309805083133,-3.3617429034433886,5.851985059900007,6.0,3.142857142857143,-373.52698927148697,-0.3723446438681266,1822.5144247815474,-1000.9673932866397,1.8244491025934304,-1.0,-0.3723446438681266,1.820753040513526,0.09782608695652174,13,6,0.2224231464737794,603.0704620519375,1201.3758026363816
4,2020-10-01,2021-10-01,2021-10-01,2022-01-01,9,0.2222222222222222,0.6349567476128923,-1.9652574353865284,-2.026072120291217,-1.6710992088485057,-2.37429351156317,5.444914327976189,5.571950587741033,2.911910176160016,-263.8103901736848,-0.2585178066694345,2064.924739907043,-929.1632844824642,2.1226451638580612,-0.9388500839630047,-0.2585178066694345,2.222348616645123,0.09782608695652174,17,6,0.2766726943942134,649.3902551785302,1297.768502852356
5,2021-01-01,2022-01-01,2022-01-01,2022-04-01,8,0.375,1.6689697502287273,2.0150339012971044,102885540368241.55,3.7281424400450165,3.435074451739318,3.9403989999999984,4.0,2.4933938977009054,429.3843064674156,0.4433949120945877,2856.6490227578965,-1026.974523306873,2.8490530989189007,-1.0,0.4433949120945877,2.781616250381212,0.08888888888888889,12,4,0.18853974121996303,608.516616973202,1214.2898555620086
6,2021-04-01,2022-04-01,2022-04-01,2022-07-01,5,0.6,5.752736482982964,3.866601106681562,172636767145611.7,22.42717096675148,9.629525773851142,1.9899999999999913,2.0,1.5,1925.9051547702288,1.9030284184233062,3885.209039143552,-1013.0506717897557,3.8383806973721764,-1.0,1.9030284184233062,3.835157655321976,0.054945054945054944,12,2,0.10968921389396709,454.05157066110746,887.9798728620518
7,2021-07-01,2022-07-01,2022-07-01,2022-10-01,4,0.0,0.0,-6.638223466427244,0.0,-3.7437437715810056,-3.9403990000000046,3.9403990000000046,4.0,2.5,-985.0997500000001,-1.0,0.0,-985.0997500000001,0.0,-1.0,-1.0,0.0,0.043478260869565216,6,4,0.045207956600361664,265.1805181345903,522.9979904234806
8,2021-10-01,2022-10-01,2022-10-01,2023-01-01,10,0.1,0.7087027264231479,-1.076986759376065,-1.136134747186928,-1.842083497029883,-2.3551059967430046,4.900995009999998,5.0,2.688151767161275,-235.51059967429956,-0.2168294905159096,5729.782570268103,-898.320951890122,6.02507099929238,-0.9103739893834972,-0.2168294905159096,6.378324537808331,0.10869565217391304,11,5,0.20433996383363473,1075.665282716715,2173.8035881115875
9,2022-01-01,2023-01-01,2023-01-01,2023-04-01,6,0.16666666666666666,0.14576397027305735,-5.895785459802487,-2.2959049881164346,-3.2730681186989266,-3.7494586839009134,4.38925373482483,4.467266915698341,2.955439047019128,-624.9097806501533,-0.6330167417863478,639.7950509239129,-877.8507469649664,0.669166464980254,-0.8934533831396682,-0.6330167417863478,0.7288198513652868,0.06666666666666667,13,5,0.1478743068391867,548.6867557605981,1099.4211312733014
10,2022-04-01,2023-04-01,2023-04-01,2023-07-01,6,0.0,0.0,-7.762433833993594,-2.3314702852640905,-3.715179696899059,-5.109268893908564,5.109268893908564,5.219007426976207,2.7190074269762063,-851.5448156514286,-0.8698345711627011,0.0,-851.5448156514286,0.0,-0.8698345711627011,-0.8698345711627011,0.0,0.06593406593406594,10,6,0.113345521023766,638.3424598021493,1281.6187736587788
11,2022-07-01,2023-07-01,2023-07-01,2023-10-01,6,0.0,0.0,-8.144557513251952,-73.86037570094658,-3.639603887572153,-5.825449166107574,5.825449166107574,6.0,3.5,-970.9081943512623,-1.0,0.0,-970.9081943512623,0.0,-1.0,-1.0,0.0,0.06521739130434782,9,6,0.09764918625678119,1027.1575439418864,2060.4287551609123
12,2022-10-01,2023-10-01,2023-10-01,2024-01-01,7,0.42857142857142855,2.00485384641617,2.6049189745543884,106915412493127.58,8.816969575456563,4.155905647153151,1.9899999999999944,2.0,1.5,593.7008067361612,0.6018048680598517,2763.9122020095456,-1033.9577397188768,2.737544692139654,-1.0,0.6018048680598517,2.6731384618882266,0.07608695652173914,15,2,0.189873417721519,795.9800061052073,1595.0786748608518
