window,train_start,train_end,test_start,test_end,total_trades,win_rate,profit_factor,sharpe_ratio,sortino_ratio,calmar_ratio,total_return_pct,max_drawdown_pct,max_drawdown_r,avg_drawdown_r,expectancy,expectancy_r,avg_win,avg_loss,avg_win_r,avg_loss_r,avg_r_multiple,payoff_ratio,trades_per_day,avg_holding_bars,max_consecutive_losses,exposure_pct,total_fees,total_slippage
1,2020-01-01,2021-01-01,2021-01-01,2021-04-01,3,0.6666666666666666,5.902797686464707,3.735713517981349,0.0,20.36715666788384,1.1732712295038363,0.23801277096214954,0.2380127709621424,0.2380127709621424,391.09040983461523,0.3906430090800778,706.2888519987839,-239.30647449372205,0.7049708991011879,-0.2380127709621424,0.3906430090800778,2.9513988432323535,0.03333333333333333,10,1,0.059149722735674676,47.79898235215401,98.04538159039541
2,2020-04-01,2021-04-01,2021-04-01,2021-07-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
3,2020-07-01,2021-07-01,2021-07-01,2021-10-01,4,0.25,0.06802650882920082,-4.163810556357864,-0.4043760455090731,-3.626988805781725,-1.3411737702850368,1.4390685818758358,1.4438199112132237,1.219376298270017,-335.2934425712599,-0.3361239392309572,97.89481159080246,-479.68952729194734,0.09932415428939502,-0.48127330373774124,-0.3361239392309572,0.20407952648760244,0.043478260869565216,10,3,0.0759493670886076,57.29263411374183,112.30122642519063
4,2020-10-01,2021-10-01,2021-10-01,2022-01-01,5,0.6,7.511294222491612,4.8169345969122705,2.067205531881148,32.78343044798194,1.8537096939389448,0.2307415962316445,0.23074159623165086,0.14184076058647546,370.74193878779,0.3689501419079433,712.8003762121639,-142.34571734877076,0.7094774102375557,-0.1418407605864754,0.3689501419079433,5.0075294816610745,0.05434782608695652,9,1,0.08318264014466546,79.2026918487255,160.68421395154166
5,2021-01-01,2022-01-01,2022-01-01,2022-04-01,5,0.8,1.5377017370126518,1.3084305870769053,0.0,2.22391294696842,0.5434536300128384,1.0000000000000002,0.9999999999999999,0.8001357649359955,108.69072600256908,0.1103877703603138,388.5377028440396,-1010.6971813633135,0.3879847129503922,-0.9999999999999999,0.1103877703603138,0.38442543425316295,0.05555555555555555,10,1,0.09242144177449169,97.1011632291565,194.99840014334748
6,2021-04-01,2022-04-01,2022-04-01,2022-07-01,6,0.6666666666666666,1.9626994576846601,2.340550057717136,0.3602730028223061,5.10728359404502,1.2487556670398918,1.0,1.0000000000000002,0.5641227830515262,208.12594450664878,0.20949262688627382,636.473836906083,-648.5698402922195,0.6385451028958912,-0.6486123251329607,0.20949262688627382,0.9813497288423301,0.06593406593406594,9,1,0.10054844606946983,99.85048936251316,197.00994887664257
7,2021-07-01,2022-07-01,2022-07-01,2022-10-01,7,0.2857142857142857,0.45793845358821494,-2.4343239966091894,-0.32886734122399286,-2.173767897875912,-1.0711041119247384,1.9253360010191098,1.9359536084582984,1.0501799611448916,-153.01487313210518,-0.15233405153736643,452.43917770379585,-395.19649346646554,0.4603919340545508,-0.39742444577413333,-0.15233405153736643,1.1448461339705376,0.07608695652173914,10,4,0.1301989150090416,116.8519410265523,233.5814630639772
8,2021-10-01,2022-10-01,2022-10-01,2023-01-01,5,0.4,0.27230806496087495,-3.3242176364386093,-0.36930127840677374,-2.8419610359145153,-1.474477563169261,2.0151200543356196,2.0256300931901032,1.6752100310633677,-294.8955126338525,-0.2949220392885252,275.88057028092555,-675.4129012437045,0.27550994837373877,-0.6752100310633679,-0.2949220392885252,0.40846209744131246,0.05434782608695652,10,3,0.09403254972875226,131.79606330026942,262.37245736162805
9,2022-01-01,2023-01-01,2023-01-01,2023-04-01,4,0.25,0.40911035256204337,-2.4368212726204623,-0.3141257307106189,-2.831495887151856,-0.9153194875330664,1.2936638786305412,1.2966301804348965,0.9657243445039425,-228.8298718832694,-0.227919135821608,633.7336927042459,-516.3510600791078,0.6420395261404556,-0.5179053564756292,-0.227919135821608,1.22733105768613,0.044444444444444446,9,2,0.07024029574861368,69.11740930461372,135.99188597443361
10,2022-04-01,2023-04-01,2023-04-01,2023-07-01,6,0.16666666666666666,0.3736153975454128,-3.0538604667767717,-0.5101303618045278,-3.7096225507501064,-1.4538094338094378,1.5388677938991688,1.545147706173113,0.6984097571265301,-242.30157230157585,-0.2419893996801222,867.1439039840868,-464.19066755870836,0.8739674586717284,-0.46518077135049224,-0.2419893996801222,1.868076987727064,0.06593406593406594,10,4,0.113345521023766,172.29661138020973,346.85247389080087
11,2022-07-01,2023-07-01,2023-07-01,2023-10-01,10,0.5,1.5400103474154359,1.6348677602818138,0.33324501708384363,3.576159497615594,0.7702696751746553,0.8649537201981117,0.8649537201981153,0.2721755611644177,77.02696751746524,0.0779739488342763,439.33353342087605,-285.2795983859456,0.43989004177847846,-0.2839421441099258,0.0779739488342763,1.5400103474154359,0.10869565217391304,10,2,0.1844484629294756,214.58042106055254,429.88696997382567
