allow_long,allow_short,atr_stop_mult,atr_tp_mult,bb_lookback,bb_std,bb_width_lookback,bb_width_quantile,donchian_lookback,ema_fast,ema_slow,family,max_holding_bars,max_trend_strength,min_holding_bars,pullback_depth,pullback_rsi,range_lookback,rsi_high,rsi_low,trend_slope_bars,trend_slope_min,trial,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_r_multiple,validation_avg_win,validation_avg_win_r,validation_calmar_ratio,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_max_consecutive_losses,validation_max_drawdown_pct,validation_max_drawdown_r,validation_payoff_ratio,validation_profit_factor,validation_rank_score,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_win_rate,volatility_max,volatility_min,volume_lookback,volume_min,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_return_pct,wf_min_exp_r,wf_min_pf,wf_min_return_pct,wf_positive_exp,wf_profitable,wf_rank,wf_score,wf_total_trades,wf_windows
True,True,2.855275920304015,11.969492768342269,14,2.2,150,0.1,80,14,50,channel_breakout,24,0.021770192553259675,1,0.02100833300716452,48.22274832350684,55,76.00334060324455,37.15500225792995,3,0.008259296868207722,677,4.112804867238064,17,-844.0064609191401,-0.8722501034230778,-0.1567693086144813,761.6316997139703,0.7972050844636474,-0.6378477721698851,-155.87582064780707,-0.1567693086144813,0.23138897840799227,3,7.322927310496656,7.459246042864085,0.9024003191688107,0.6768002393766078,4.625394325063361,-1.5041250951755334,-0.565001734605959,1014.3813732725193,-6.546784467207967,2018.878368750625,42,0.08123791102514506,0.42857142857142855,0.2,0.0005,50,0.07220378245193018,5.400653622745888,0.3040850565379873,2.4296314211398973,1.7913880787723715,-0.6583503015669442,0.02400335769743594,-5.155039180881445,9,9,1,81.57091908122621,76,11
True,True,4.3416432078440055,3.7534489816967316,80,2.2,100,0.1,40,10,80,channel_breakout,120,0.02721387317399215,6,0.02580558197292853,44.619289015857746,40,67.41595908072324,18.549558807961404,3,0.001515205313033971,859,4.967513368437428,30,-923.0999766152061,-0.9580189855046195,-0.056871772423377036,717.6471615025353,0.7541607193497413,-0.2683774229036684,-59.548851290079085,-0.056871772423377036,0.5652594263615855,3,8.980326509803437,9.251089195006262,0.7774316755309444,0.8638129728121604,4.0001177793268585,-0.6964578767798457,-0.7820244040768766,978.9897123315773,-3.3942845235345014,1957.0605149673386,57,0.1102514506769826,0.5263157894736842,0.12,0.003,10,0.41994155953020207,4.5265302767168585,0.15482563017609452,inf,0.35119247887450655,-0.42212878566506146,0.28593893138108695,-4.314625710303517,6,6,2,47.64626857544157,79,11
True,True,4.139591293547701,6.273013876978514,20,1.5,300,0.15,55,14,50,channel_breakout,12,0.0707393937850614,2,0.006075866576361433,41.32323241495043,55,66.2320816874927,38.19866447210588,18,0.006098923715998967,781,3.2490927340773568,10,-501.66350556985265,-0.5115965940790478,-0.030163342724452223,471.71035815879975,0.4856579980126145,-0.2021700536582703,-31.758881700848008,-0.030163342724452223,0.1894940380277151,4,6.454430258432082,6.617254249341618,0.9402923531839767,0.8776061963050448,9.321916294695216,-0.5213815486168276,-0.12576633960157815,1074.0035725878922,-1.8420151386491341,2152.142203934411,58,0.11218568665377177,0.4827586206896552,0.12,0.003,50,1.0135701177517689,3.055609418338459,0.13973223191254955,inf,0.3136536412198621,-0.36134849881572667,0.0,-2.2478915809184397,5,5,3,34.092940339664665,80,11
True,True,1.3073188492740204,1.268680090600774,20,2.5,100,0.3,24,80,300,channel_breakout,36,0.05634093734579582,3,0.011180164999660012,37.02803744008317,40,60.89025333493852,32.26556478103595,36,0.0017925140459944646,817,5.353378056332561,5,-957.2420937967306,-1.0,-0.17067418830557854,619.3965876628748,0.6586516233888431,-0.5472745254343533,-168.9227530669279,-0.17067418830557854,0.05800837898807606,4,7.922245183310412,8.13054409396448,0.647063675612246,0.6470636756122461,-19.674805179191225,-1.6873607980660852,0.0,1727.8213716407795,-6.081219110409409,3481.641841875962,36,0.06963249516441006,0.5,0.2,0.003,10,1.904331879142464,3.983575153786844,-0.10757712269266709,1.130788822350008,-0.3052113826825966,-0.5690821648266919,0.199683085853949,-3.93239909757665,6,6,4,23.40338325755564,72,11
True,True,3.3618881668300395,1.6487634252458,55,1.8,300,0.1,24,50,100,range_reversion,72,0.041352080091785426,2,0.028715450728851174,34.13861096419305,40,71.0162019887878,34.451291819504654,18,0.022690437856265237,147,3.875463689668491,22,-922.5986208594596,-0.9421776720765034,-0.18168243989103153,827.9956861050077,0.8433328730546042,-0.6269626937763189,-176.97511974496427,-0.18168243989103153,0.39349017080244925,5,10.926339579614066,11.400194923806373,0.8974603553316357,0.6658576829879876,-41.199626130580455,-2.0051943809894817,-1.3209384724369322,1177.1166265857794,-9.556656466228072,2358.1228629862735,54,0.10444874274661509,0.42592592592592593,0.2,0.0,200,0.9265048632362765,4.2545089484876115,-0.15247736395163164,0.762825602766621,-1.0596633061475638,-0.41631905382574197,0.2540054846334333,-3.715740720216694,3,3,5,-12.041141982572832,78,11
True,True,1.642140227073701,3.0357324932016785,20,2.2,300,0.3,16,30,50,channel_breakout,120,0.059056414860753345,6,0.014995516832031744,54.47964950076998,120,68.45745851124539,21.736486546980554,12,0.005157297129026015,450,14.050433039223952,12,-878.9193420536405,-1.0,-0.20491640611858244,1251.0185485890322,1.4704383095601188,-0.608103640690673,-193.42208989278032,-0.20491640611858244,0.3496616177892362,7,20.07168190521945,21.94634554448407,1.4233599020200904,0.6754928348569921,-70.56954546651198,-2.275182081725278,-69620617653479.99,3199.48059417921,-16.827721820671854,6388.1699646137595,87,0.16827852998065765,0.3218390804597701,0.2,0.0,100,0.2190733188886787,8.551103155679877,-0.10594508407744661,1.002406652225473,-1.0510074367458042,-0.6818296376548523,0.22401599564208746,-8.285722887114447,5,5,6,-13.21019876631928,158,11
True,True,1.2439448896565866,2.0573206054137914,55,2.2,50,0.3,12,80,100,channel_breakout,120,0.030715487078768654,4,0.013892705098538813,56.75686862999041,20,71.59340545144339,25.324291917439528,24,0.011420398072018138,76,6.879181372858626,6,-951.4684613156821,-1.0,-0.17733878893170993,1147.4969152683752,1.2260244534789024,-0.5174143802975362,-175.7638656215741,-0.17733878893170993,0.10344827586206896,9,11.175261919736952,11.777652327119778,1.2060272745999658,0.70698150579998,-44.375858036169014,-1.540921630159213,-45006665347936.79,2205.3896178540526,-8.085137818592383,4429.7897168333275,46,0.08897485493230174,0.3695652173913043,0.2,0.0005,10,1.7242217172999648,5.0,-0.09934445180261711,0.997083061802829,-0.5482704966268132,-0.6179903919817563,0.25450602472417505,-3.6722610427507028,3,3,7,-22.25915046446849,93,11
True,True,2.467967682091045,5.700388677815085,14,2.0,50,0.15,10,80,50,range_reversion,36,0.047745480542135954,5,0.020765062241957788,39.60362944312934,55,63.314599171456784,38.95470636846017,18,0.005254100373905899,890,11.556142416263086,10,-898.0626840455681,-0.9844228295031829,-0.3208149345927614,634.5865544576226,0.6860384232023611,-0.6821633937561988,-289.20202765388956,-0.3208149345927614,0.2410570415726716,5,22.612084972150797,25.34586347801347,0.7066172169619102,0.4657249839067136,-101.82361797257899,-4.2751548944983195,-6.654484445667693,1969.4710793993743,-21.111748018733966,3943.7713875323975,73,0.14119922630560927,0.3972602739726027,0.2,0.001,75,1.341112895738135,6.766599939069259,-0.1881245017094961,0.7316444251838745,-2.3337027543895026,-0.4511066626046173,0.3180365090843757,-6.601344159674656,3,3,8,-26.501905155852075,135,11
True,True,4.3388709227134905,9.032506431663236,14,1.5,100,0.3,55,80,300,range_reversion,240,0.06518143086745372,3,0.013158291740109535,34.18025335841844,120,65.98725507526943,40.00519733766901,12,0.024346880198186895,574,7.960867226751637,13,-836.0131062558451,-0.8995135701624293,-0.20344435127918808,250.34399107541856,0.27047511689663567,-0.7170911529226531,-189.69939012205535,-0.20344435127918808,0.3474057363841444,4,15.112199604442939,16.220473462856248,0.29944984020239246,0.4398169527972638,-75.7487590945287,-3.9381540341167396,-1.4762234985463343,1399.0954768867412,-14.986251819642362,2816.47173055198,79,0.1528046421663443,0.5949367088607594,0.2,0.002,10,0.08511604422102509,3.5301333777821595,-0.17338156367078472,0.5300410198043856,-1.2267899787385856,-0.6676050802119654,0.0,-2.6397324098248207,1,1,9,-55.94454954237366,86,11
True,True,2.6965011458200685,9.399028732385693,40,1.5,150,0.1,10,30,200,range_reversion,240,0.06848771650237506,4,0.00010458015751276197,47.48208765320444,30,63.93506700332346,30.353021507243838,18,0.013625849624400008,410,10.060225825247505,18,-914.5587902987608,-1.0,-0.3739545564777939,734.576599616927,0.8085757257308178,-0.7106708598353008,-343.70423225102275,-0.3739545564777939,0.3048662584595553,4,18.27333974964657,19.935953892616926,0.8032032575805885,0.4252252540132526,-111.50320712719385,-3.893510223198064,-97189957927456.44,1359.3694668358035,-17.8726200770532,2726.204833250507,52,0.10058027079303675,0.34615384615384615,0.2,0.0,75,0.07181169296254551,7.668821815840996,-0.24328549130024396,0.6468790899069782,-1.6678471571910962,-0.6150564447201667,0.2289581525227278,-6.079598510662486,1,1,10,-72.26651628166091,86,11
True,False,1.1334650357342513,1.6349962500452973,30,2.2,100,0.1,30,30,50,channel_breakout,48,0.06935524369262588,2,0.0017039217449751516,38.05280055000604,30,59.458050299997915,18.603871401691034,24,0.012912875216538881,695,6.150955294940452,5,-968.5807507012895,-1.0,-0.2106703866013755,984.2389476778226,1.0226571343339752,-0.5790490988454478,-206.5047708460262,-0.2106703866013755,0.07186593619078312,10,10.463234482870678,10.986582043331545,1.016166124471497,0.6503463196617578,-68.07662029462577,-1.8657932393119654,-37080224913521.26,2333.686812774181,-8.466695604687047,4655.1016963361635,41,0.07930367504835589,0.3902439024390244,0.2,0.0005,50,1.344106305780991,6.0,-0.28386681468902003,inf,-1.900519213194857,-1.0000000000000002,0.0,-5.7279458372562955,3,3,11,-80.96184339247718,76,11
True,True,0.9078449266961148,10.934719455546348,40,2.0,50,0.3,20,80,80,range_reversion,120,0.07228663431646808,5,0.014133347741821812,53.751820331250784,55,67.45039241424368,22.1183420781281,24,0.012360499178770488,328,8.66630751179343,10,-940.2383943167711,-1.0,-0.25615614509932055,2532.2527186496072,2.7192192745033967,-0.604691539567987,-245.74017172349545,-0.25615614509932055,0.21398646471156946,16,19.132568170566365,20.547252394987126,2.693202845103641,0.6733007112759102,-110.87695154180446,-1.88465179518182,-77752376494397.77,4308.149596428538,-15.973111162027287,8611.026767000047,65,0.12572533849129594,0.2,0.12,0.002,150,0.6390303504376843,10.0,-0.42559234992057565,0.662763552827689,-3.1515550054174897,-1.0000000000000002,0.0,-9.561792499119562,2,2,12,-120.67456390838967,79,11
True,True,1.3081617857749253,9.772113118214282,80,1.5,150,0.25,40,30,200,range_reversion,360,0.07648333047135565,3,0.006589919650530065,36.40851356185109,40,63.29898275620089,39.811807638456735,6,0.013863403932896621,8,14.73954520913984,9,-884.601291234614,-1.0,-0.4825843125519752,1717.6046610644073,1.949269418453741,-0.6985621365489139,-428.0739311821541,-0.4825843125519752,0.17531421205285208,8,25.668952151120592,29.214180816494768,1.9416709856563663,0.41312148630986517,-165.67232937059543,-3.9785273287204728,-122044933936167.55,2700.5860100590103,-24.400214077382802,5400.432746697671,57,0.1102514506769826,0.17543859649122806,0.2,0.002,200,0.2982526773043153,8.120847409775562,-0.4386054634062832,0.4952635562525252,-3.529401763002589,-1.0,0.0,-7.725530557207996,1,1,13,-122.82625585519656,86,11
True,True,3.556699717235629,1.9841311395867829,20,1.8,150,0.3,10,14,80,range_reversion,24,0.02843299975875622,2,0.015462654928347554,41.17735442406316,20,70.45582329787345,40.49996201313277,6,0.019173007545889974,136,7.836015794124569,13,-688.9370193951269,-0.7384425445276599,-0.2645005628273981,378.29842596422617,0.4125594110301188,-0.7204535996822947,-249.48713012951092,-0.2645005628273981,0.22881082823074445,7,12.723843636605073,13.489528704197301,0.5491045121894665,0.3843731585326266,-350033.97642612905,-3.8620365367860945,-0.9694506077871997,1123.102201481427,-12.723843636605073,2244.000400765552,51,0.09864603481624758,0.4117647058823529,0.12,0.001,150,0.16066546560179767,,,,,,,,,,14,-999932,,
True,True,2.426977151740478,1.4950908991711238,80,1.8,50,0.3,16,30,300,squeeze_breakout,12,0.005929626401866694,3,0.02191395274115308,51.06951791290319,30,72.50961494591,35.292612567310755,3,0.006969351646493225,186,3.3683920638239426,6,-762.6148372463506,-0.7722002553135576,-0.10829978184752734,421.7199410086846,0.42914345857735436,-0.5357703367542845,-108.11403873698902,-0.10829978184752734,0.07960038672252659,4,5.4506035688165495,5.555269105673486,0.5529920484256913,0.683107824525854,-349989.42199009535,-1.4419684013672505,-0.32144021295200986,1158.7952017170412,-4.108333472005615,2321.0461569667,38,0.0735009671179884,0.5526315789473685,0.2,0.001,200,0.7316742206463034,,,,,,,,,,15,-999932,,
True,False,2.5513430451132932,1.7663396465845898,20,1.8,200,0.2,12,50,100,range_reversion,168,0.05379734691861986,2,0.025539239146119372,48.14481472454062,80,63.902131621833476,36.81732483375442,36,0.024919536840680948,848,7.471605950640688,15,-940.1707646744676,-0.9684750815438627,-0.18748342627541498,605.0523021558405,0.6204389757264275,-0.5258184561801249,-180.65434199516358,-0.18748342627541498,0.2852078633580406,8,14.555685605429202,15.550598342521674,0.6435557506038159,0.6221038922503552,-350025.48242916435,-2.393386520402272,-1.6060697112961022,1592.9333050160812,-10.658606177714683,3167.7116724419634,59,0.11411992263056092,0.4915254237288136,0.12,0.0005,10,0.6252735377766399,,,,,,,,,,16,-999933,,
True,True,1.038538458755469,6.095891928180954,20,2.2,300,0.3,24,20,50,channel_breakout,360,0.0514129522153939,3,0.00492839910958269,35.73880417291849,120,65.34232529373399,31.453812705419793,24,0.004220450201261538,595,14.672817466637092,13,-865.570552694288,-0.9925603134184623,-0.46379835423757276,3929.9298979181085,4.718068845735145,-0.6508774262814426,-421.5427331931403,-0.46379835423757276,0.2410570415726716,22,25.62681592750507,29.17750352249687,4.540276798564016,0.4632935508738792,-350097.2836902972,-2.7662685491833936,-12.056864517827059,2926.4648119278145,-22.763307592429584,5848.046647169514,54,0.10444874274661509,0.09259259259259259,0.12,0.0,30,1.5412324515604068,,,,,,,,,,17,-999937,,
True,True,2.6157543787847675,2.7938122326570327,30,1.8,100,0.15,12,80,150,range_reversion,120,0.03843474962820326,5,0.02297418118109873,55.60854672639422,40,70.5288957850131,36.97567114329151,18,0.0002002770325214176,463,5.270211307545299,25,-973.8371617442837,-1.0,-0.22877581618322196,971.2217622516863,0.9961096522316609,-0.553625143463005,-222.33712292765887,-0.22877581618322196,0.36126329358685144,6,12.671097916622614,13.338102370452058,0.997314335912266,0.62793865594476,-350027.9395807492,-2.078483839821319,-43921593881508.28,1099.2246295583789,-9.782833408817023,2193.497649180326,44,0.0851063829787234,0.38636363636363635,0.2,0.003,150,1.6671988156437298,,,,,,,,,,18,-999942,,
