allow_long,allow_short,atr_stop_mult,atr_tp_mult,break_even_atr,channel_lookback,deploy_score,ema_fast,ema_slow,exit_on_flat_signal,family,funding_abs_max,funding_z_extreme,max_holding_bars,min_holding_bars,move_stop_after_partial,oi_change_min,oi_z_min,partial_exit_atr,partial_exit_fraction,pullback_atr,rsi_high,rsi_low,slope_bars,slope_min,stress_alpha,stress_avg_drawdown,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_pnl,stress_avg_r_multiple,stress_avg_trade_return,stress_avg_win,stress_avg_win_r,stress_best_month,stress_best_trade,stress_best_trade_r,stress_beta,stress_cagr,stress_cagr_pct,stress_calmar_ratio,stress_cvar_95,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_gross_loss,stress_gross_profit,stress_losing_trades,stress_max_consecutive_losses,stress_max_consecutive_wins,stress_max_drawdown,stress_max_drawdown_duration,stress_max_drawdown_pct,stress_max_drawdown_r,stress_median_pnl,stress_median_r_multiple,stress_median_trade_return,stress_pass,stress_payoff_ratio,stress_profit_factor,stress_profitable_months,stress_recovery_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_months,stress_total_return,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_trades_per_week,stress_ulcer_index,stress_var_95,stress_win_rate,stress_winning_trades,stress_worst_month,stress_worst_trade,stress_worst_trade_r,taker_extreme,taker_min,top_lsr_min,trail_atr_mult,trial,use_break_even,use_partial_exit,use_trailing_stop,validation_alpha,validation_avg_drawdown,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_pnl,validation_avg_r_multiple,validation_avg_trade_return,validation_avg_win,validation_avg_win_r,validation_best_month,validation_best_trade,validation_best_trade_r,validation_beta,validation_cagr,validation_cagr_pct,validation_calmar_ratio,validation_cvar_95,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_gross_loss,validation_gross_profit,validation_losing_trades,validation_max_consecutive_losses,validation_max_consecutive_wins,validation_max_drawdown,validation_max_drawdown_duration,validation_max_drawdown_pct,validation_max_drawdown_r,validation_median_pnl,validation_median_r_multiple,validation_median_trade_return,validation_pass,validation_payoff_ratio,validation_profit_factor,validation_profitable_months,validation_recovery_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_months,validation_total_return,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_trades_per_week,validation_ulcer_index,validation_var_95,validation_win_rate,validation_winning_trades,validation_worst_month,validation_worst_trade,validation_worst_trade_r,volatility_max,volatility_min,volume_min,vwap_lookback,wf_gate_windows,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_win_rate,wf_positive_exp,wf_rank,wf_score,wf_total_trades,wf_windows
True,False,1.5,3.0,0.5,12,148.11465413260385,8,100,False,flow_breakout,0.001,1.25,240,12,True,0.005,1.0,1.0,0.67,1.0,65.54158513893303,20.53835104406072,12,0.0005,0.0,-0.03576159781554838,3.4761342455044177,12,-759.683524606858,-0.7581285626221632,-48.46555921811797,-0.04744524433413943,-0.00115995601679671,378.26522001512615,0.37896474663867474,0.018617816395806397,1527.7633129590408,1.514392505169327,0.0,-0.022014670557139793,-2.2014670557139793,-0.3047556354896986,-1.4713800342011883e-05,-48.4655592181179,-0.04744524433413943,0.06383493189328605,18232.404590564594,15130.60880060504,24,3,7,-0.07223712375905822,10729,7.223712375905822,7.421515927954421,204.55837179148466,0.20602639440370188,0.00493305999999996,False,0.4979247380820603,0.8298745634700999,5,0.42939082130475653,-0.4433573265421604,-0.420750090374168,5858.363879377258,17,-0.03101795789959535,-3.1017957899595348,29292.620626603923,64,0.12379110251450677,0.8665377176015474,0.04191605901856453,0.0,0.625,40,-0.015491756993272987,-826.040453911093,-0.8389467641898609,2.5,1.05,0.9,1.5,2379,True,True,True,0.0,-0.006752744583244469,1.2021592040122093,12,-965.9966014911723,-0.8754539000994221,288.63929393600824,0.2707823348428725,0.003469730765544305,742.4437667500948,0.6853784198220004,0.06126623830596811,3203.000615346178,2.9600967214561376,0.0,0.12722439835499588,12.72243983549959,4.763580195359647,-1.1968740876277365e-05,288.63929393600824,0.2707823348428725,0.06520512613847022,16421.94222534993,34894.85703725445,17,3,13,-0.026707726780569194,3302,2.6707726780569194,2.6948807533882313,119.79760988675015,0.11764283011841398,0.0013338585180934586,False,0.768578031852299,2.1248922057092967,11,6.916693046801793,1.5614169098565567,1.6120603849324735,10274.039116280419,17,0.18472914811904498,18.4729148119045,10274.078137311943,64,0.12379110251450677,0.8665377176015474,0.010234246158857308,0.0,0.734375,47,-0.00659072457212917,-1111.093927426338,-0.9352896637889238,0.12,0.0,0.5,24,0,2.4097307949270137,0.2364266936659036,2.9074922855975958,0.6904761904761905,9,1,352.12179714870706,84,11
True,True,4.0,16.0,0.5,36,102.00113394546688,20,100,True,flow_breakout,0.00025,1.25,240,8,True,0.01,-1.0,2.0,0.33,1.5,75.86465010931421,19.007905175288332,18,0.0,0.0,-0.02666335129835686,2.967062873725326,8,-442.17903034259587,-0.4461189542887117,-64.59468707644506,-0.06515331293414404,-0.002202033415093519,218.593570373168,0.2205709180817817,0.013243800935342609,1391.7345633302898,1.4016382286892812,0.0,-0.028924735649215938,-2.892473564921594,-0.4939917607975934,-9.737438775905609e-06,-64.5946870764451,-0.06515331293414404,0.040702829048118,11938.833819250085,7869.36853343405,27,6,7,-0.05855307303610569,10365,5.855307303610569,5.992554655407643,101.93040675614876,0.10309871221010368,0.004933059999999948,False,0.49435535240964257,0.6591404698795237,4,0.6950045616404539,-0.906825007937775,-0.16615975308032777,3220.109468579192,17,-0.04069465285816012,-4.069465285816012,16100.928632216157,63,0.1218568665377176,0.8529980657640233,0.03370225115898656,0.0,0.5714285714285714,36,-0.014820013200976256,-617.830527149739,-0.6142138976141405,1.75,1.05,1.0,2.5,2972,True,False,True,0.0,-0.0024516652284884495,0.529423079652761,8,-433.4007061147101,-0.41646084938629563,107.99139959913968,0.10541743105299084,0.003407217661640692,235.37777741416312,0.22821232056811705,0.022629262317559684,1995.961873728171,1.9455829138405965,0.0,0.04759868453457594,4.759868453457594,3.702074914140392,-4.04494552216553e-06,107.99139959913964,0.10541743105299084,0.040702829048118,5200.808473376521,12004.266648122317,12,2,17,-0.012857299119682504,1708,1.2857299119682504,1.2896377655866171,37.69485327126912,0.036572919373223156,0.0009930040000000662,False,0.5430950482850959,2.3081539552116572,12,5.291514268599997,1.3428432386513927,0.21884979428554469,4355.936650293432,17,0.06803458174745815,6.803458174745815,4355.952165640198,63,0.1218568665377176,0.8529980657640233,0.003969114062881134,0.0,0.8095238095238095,51,-0.005378940698733237,-669.9461347918449,-0.6487995013449939,0.05,0.0005,1.0,72,0,2.4555238778354305,0.09768788138438333,3.642288812476387,0.7467729240456513,9,2,336.4174958310598,92,11
True,True,3.0,3.0,0.5,18,181.24953107946044,20,100,True,flow_breakout,0.0005,1.25,168,12,True,0.005,0.5,2.0,0.67,1.5,70.84013494175579,25.59651042901754,18,0.0025,0.0,-0.020038185494057153,2.0274389322790043,12,-461.93161410623674,-0.46606009399015724,-4.45382363337989,-0.0031051727364095083,4.0063930601927176e-05,335.72196928233416,0.3411433584522747,0.025406186682712217,2320.6098504665506,2.4125770236611728,0.0,-0.0021405967092068545,-0.21405967092068545,-0.04508900265912168,-1.0928877436495968e-05,-4.453823633379926,-0.0031051727364095083,0.06576932376884018,13396.016809080866,13093.156802011034,29,3,7,-0.0474749181167307,10734,4.74749181167307,4.830284939469781,117.08337243387066,0.11807185013353168,0.004933059999999933,False,0.7267785079657345,0.9773917865746085,6,0.06379368708445285,-0.0342361558977993,-0.013940939562745754,4045.864683247694,17,-0.0030286000706987396,-0.302860007069874,20229.92273942365,68,0.13152804642166344,0.920696324951644,0.022481786052443418,0.0,0.5735294117647058,39,-0.016062367548347445,-537.1619628990687,-0.5464772043709032,1.5,1.0,1.5,1.5,1772,True,False,True,0.0,-0.0029061856784714703,0.834981375313956,12,-478.4703045846237,-0.45114010781995295,271.9234981713601,0.252137761734287,0.006117247908723859,502.81389901935506,0.46853095236636083,0.037510948432886604,3553.5133276152183,3.4052964178267286,0.0,0.12734460356528698,12.734460356528698,6.719851487942187,-5.842837724720137e-06,271.92349817136,0.252137761734287,0.06576932376884018,7655.524873353978,26146.322749006467,16,3,15,-0.018950508622666538,1775,1.8950508622666538,1.9040254488699095,48.10138429054878,0.04500947003569002,0.0009930040000001175,False,1.0508779629612852,3.415353379624178,13,9.757415087812374,1.9899229408443504,0.8188853272677421,5890.4430854121165,17,0.18490797875652498,18.490797875652497,5890.473357126111,68,0.13152804642166344,0.920696324951644,0.005685101081842449,0.0,0.7647058823529411,52,-0.009829464182519954,-605.4973568634553,-0.5712565263239171,0.05,0.0,0.75,72,0,1.61235210466645,0.17284512481582937,2.445091628442598,0.7136946386946387,10,3,332.15903041954084,111,11
True,True,6.0,3.0,0.5,18,274.15535647038666,8,80,False,flow_breakout,0.0025,1.0,48,12,False,0.01,0.5,2.0,0.67,0.75,68.390701914207,19.445352024516588,24,0.0,0.0,-0.0028579813371577456,0.41575560560368413,13,-388.4700142924315,-0.3823480414678008,43.43174678931725,0.043337791880519706,0.002206870987265567,174.88010885767554,0.17289434985609556,0.010694226940739293,1390.6673163077323,1.3857906333973475,0.0,0.018340559229670594,1.8340559229670594,1.3881261036660733,-4.3308030586967955e-06,43.43174678931727,0.043337791880519706,0.06407673087773032,5438.58020009404,8044.485007453074,14,3,7,-0.013212458998669322,3461,1.3212458998669323,1.326856176764277,85.88227487359579,0.08407553359095442,0.004933060000000001,False,0.4501765964516111,1.4791516740552937,9,1.9723087183252483,0.7697136474669892,0.7859202565831602,2347.8317042514946,17,0.026059048073590385,2.6059048073590385,11739.57585406649,60,0.11605415860735009,0.8123791102514506,0.004346331194786826,0.0,0.7666666666666667,46,-0.003067228288447632,-418.5234632018005,-0.4153236863976836,1.5,1.05,1.1,2.0,2634,True,True,True,0.0,-0.0012639370066188191,0.41956465275923616,13,-372.3056673131192,-0.3604459272035834,154.6588449716179,0.14872801128973087,0.006293303257998748,237.31994493785118,0.22859843301417232,0.015978545226028817,1798.5572706248217,1.7602497922878582,0.0,0.06363435599200007,6.363435599200007,5.185784954559028,-2.3339274930220033e-06,154.65884497161792,0.14872801128973087,0.06310953493995325,2978.4453385049537,12103.317191830412,8,3,30,-0.012270920709131333,3458,1.2270920709131332,1.2318197213254045,29.216191600080922,0.028700526874618427,0.0010070040000000036,False,0.6374330711927053,4.0636358288534975,14,7.436175385385055,2.0914099143988034,2.549269226635355,2842.1655909169967,17,0.09124871853325414,9.124871853325415,2842.1804001346777,59,0.11411992263056092,0.7988394584139265,0.002735334632597225,0.0,0.864406779661017,51,-0.003542129638559266,-400.82138854039385,-0.39075143571527066,0.05,0.001,0.0,168,0,1.2351374738776166,0.0642814629628315,3.4469446441838105,0.8063951200314836,9,4,320.4370978513723,82,11
True,False,5.0,16.0,0.5,24,112.16357766069694,10,100,True,flow_breakout,0.0005,0.75,36,8,True,0.0,0.5,3.0,0.33,1.0,63.038640842073555,22.084031981435324,12,0.0025,0.0,-0.024810068418796856,2.3856392653010254,8,-325.90403611013073,-0.33035818874273726,-56.855045674412224,-0.05741721877906741,-0.002549178196210586,186.9706019079577,0.1899355352505085,0.002285459705128279,725.0758634790917,0.735842744259722,0.0,-0.024628444474623645,-2.4628444474623645,-0.5837511347584189,-7.742352896023435e-06,-56.855045674412196,-0.05741721877906741,0.03941323446441525,9451.217047193793,5983.059261054645,29,4,4,-0.04218997276093681,11780,4.218997276093681,4.285326706152097,77.67043020626576,0.07790404955303909,0.004933059999999879,False,0.5736983319984902,0.6330464353086784,3,0.822033663257123,-1.0471420999867707,-0.28418770816161204,2612.377299476058,17,-0.03468157786139112,-3.468157786139112,13062.191657659447,61,0.11798839458413926,0.8259187620889749,0.027735212136908997,0.0,0.5245901639344263,32,-0.007514837563449395,-394.605169086275,-0.39931982812334144,1.75,1.05,1.0,1.5,225,True,False,True,0.0,-0.0020652104932963444,0.35036341125854986,8,-275.0060556451165,-0.2677930209927928,85.5906125056688,0.08401448064532473,0.0033068525941325855,236.53805498739288,0.23128273714500178,0.009712792994701624,1127.7987315311168,1.1100549861096174,0.0,0.036609045308673815,3.6609045308673815,3.973241863092249,-3.898952016395916e-06,85.59061250566882,0.08401448064532473,0.03941323446441525,4950.109001612097,10171.136364457896,18,2,6,-0.009213898013291883,3508,0.9213898013291884,0.9238332179192108,30.455302856870507,0.029187489945030228,0.0009930040000000208,False,0.8601194414883544,2.0547297768888466,12,5.666469669312586,1.3390636194499639,0.28209579881573804,3325.731804650805,17,0.05221027362845795,5.221027362845795,3325.743677153456,61,0.11798839458413926,0.8259187620889749,0.0030389070789425708,0.0,0.7049180327868853,43,-0.002537448511075735,-386.253132667218,-0.3676738920335789,0.08,0.0,1.0,120,0,1.5458207701744935,0.09666115583691683,3.213561571789278,0.7015484515484516,8,5,302.77216497550984,87,11
True,False,3.0,8.0,0.5,18,209.20415392113046,8,80,False,flow_breakout,0.0025,2.0,96,12,True,0.01,0.0,1.2,0.25,1.5,60.03230098951808,27.806174908862676,18,0.0005,0.0,-0.020755618565403432,2.5027858184636766,16,-847.6690095840027,-0.8315817075149379,14.076242212119999,0.015568431413214843,0.00037569196278502926,284.42769375600164,0.28134102401812544,0.028660285456981516,1522.8762253910236,1.5240245854145744,0.0,0.006653683268560195,0.6653683268560195,0.14652105013411507,-1.0769168207397024e-05,14.076242212120007,0.015568431413214843,0.0902716208591924,13562.704153344044,14505.812381556087,16,2,10,-0.045411108250110695,10729,4.54111082501107,4.6038932126036025,143.8299386859433,0.14243931177776006,0.004933060000000005,False,0.3355409842051272,1.069536887153843,7,0.20768227523046748,0.15933494766079592,0.14611428040326277,4277.383947997723,17,0.009431082282120041,0.9431082282120041,21387.584941916353,67,0.12959381044487428,0.90715667311412,0.02390557071482269,0.0,0.7611940298507462,51,-0.017794892929779094,-924.145273296349,-0.8997776828432751,1.25,0.95,1.25,3.0,719,True,False,True,0.0,-0.006462359302689403,1.2838974296523695,17,-1010.7863916697534,-0.9253823663983141,213.6280638550169,0.20312034867593395,0.004274040658668615,458.510954959971,0.4288208916907836,0.0467515006360375,2357.515852316009,2.1862914441618853,0.0,0.09766463287129357,9.766463287129357,3.4485780680886413,-8.241604752960448e-06,213.62806385501702,0.20312034867593395,0.0918030144273394,11118.650308367287,25218.102522798406,11,2,14,-0.028320261552154377,5129,2.8320261552154378,2.825000608223812,46.43578685623305,0.04406373350998852,0.0009930040000000447,False,0.4536180529721425,2.268090264860713,11,4.978574152101548,1.4188237368351544,1.9636998891286193,6049.973983935561,17,0.14099452214431105,14.099452214431105,6050.000183361669,66,0.1276595744680851,0.8936170212765957,0.010316222474790616,0.0,0.8333333333333334,55,-0.008543933561548145,-1111.9185249219636,-0.9654619965723297,0.12,0.003,1.0,48,0,3.140613374955481,0.08407436902233333,3.159402146720099,0.8208860583860584,7,6,287.7838957806884,118,11
True,False,2.5,6.0,0.5,24,142.24034670482172,30,150,True,flow_breakout,1.0,1.0,48,12,True,0.005,0.0,0.8,0.25,0.25,60.36749239571501,44.966881165622425,6,0.0,0.0,-0.022412544107198822,2.262099816705373,12,-535.3002456512553,-0.54077076234635,-20.982365268668225,-0.019693051481059317,-0.0007037158260438335,364.7560450182721,0.37111523166790883,0.011327861342897538,1688.3553989465586,1.7453910450636354,0.0,-0.011441438177338892,-1.1441438177338892,-0.24474993707892884,-1.4435718457716812e-05,-20.982365268668218,-0.019693051481059317,0.07447408720883372,17664.908106491424,16049.265980803972,33,4,7,-0.046747461159302235,11776,4.6747461159302235,4.734349287999061,151.82278067892045,0.1538394998805238,0.004933059999999947,False,0.681404591127179,0.9085394548362387,8,0.34561066753588204,-0.22289787576644515,-0.12227380309280317,5391.725442788985,17,-0.016156421256874165,-1.6156421256874165,26959.39560091762,77,0.14893617021276595,1.0425531914893615,0.0256405382938693,0.0,0.5714285714285714,44,-0.02842369550312185,-599.39803822131,-0.595236338810169,1.75,0.95,1.25,1.5,882,True,True,True,0.0,-0.005123293061952952,0.9440246384719716,12,-586.569429739676,-0.5540983814690892,279.6897278491475,0.2564091181121701,0.004791135355427985,583.640309459261,0.5407977144564716,0.03239596484671958,2920.7755755739554,2.8330464329443696,0.0,0.1477375597580235,14.773755975802349,6.797227001846753,-8.973979779238656e-06,279.68972784914746,0.2564091181121701,0.07455468687031515,11731.388594793523,33267.497639177884,20,2,9,-0.021734975118218702,2890,2.1734975118218705,2.1901866202532627,58.99229290711513,0.05479153541956195,0.0009930040000000796,False,0.9950063536694794,2.8357681079580166,13,9.90850411709575,1.9828448651837725,1.099503392159705,8382.30795816015,17,0.21536109044384372,21.53610904438437,8382.346258922962,77,0.14893617021276595,1.0425531914893615,0.008195680364110485,0.0,0.7402597402597403,57,-0.015577997648703601,-677.7131924562723,-0.6413516840084824,0.2,0.001,0.0,24,0,2.1424863234273053,0.12454809496350677,2.039472814068008,0.7065636383818202,9,7,271.9717265682875,123,11
True,False,2.5,6.0,0.5,18,457.89340192941836,10,100,False,flow_breakout,1.0,2.0,72,12,True,0.0,0.5,1.2,0.33,1.0,64.96279057085013,34.88170771390881,18,0.0005,0.0,-0.010923244409668624,1.2133375804503936,12,-594.5042090231489,-0.5846727251599265,24.282138036625966,0.025360346954158806,0.000713651929365908,351.1881327097145,0.3476419699578266,0.012981899129479002,1695.6560312561546,1.7001653766975477,0.0,0.013855644719201088,1.3855644719201088,0.4659451764440308,-1.325251866305993e-05,24.282138036625952,0.025360346954158806,0.08229225437253164,16646.117852648164,18612.971033614875,28,2,6,-0.029736641604370003,7626,2.9736641604370004,3.001718504281696,163.88982699944688,0.16249891221726703,0.004933059999999962,False,0.5907243840826027,1.1181568698706414,8,0.6614241134337313,0.3105755926090664,0.5503306094470608,5956.7847376708205,17,0.019668531809667038,1.9668531809667038,29784.866400961822,81,0.15667311411992263,1.0967117988394584,0.013437347179351992,0.0,0.654320987654321,53,-0.009260244991227018,-614.5336446381477,-0.5959839388327084,2.0,0.95,1.25,1.5,2484,True,False,True,0.0,-0.003632238474994781,0.7708434313512915,12,-659.4998617572057,-0.6020189585523347,348.8990061761038,0.31154305849541075,0.005934911796901559,641.6599678341614,0.576770740864111,0.03315651159374844,2942.1075016159225,2.83304643294437,0.0,0.1899547967882862,18.99547967882862,8.813207164247752,-8.778630309415169e-06,348.89900617610385,0.31154305849541075,0.08035786249697752,11870.997511629701,39782.918005718006,18,2,11,-0.021553424678234002,1273,2.1553424678234,2.1659958221687274,77.58255371403355,0.06968784180446744,0.000993004000000105,True,0.9729493591166027,3.351270014734965,15,12.950109279976962,2.3979468529441426,3.411905321090606,9259.318936660095,17,0.2791192049408826,27.91192049408826,9259.36536726438,80,0.15473887814313347,1.0831721470019344,0.005889654424940024,0.0,0.775,62,-0.0034533370861713486,-801.739285016775,-0.6483765363253396,0.08,0.0005,0.0,72,0,2.376749677172827,0.11961789288127486,1.904752217069207,0.6878909266609802,9,8,259.47309270621264,135,11
True,False,2.0,16.0,0.5,36,-86.3847143056911,20,150,False,flow_breakout,0.00025,1.5,120,4,True,0.005,0.0,3.0,0.33,0.75,75.56991887790034,20.9936725988211,36,0.0,0.0,-0.0636932344548039,6.887040082857205,6,-850.0068881504012,-0.9073824305619428,-253.38121568897287,-0.2708994243832192,-0.007196792598803485,208.52253073277802,0.2218616126583734,0.010386636732988785,549.7805120806651,0.5594680216009499,0.0,-0.1006000674611982,-10.060006746119821,-0.7179119639585722,-1.7597719865443738e-05,-253.38121568897293,-0.2708994243832192,0.030950270008865962,20400.165315609633,6464.1984527161185,24,4,6,-0.1401286961516683,11413,14.012869615166831,14.99359287477293,153.47612251913338,0.1628734278031897,0.0049330599999999475,False,0.2453186364013109,0.3168699053516932,4,0.9945119911634593,-2.241327278409895,-1.4333943614305844,4157.147006936287,17,-0.13935966862893504,-13.935966862893503,20786.010214440194,55,0.10638297872340426,0.7446808510638298,0.07593900426185528,0.0,0.5636363636363636,31,-0.02415869197382403,-965.0973242902063,-0.9990615217099581,2.5,1.05,1.1,2.5,1271,True,True,True,0.0,-0.03129335210957573,3.2535378650368565,9,-998.2131849876769,-0.9982438313229071,6.657308257385664,0.010327696689044215,-0.0005211885298890025,359.71991399213744,0.3646906659905407,0.01914582154660649,2837.8146401805834,2.8500152140744652,0.0,0.0023504793823416748,0.23504793823416748,0.042599839095239414,-1.0491688743793164e-05,6.657308257385694,0.010327696689044215,0.036431046989602645,12976.7714048398,13309.636817709084,13,2,14,-0.0551757807602692,11413,5.51757807602692,5.629528213036361,57.577695676389204,0.058870497169749514,0.0009930039999999764,False,0.36036381747109286,1.0256508651100336,10,0.060328174478500564,0.06037271982595791,0.994225391250692,5981.647165823237,17,0.003328654128693015,0.3328654128693015,5981.659461994969,50,0.09671179883945841,0.6769825918762089,0.03461903309904282,0.0,0.74,37,-0.018190180009641455,-1023.2011214753275,-0.9991627224202451,1.0,0.0,1.0,24,0,4.337001473243927,0.01760944573022818,3.312125167556531,0.7319493637675456,6,9,225.05396388118433,81,11
True,False,6.0,6.0,0.5,18,143.39267186370293,14,100,True,flow_breakout,0.0025,1.5,24,12,False,0.0,-0.25,1.2,0.33,1.0,74.5778598868173,18.8740848075145,24,0.0,0.0,-0.012332364042246595,1.2894283046515942,12,-302.1202126728334,-0.30283764753003967,-10.075043261871995,-0.009791116767241925,-0.0012638344170375923,159.31115499648567,0.16017587107518075,0.006405257396381092,905.5537524127348,0.9148622730507582,0.0,-0.005629663610542512,-0.5629663610542512,-0.26634431209433007,-7.107714291333063e-06,-10.07504326187194,-0.009791116767241925,0.07640847908438785,8761.486167512168,7965.557749824283,29,5,7,-0.021136789317087717,10844,2.1136789317087716,2.116873090992539,88.27515410772446,0.08789002909412093,0.004933059999999985,False,0.527310482099402,0.9091560036196588,7,0.3765606998052586,-0.23853005383419126,-0.10528271195080838,3215.3008991833826,17,-0.007959284176878864,-0.7959284176878865,16076.966904401372,79,0.1528046421663443,1.06963249516441,0.01367497568186453,0.0,0.6329113924050633,50,-0.007345288604147404,-354.25972799705204,-0.3539463849934026,1.5,1.1,1.25,1.5,1996,True,True,True,0.0,-0.002015147024921069,0.4105976793886636,12,-278.36809009788965,-0.2711528240541439,91.39623655319359,0.08874637430219301,0.002987872553232328,225.27642378893063,0.21905470474155636,0.01553336910141212,1222.9817552980421,1.1835654978668635,0.0,0.05048560611131081,5.048560611131081,3.923005001865761,-4.611442585954837e-06,91.3962365531936,0.08874637430219301,0.07640847908438785,5845.729892055682,13066.032579757977,21,4,12,-0.012869115916829092,2183,1.2869115916829093,1.2912853801085538,52.034836825214676,0.04976872746153739,0.0012188393455406247,False,0.8092753149605293,2.235141346081462,12,5.610566207007421,1.7408363891320966,0.9489338315047697,4031.982364978386,17,0.07220302687702264,7.220302687702264,4031.997649260849,79,0.1528046421663443,1.06963249516441,0.0033862067531060737,0.0,0.7341772151898734,58,-0.006907655016749281,-316.7714239176262,-0.3148068345077492,0.05,0.002,0.5,72,0,1.0335306419368617,0.046892503593161064,2.2660034632600428,0.6908205430932703,7,10,217.21545196349987,88,11
