allow_long,allow_short,atr_stop_mult,atr_tp_mult,break_even_atr,channel_lookback,deploy_score,ema_fast,ema_slow,exit_on_flat_signal,family,funding_abs_max,funding_z_extreme,max_holding_bars,min_holding_bars,move_stop_after_partial,oi_change_min,oi_z_min,partial_exit_atr,partial_exit_fraction,pullback_atr,rsi_high,rsi_low,slope_bars,slope_min,stress_alpha,stress_avg_drawdown,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_pnl,stress_avg_r_multiple,stress_avg_trade_return,stress_avg_win,stress_avg_win_r,stress_best_month,stress_best_trade,stress_best_trade_r,stress_beta,stress_cagr,stress_cagr_pct,stress_calmar_ratio,stress_cvar_95,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_gross_loss,stress_gross_profit,stress_losing_trades,stress_max_consecutive_losses,stress_max_consecutive_wins,stress_max_drawdown,stress_max_drawdown_duration,stress_max_drawdown_pct,stress_max_drawdown_r,stress_median_pnl,stress_median_r_multiple,stress_median_trade_return,stress_pass,stress_payoff_ratio,stress_profit_factor,stress_profitable_months,stress_recovery_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_months,stress_total_return,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_trades_per_week,stress_ulcer_index,stress_var_95,stress_win_rate,stress_winning_trades,stress_worst_month,stress_worst_trade,stress_worst_trade_r,taker_extreme,taker_min,top_lsr_min,trail_atr_mult,trial,use_break_even,use_partial_exit,use_trailing_stop,validation_alpha,validation_avg_drawdown,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_pnl,validation_avg_r_multiple,validation_avg_trade_return,validation_avg_win,validation_avg_win_r,validation_best_month,validation_best_trade,validation_best_trade_r,validation_beta,validation_cagr,validation_cagr_pct,validation_calmar_ratio,validation_cvar_95,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_gross_loss,validation_gross_profit,validation_losing_trades,validation_max_consecutive_losses,validation_max_consecutive_wins,validation_max_drawdown,validation_max_drawdown_duration,validation_max_drawdown_pct,validation_max_drawdown_r,validation_median_pnl,validation_median_r_multiple,validation_median_trade_return,validation_pass,validation_payoff_ratio,validation_profit_factor,validation_profitable_months,validation_recovery_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_months,validation_total_return,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_trades_per_week,validation_ulcer_index,validation_var_95,validation_win_rate,validation_winning_trades,validation_worst_month,validation_worst_trade,validation_worst_trade_r,volatility_max,volatility_min,volume_min,vwap_lookback,wf_gate_windows,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_win_rate,wf_positive_exp,wf_rank,wf_score,wf_total_trades,wf_windows
True,False,1.5,12.0,0.5,36,146.08086123235694,10,300,True,flow_breakout,1.0,1.5,168,12,False,0.0025,-1.0,3.0,0.67,0.5,79.07011671502632,30.159704645614887,18,0.0005,0.0,-0.030656867346664226,3.030631496597778,12,-856.0540964055812,-0.8582868995277515,-0.8377827073673991,0.002177175769991206,0.0006678973650210984,387.8969053372752,0.3932972099962378,0.03993038308868324,3643.0210809946498,3.698784810712191,0.0,-0.0003788307541465752,-0.03788307541465752,-0.006458584770251044,-1.388364444399466e-05,-0.8377827073674098,0.002177175769991206,0.06197114997179466,17121.081928111624,17067.46383484011,20,3,11,-0.05865538157701538,9105,5.865538157701538,5.983746228482299,170.39793442328096,0.1733950660842487,0.004933059999999997,False,0.45312195451897874,0.9968682999417533,7,0.009141206114415972,0.015592316932526194,0.004619262321301876,4905.178143413233,17,-0.000536180932715215,-0.0536180932715215,24526.62517169642,64,0.12379110251450677,0.8665377176015474,0.03480881983680141,0.0,0.6875,44,-0.022917343468627727,-1017.1519779510047,-0.9990709003090307,1.5,1.0,1.0,2.0,2169,True,False,True,0.0,-0.013038050893974968,1.430196356423343,12,-929.586357269486,-0.8841811641766051,279.1561627040696,0.2622194662272956,0.005683291823444574,587.2670011287014,0.5544392347616232,0.09298614761367685,5656.46034892809,5.06632239919615,0.0,0.1231416760692916,12.31416760692916,3.8248631241106015,-9.301897818480122e-06,279.1561627040695,0.2622194662272956,0.06197114997179466,12084.622644503319,29950.61705756377,13,3,13,-0.03219505432574815,8722,3.219505432574815,3.256593298354408,61.951648345161495,0.05822647301529476,0.0009930040000000642,False,0.6317508820306981,2.4784073064281227,10,5.549297799684735,1.3998447365802615,0.4669665626055928,7679.35346263208,17,0.1786599441306047,17.86599441306047,7679.386687366167,64,0.12379110251450677,0.8665377176015474,0.016707054324980385,0.0,0.796875,51,-0.022954341101823816,-1071.7267432207968,-0.9991486618884746,0.08,0.001,1.0,48,0,5.434313143768456,0.032736478303091114,2.8423172683989697,0.6453643578643579,3,1,210.56635012724777,61,6
True,True,2.5,6.0,0.75,36,140.60506601619943,14,80,False,flow_breakout,0.0025,1.25,48,12,False,0.005,0.5,3.0,0.5,1.5,70.18425992957279,27.88137044284036,12,0.0025,0.0,-0.021449529540013182,2.298954075607621,13,-953.6791069250302,-0.9603765638911941,38.78740492815888,0.04173926881903777,0.0030498898746015926,336.5273584841156,0.34237401863210737,0.021310904342183745,4580.361980122079,4.737170547267982,0.0,0.017746435587105314,1.7746435587105314,0.4182469218269934,-1.165694162353772e-05,38.78740492815896,0.04173926881903777,0.07244741719719558,14305.186603875452,16826.36792420578,15,3,10,-0.042430522882475806,6823,4.243052288247581,4.284663715435334,130.80699474891858,0.1320381256136131,0.004933060000000013,False,0.3528727388913747,1.1762424629712491,10,0.5941904904904242,0.28143508889472574,0.3081656515539473,3569.5095006761117,17,0.025211813203303464,2.5211813203303466,17848.145974300267,65,0.12572533849129594,0.8800773694390716,0.02624367833523248,0.0,0.7692307692307693,50,-0.016388214345167462,-1001.9984795468242,-1.0009722023074388,1.25,0.95,1.1,3.0,2113,True,False,True,0.0,-0.0225860326159339,2.823163378816426,14,-1018.3775985577415,-0.9936146639020018,124.80154716228742,0.12559716465788331,0.005045757251975766,444.89170796389544,0.4389764766546512,0.029007790926456778,5874.4485144529035,5.913634114592374,0.0,0.05578896803655797,5.578896803655797,1.1982026555688126,-1.1256356444916669e-05,124.80154716228736,0.12559716465788331,0.07365621726166492,14257.286379808382,22244.585398194777,14,3,13,-0.04656054447657166,6823,4.656054447657166,4.69875069033639,36.83485879843721,0.03622979736724374,0.0009930040000000447,False,0.4368632112430253,1.5602257544393763,10,1.7154651235673333,0.6600887065303124,2.2813721170516725,4710.796091069826,17,0.07987299018386432,7.987299018386432,4710.8134999781705,64,0.12379110251450677,0.8665377176015474,0.02882634474745211,0.0,0.78125,50,-0.017184551479206167,-1051.1456071352309,-1.0009684656438724,0.12,0.0,1.5,120,0,3.662770745836909,-0.07753500719664735,1.0011120632869692,0.670544733044733,3,7,61.47024543172012,67,6
True,True,4.0,8.0,0.5,12,123.6143843905311,14,300,True,flow_breakout,0.0005,2.0,240,12,True,0.0,1.0,2.0,0.33,1.0,69.46330782537717,36.5239912528209,24,0.0,0.0,-0.025259931880839435,2.466272191415268,12,-612.5381469664524,-0.6224826703841747,-6.069772496129715,-0.004630525588352701,0.001728190432589225,212.25884231318648,0.21779624653814328,0.03432349596626216,2933.1544106333226,3.0688240921521093,0.0,-0.0029177257517289945,-0.29177257517289945,-0.05792743375775406,-9.06674871897971e-06,-6.069772496129644,-0.004630525588352701,0.06575872350713192,11025.686645396141,10612.942115659322,18,2,6,-0.050368634728936754,12145,5.036863472893676,5.127010973816981,91.25487861235547,0.09270457505422947,0.004933059999999989,False,0.3465234669291732,0.9625651859143699,7,0.08194475231620171,-0.04927202914428894,-0.008760792567176854,2718.867469767743,17,-0.004127445297367958,-0.4127445297367958,13594.734870283834,68,0.13152804642166344,0.920696324951644,0.029243058937136246,0.0,0.7352941176470589,50,-0.022224085606140198,-888.7397858220284,-0.9024317405539136,1.25,1.0,0.9,4.0,315,True,True,True,0.0,-0.017419793605956503,2.1150525761832077,12,-633.4170680968906,-0.6335158306249454,43.04186363888141,0.044266437556797,0.0042141950185529764,234.49250469617533,0.23609160779691282,0.03701580774897839,3524.183237128367,3.6113223205820297,0.0,0.020589860735113596,2.0589860735113596,0.5192867203932271,-7.691410327295975e-06,43.04186363888138,0.044266437556797,0.06575872350713192,9501.256021453359,12428.102748897294,15,2,6,-0.039650273974890085,8722,3.9650273974890085,4.018156820537181,25.273592526452752,0.025419778114378348,0.0009930040000000616,False,0.3702023777172771,1.3080484012677127,10,0.7381655746685427,0.4173814783072449,0.06563013321193797,3336.309652486754,17,0.0292684672744399,2.92684672744399,3336.3192519621803,68,0.13152804642166344,0.920696324951644,0.022888496016068897,0.0,0.7794117647058824,53,-0.021959964613012306,-978.555454670691,-0.976203732412313,0.12,0.0005,0.75,48,0,3.638945089358401,-0.060430949626515094,2.1839017391040914,0.680128205128205,2,4,103.9642427976409,61,6
True,False,6.0,6.0,0.5,18,117.91612124810639,8,150,False,flow_pullback,0.00025,1.25,24,12,True,0.005,1.0,1.0,0.67,0.75,65.89841324581964,27.825133294184113,12,0.0005,0.0,-0.008893486479326229,0.9024317103672028,12,-300.326891633729,-0.30038160391181645,11.598870082873555,0.011890903156946216,0.0009245453589086809,150.85144227778545,0.1512982723840724,0.011710101786054139,1200.9525467687292,1.202511716074085,0.0,0.006628321596107378,0.6628321596107378,0.31728016641871776,-6.079614716479453e-06,11.59887008287356,0.011890903156946216,0.08115077766137481,7508.172290843227,8447.680767555985,25,3,6,-0.02089106820298347,10352,2.0891068202983467,2.1051228263215678,71.18735333067244,0.0712958425907289,0.004933059999999975,False,0.5022908253642501,1.12513144881592,9,0.4497177777527971,0.2836328661616197,0.2192923323132886,2566.742947143508,17,0.009395084767127845,0.9395084767127846,12834.123245084143,81,0.15667311411992263,1.0967117988394584,0.010736784970373427,0.0,0.691358024691358,56,-0.009968138334245147,-335.7049895645904,-0.33467511844752434,2.5,0.95,0.9,1.5,2348,True,False,True,0.0,-0.00539979421767785,0.6601947430958247,12,-273.9263498118836,-0.26951593608171953,64.79906096228186,0.06362285572186627,0.0038198248262521707,175.85657269151645,0.1728486891000911,0.017275746433051076,1477.1057591815181,1.4273508398780819,0.0,0.03680180731179439,3.680180731179439,2.0723713889489135,-4.365691035583058e-06,64.79906096228187,0.06362285572186627,0.08034491095172859,5478.5269962376715,10727.250934182503,20,3,10,-0.017758306984955965,6771,1.7758306984955965,1.7879144886828904,22.029757379721136,0.021945803861958574,0.0009930040000000367,False,0.6419848722559343,1.9580538603805995,12,2.9556443316309835,1.3052448975269757,0.9553575768503126,3001.77816940082,17,0.052487239379448,5.2487239379448,3001.7894216921777,81,0.15667311411992263,1.0967117988394584,0.007334199452704979,0.0,0.7530864197530864,61,-0.00574183516578719,-303.4768591405154,-0.30033334235569253,0.2,0.0,1.25,168,0,2.2142933691747757,-0.07111243245925437,0.6377747919455758,0.5174603174603175,2,22,7.822830961584232,84,6
True,True,2.5,6.0,0.5,72,83.75034715930377,14,100,True,flow_pullback,0.0025,1.0,48,12,True,0.01,-1.0,2.0,0.25,0.75,62.33376245520065,42.4544106113352,24,0.0,0.0,-0.02933631061839195,3.272133776180883,12,-553.1351716434817,-0.5553130442681714,15.441003198580802,0.016535498487751196,9.13836686249553e-05,322.47213761329454,0.3253337115759494,0.03401455145067955,1304.6335871195765,1.3325743665472218,0.0,0.008385159264548081,0.8385159264548081,0.1428967179128596,-1.2132587955365457e-05,15.441003198580802,0.016535498487751196,0.07446208397131114,14934.649634374005,16123.606880664729,27,4,9,-0.05867985904099958,10692,5.867985904099958,5.983694543480783,144.36641268175714,0.14676269786750706,0.004933059999999951,False,0.5829897539423529,1.0796106554488019,9,0.20261760435723175,0.20788203540349373,0.12951665811582783,4846.2020851644265,17,0.011889572462907382,1.1889572462907383,24231.767098982615,77,0.14893617021276595,1.0425531914893615,0.03513760806383965,0.0,0.6493506493506493,50,-0.020077708370154546,-609.4536628728389,-0.5962483027552081,2.0,1.1,1.5,1.5,2494,True,False,True,0.0,-0.003837664814315167,0.7161860003671805,12,-590.9866111699951,-0.5532200339658659,242.11405341313517,0.22442914425686966,0.004929472809435199,515.0263400869193,0.4791762888470761,0.05390452063534901,2480.7639589835194,2.3851036327525996,0.0,0.12836598645890684,12.836598645890685,4.086530919075947,-8.511077445628712e-06,242.11405341313522,0.22442914425686966,0.07446208397131114,11228.745612229906,29871.527725041324,19,4,13,-0.03141196995713254,2848,3.141196995713254,3.1809506921397093,56.022952781105495,0.05009549919020233,0.0009930040000000859,False,0.8714687107163142,2.66027290639717,13,5.93492930823916,1.969231247448835,1.066508555515961,7053.0889954582835,17,0.18642782112811387,18.64278211281139,7053.121744450757,77,0.14893617021276595,1.0425531914893615,0.007152918447181922,0.0,0.7532467532467533,58,-0.02023459736197064,-699.1171283612545,-0.6329902784875208,0.2,0.0005,0.75,120,0,3.761775604494847,-0.049195862035963635,0.8694722084221204,0.5239087301587302,2,15,30.57909146450436,90,6
True,False,5.0,12.0,0.75,36,78.3940874220191,10,150,True,flow_pullback,0.0005,1.5,96,12,True,0.02,1.0,1.2,0.25,1.5,71.6599236379486,43.42526589477613,12,0.001,0.0,-0.010279935563946054,1.2048216953094475,12,-322.41305115077705,-0.3225902264588524,8.357688231415022,0.008909663278475529,0.00039924728366170093,220.99602069139561,0.22201673525247206,0.013425914134262529,1254.5998989838629,1.2638054412063648,0.0,0.002714557068939971,0.2714557068939971,0.1087774952910868,-4.6903263943936124e-06,8.357688231415011,0.008909663278475529,0.04448384237247159,5803.434920713988,6187.888579359078,18,4,4,-0.02495513489877535,11139,2.495513489877535,2.5143878179452024,79.90233324572375,0.07985473676764569,0.0049330599999999804,False,0.6854437805870532,1.066245880913194,7,0.1540579364545913,0.12499307274520127,0.04103053441085964,1689.4533822223925,17,0.003844536586451286,0.3844536586451286,8447.529947036584,46,0.08897485493230174,0.6228239845261122,0.012492887863131715,0.0,0.6086956521739131,28,-0.007275546006971223,-378.45131471116895,-0.37555869428349453,1.5,1.1,1.1,1.5,2390,True,True,True,0.0,-0.0036849171055875814,0.5037904319921073,12,-255.29108804548807,-0.24895710463899134,111.33332629329597,0.1094151635901186,0.0050574931261451,326.25108642292787,0.3194954587589072,0.020306554589399006,1582.7089945666476,1.5284880543932642,0.0,0.03591507145470896,3.591507145470896,3.1195229080697775,-3.418911688232357e-06,111.3333262932959,0.1094151635901186,0.04448384237247159,4339.948496773296,9461.281506264908,17,4,7,-0.011513001350880162,3331,1.151300135088016,1.1562769990760917,39.54980927290906,0.03806047279300875,0.0020132673250077863,False,1.277957209241852,2.1800446510596303,9,4.448304011620822,1.2615740511983646,0.32407875838887507,2038.4895582205868,17,0.05121333009491617,5.121333009491616,2038.498756541786,46,0.08897485493230174,0.6228239845261122,0.005064727411882301,0.0,0.6304347826086957,29,-0.006266034890099137,-356.3738398738714,-0.3464949309769314,0.12,0.001,0.75,168,0,2.4203656946433956,-0.10835185379838376,0.69048835288171,0.44688644688644685,2,37,-19.82526868566871,64,6
True,False,5.0,12.0,0.5,12,75.06901265616398,10,100,True,flow_pullback,1.0,1.0,96,8,True,0.01,-0.25,1.2,0.25,1.5,73.25284995661879,35.75694602154321,6,0.001,0.0,-0.008225047726078533,1.1487500428902642,8,-315.2839665225204,-0.31571536719167004,-18.336557933721412,-0.018138303839781753,-0.0015895314909036848,139.61419131563977,0.1401473681559035,0.00652104672642051,620.1169985983842,0.6200673796378683,0.0,-0.009345347911799529,-0.9345347911799529,-0.37861310769190226,-6.385312013422676e-06,-18.336557933721394,-0.018138303839781753,0.046417922475622535,7882.099163063009,6561.866991835071,25,2,5,-0.024683107166496566,9566,2.4683107166496567,2.4828985736669,81.62735659214559,0.08219137766177076,0.004933059999999946,False,0.44282046072795545,0.8325024661685566,8,0.5348727622995312,-0.42464711172169445,-0.0582971790442608,2701.14813485941,17,-0.013202321712279372,-1.3202321712279372,13506.112850017245,72,0.13926499032882012,0.9748549323017408,0.011114393558772279,0.0,0.6527777777777778,47,-0.009329371196127645,-444.89733932330626,-0.44768641662489156,2.5,1.1,1.0,2.0,1305,True,True,True,0.0,-0.0019446822017491646,0.5183665403016285,8,-346.394927354873,-0.33177631606326313,77.27021670928872,0.07559381824518023,0.0029015545847554704,162.0032455221211,0.15706784510686894,0.019799540339134003,951.9670865607488,0.9486932862705687,0.0,0.03899122505882002,3.8991225058820023,2.9817859184171724,-3.2242596313241993e-06,77.27021670928877,0.07559381824518023,0.046417922475622535,4156.739128258476,9720.194731327263,12,2,16,-0.013076466964978429,3421,1.3076466964978428,1.3109328215098168,27.124268257787936,0.026207789324458653,0.0009930040000000727,False,0.4676836544899885,2.338418272449942,14,4.254555621154359,1.588665344777399,0.27725193081609817,3304.12051881943,17,0.05563455603068825,5.563455603068825,3304.132690528045,72,0.13926499032882012,0.9748549323017408,0.0038487421407272376,0.0,0.8333333333333334,60,-0.009553743354069333,-455.42791888017956,-0.4360162511827131,0.2,0.002,1.25,120,0,3.5089822574262928,-0.0800696788487095,0.6310590658639,0.5066526610644257,1,36,-17.26487260576378,79,6
True,True,1.5,3.0,0.75,18,73.7676578608262,10,80,False,flow_pullback,0.0025,1.5,48,12,True,0.02,0.5,1.5,0.25,1.5,80.43248738180223,34.40142147796053,12,0.001,0.0,-0.02878179346010921,3.091793510871047,12,-943.0035675325651,-0.9403402720200934,-7.1322410102616,-0.00501684680017341,-0.00014951151939202127,341.0989502538514,0.34301047421188985,0.022201869650579686,2338.409761211413,2.420328742024149,0.0,-0.005953135067408688,-0.5953135067408688,-0.09048770787350821,-2.442045828976057e-05,-7.132241010261595,-0.00501684680017341,0.12305584656297848,30176.11416104208,29334.509721831226,32,3,10,-0.0657894338060868,11139,6.57894338060868,6.74164492305265,187.71711699750864,0.1894535869492313,0.004933060000000025,False,0.36171543989633115,0.9721102447213903,7,0.1279239523008365,-0.05806543621864779,-0.05289283295882681,8774.0344353502,17,-0.008416044392108888,-0.8416044392108888,43871.46727418234,118,0.22823984526112184,1.597678916827853,0.0325495715751382,0.0,0.7288135593220338,86,-0.02447707628001239,-1028.2872618084377,-1.0009535804641139,1.25,0.95,1.25,2.0,1024,True,True,True,0.0,-0.010053594724423324,1.5949034453774797,13,-1140.633222817224,-0.971781711662599,243.7566451820831,0.21876886008219062,0.003973391560079575,659.0736055818752,0.5759340316056275,0.061788117999330705,4532.350764235315,4.19800122420961,0.0,0.19394541002022692,19.39454100202269,5.307583744987036,-2.1300622028649274e-05,243.75664518208316,0.21876886008219062,0.1256346200338464,30797.097016065047,59316.62450236877,27,2,19,-0.036541186976730526,2760,3.6541186976730526,3.6849747406615485,84.09295775572257,0.07565815966474905,0.0010070040000001667,False,0.5778137900928787,1.9260459669762626,12,7.804762200107235,1.7703490922911422,3.081695705071668,14566.411216924489,17,0.2851952748630372,28.51952748630372,14566.468869331224,117,0.2263056092843327,1.5841392649903288,0.015097441393523382,0.0,0.7692307692307693,90,-0.017904053308872903,-1272.2646318765117,-1.0009425118298263,0.12,0.001,0.0,72,0,7.450847798232844,-0.09213805834942114,0.91798737063385,0.6020648137053597,2,23,2.4124634661457787,180,6
True,True,4.0,8.0,1.0,24,58.21228006537008,20,100,False,flow_breakout,0.0005,1.25,120,3,True,0.02,0.5,0.8,0.33,0.25,80.3179325951119,37.00535195967785,12,0.001,0.0,-0.0272557976177844,3.4385437610874066,16,-976.4574370423798,-0.9992348970507752,-107.42098689289425,-0.1080509036974972,-0.0033832513399294434,172.91335186500424,0.17942780383581824,0.016224292613413294,1471.3627344372533,1.5173191808064797,0.0,-0.031320243618567445,-3.1320243618567445,-0.5563798719686446,-8.073320651618129e-06,-107.42098689289426,-0.1080509036974972,0.053509549520509306,9764.574370423796,5360.313907815133,10,2,7,-0.0562929128038847,12124,5.62929128038847,5.736596760281903,77.34834254440148,0.08168175859879083,0.00493306000000001,False,0.17708232361744974,0.5489552032140944,10,0.7823827624540166,-0.8039738517666236,-45.53800527206035,1440.68034052041,17,-0.0440426046260864,-4.40426046260864,7203.507700791449,41,0.07930367504835589,0.5551257253384912,0.030269999002724392,0.0,0.7560975609756098,31,-0.019900063552635294,-999.668323223136,-1.0009701279108314,1.25,0.95,1.25,1.5,2700,True,False,False,0.0,-0.014904427290609028,1.4885281720513823,20,-992.5603636042781,-0.9992891953829643,46.36471468657841,0.04888774702952486,0.0043163654498231275,306.09598425929255,0.31093198263264715,0.02707511977344157,1836.7713290023253,1.819302476862875,0.0,0.013066912107132067,1.3066912107132067,0.4273726364988555,-6.459529381919615e-06,46.36471468657848,0.04888774702952486,0.0671286969135305,7940.482908834223,9795.071496297363,8,2,12,-0.03057498536682065,11566,3.057498536682065,3.0637801076296616,20.57894572925047,0.020567155549480125,0.0009930040000000096,False,0.30839029592897316,1.2335611837158933,12,0.606570556032284,0.28039589918430924,18.09017920431645,1715.0132113331197,17,0.018545885874631348,1.8545885874631347,1715.0184959533265,40,0.07736943907156674,0.5415860735009672,0.01684867641869768,0.0,0.8,32,-0.019900078119657216,-1027.2793073658172,-1.0009657923262123,1.0,0.001,1.0,120,0,4.960178382847062,-0.0769488021260751,2.252309592621677,0.7149859943977591,3,2,116.53759744269082,60,6
True,True,2.0,16.0,1.0,48,42.07782645587102,14,150,False,flow_breakout,0.001,1.5,72,12,False,0.01,0.5,1.2,0.33,1.5,75.11290961105439,28.806064651465675,12,0.0005,0.0,-0.04653818824493678,4.341722143666112,13,-741.0624383117048,-0.7695387800914394,-48.72432326514493,-0.04478814358957439,-0.0006313832794020447,412.8344200992284,0.43837894741166894,0.04427781688925969,5416.067573603642,5.915694971736845,0.0,-0.020743396904558287,-2.0743396904558287,-0.23417969390943771,-1.4928007373257822e-05,-48.72432326514493,-0.04478814358957439,0.06326053670722863,17785.49851948092,14862.039123572222,24,3,7,-0.08857897351501451,12209,8.857897351501451,9.216505850806481,132.3504926899066,0.14016025176755836,0.004933059999999986,False,0.557084529934821,0.8356267949022314,8,0.33003988191545225,-0.24788809812154874,-0.14921865030916415,3617.8969192538975,17,-0.02923459395908736,-2.9234593959087363,18089.95420606253,60,0.11605415860735009,0.8123791102514506,0.05277953480501054,0.0,0.6,36,-0.029162575420179193,-883.1393071115448,-0.9167377632166901,2.5,0.95,1.25,2.0,3159,True,True,True,0.0,-0.02625034847414614,2.7654585845411317,13,-887.9883863630478,-0.886346227137288,103.91545558466628,0.10814349589629488,0.0036426674272583975,529.0171021336865,0.5343533771964017,0.06262793522069465,7373.437047802969,7.643732308324519,0.0,0.04365589795978986,4.365589795978986,0.7929997959365552,-1.2901691806947409e-05,103.91545558466618,0.10814349589629488,0.06334112337819325,15983.79095453486,22218.718289614833,18,3,9,-0.05505158788626295,6823,5.505158788626295,5.635446358849677,53.14534535408687,0.053352004071626116,0.0010000040000000812,False,0.5957477713198398,1.3900781330796261,8,1.1325608532784648,0.4747416709124046,0.37377674327302773,5108.9392285584,17,0.06234927335080036,6.234927335080036,5108.955681380375,60,0.11605415860735009,0.8123791102514506,0.033815112762303624,0.0,0.7,42,-0.03343230075679071,-1033.7472479717846,-0.9681554822488365,0.08,0.002,1.25,72,0,3.8126748880100374,-0.02248634826675394,1.499191468544174,0.5848824786324786,2,5,84.11921124572696,66,6
