allow_long,allow_short,atr_stop_mult,atr_tp_mult,bb_lookback,bb_std,deploy_score,donchian_lookback,ema_fast,ema_slow,exit_on_flat_signal,family,max_holding_bars,min_holding_bars,pullback_depth,rsi_high,rsi_low,slope_bars,slope_min,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_r_multiple,stress_avg_win,stress_avg_win_r,stress_calmar_ratio,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_max_consecutive_losses,stress_max_drawdown_pct,stress_max_drawdown_r,stress_pass,stress_payoff_ratio,stress_profit_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_trades_per_week,stress_win_rate,trend_strength_max,trial,use_mid_target,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_r_multiple,validation_avg_win,validation_avg_win_r,validation_calmar_ratio,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_max_consecutive_losses,validation_max_drawdown_pct,validation_max_drawdown_r,validation_pass,validation_payoff_ratio,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_trades_per_week,validation_win_rate,volatility_max,volatility_min,volume_lookback,volume_min,wf_gate_windows,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_win_rate,wf_min_exp_r,wf_min_pf,wf_min_win_rate,wf_positive_exp,wf_profitable,wf_rank,wf_score,wf_total_trades,wf_windows
True,False,5.0,2.2,80,2.0,-58.03037420885551,12,30,200,False,channel_reclaim,96,3,0.0,75.96033047241349,26.532305614954723,36,0.01,11.078570594937203,27,-557.5403165465048,-0.6195072244450003,-0.2627952201757162,116.436014181924,0.1278893559287379,-0.7301928685808596,-235.86979506248193,-0.2627952201757162,0.19735675719236037,6,20.756541965498474,23.125979375463025,False,0.20883873457465385,0.1906788446116404,-3.079111258740627,-0.32575803820139576,3389.4831122681203,-20.756541965498474,16860.567604793057,88,0.1702127659574468,1.1914893617021276,0.4772727272727273,0.015,1012,False,6.537824946185331,27,-813.3392975402645,-0.8638216635209414,-0.15798108027452126,212.37545438323474,0.22589713166651426,-0.720901966041936,-148.95587868072525,-0.15798108027452126,0.19735675719236037,3,13.108117323903848,13.902335064157873,False,0.2611154471762396,0.4801154996466341,-1.7881818846981996,-0.2720625164916572,4122.012821930621,-13.108117323903848,8226.050394640868,88,0.1702127659574468,1.1914893617021276,0.6477272727272727,0.08,0.0,20,0.25,0,5.766354663624448,-0.12395559702341749,1.441555464344635,0.5822659655002609,-0.6919869657297095,0.0,0.0,3,3,2,15.256951016636776,147,11
True,False,5.0,2.2,14,1.5,-60.28792427649171,8,10,80,False,channel_reclaim,36,8,0.005,62.070427833491195,44.098215933291904,36,0.01,10.270354207971202,21,-500.1816898007498,-0.55105966728226,-0.23419968479646439,102.57134438725016,0.11213564489731205,-0.7281162096087691,-212.1996845775942,-0.23419968479646439,0.15819163510355388,5,19.097971611983432,21.077971631681805,False,0.20506817118417517,0.18761556087062836,-3.077991066300494,-0.31963504967728784,3331.2622009675615,-19.097971611983432,16577.497727490474,90,0.17408123791102514,1.218568665377176,0.4777777777777778,0.006,521,False,5.486923008616815,21,-643.141433962397,-0.6754477629789754,-0.12921701836238023,207.68454456199498,0.21838436457545313,-0.7185626080893317,-123.19222486415738,-0.12921701836238023,0.15819163510355388,5,11.087300237774137,11.629531652614217,False,0.3229220410858148,0.5074489217062805,-1.6485845599052384,-0.18386401025064225,4011.8005437133884,-11.087300237774137,8009.453823855162,90,0.17408123791102514,1.218568665377176,0.6111111111111112,1.0,0.0,150,0.75,0,4.96898745959839,-0.1393428242690333,0.6165553706347545,0.553060783542067,-0.4325982892517961,0.03749273227279594,0.16666666666666666,2,2,8,-21.947439664853604,192,11
True,False,5.0,6.0,30,1.5,-72.60420536956632,20,80,100,False,channel_reclaim,48,6,0.018,59.65665079392518,29.875009691740008,12,0.0,9.091229941251818,32,-607.7115476654394,-0.649593140391807,-0.19553942549076792,373.2003559396272,0.3972529245189221,-0.6433845567798301,-182.25578224637437,-0.19553942549076792,0.21975985172052542,7,17.00586283722906,18.479767026770666,False,0.6141077249120884,0.47038038503904656,-1.936846668191968,-0.26400850143932797,3795.1922367507696,-15.1272299264491,18919.490681629984,83,0.16054158607350097,1.1237911025145069,0.43373493975903615,0.025,26,False,5.605768351963524,32,-688.1896270674819,-0.6935024213690235,-0.060647864403744464,550.0668200232144,0.5571387269195042,-0.3463299812343765,-61.60202733484044,-0.060647864403744464,0.21975985172052542,7,10.510003215775916,10.932808977176927,False,0.7992954243834839,0.8187904347343006,-0.5369817324766407,-0.08109642684386277,4752.558313137459,-5.112968268791781,9504.432382453298,83,0.16054158607350097,1.1237911025145069,0.5060240963855421,0.04,0.0005,20,1.0,0,6.996371756957578,-0.1911276513590967,0.7161736153570492,0.3834513970877607,-0.6027508499888163,0.04663161371739331,0.13333333333333333,3,3,63,-76.05643632692619,124,11
True,False,4.0,6.0,80,2.5,-86.88837046219332,20,50,80,False,channel_reclaim,96,2,0.005,72.88693527035744,24.89100760657595,24,0.005,10.447255661613818,48,-833.2989621705273,-0.90656784376834,-0.2826667086518684,585.8584486745508,0.6323882895189566,-0.6783537705537429,-257.9648766927928,-0.2826667086518684,0.28704972197598516,6,20.489455104392437,22.688897935980727,False,0.7030591363615067,0.4793585020646636,-2.009276771318778,-0.5330039084258712,3536.278755468589,-19.08940087526664,17603.679430676562,74,0.14313346228239845,1.001934235976789,0.40540540540540543,0.025,377,False,6.993584798254629,48,-861.6305542821797,-0.8912109536180782,-0.15523900218127218,892.164621281341,0.9241865265927101,-0.5586479806358935,-150.6325101348063,-0.15523900218127218,0.28704972197598516,6,14.33897325940195,15.226014140446328,False,1.035437539729077,0.705980140724371,-0.9865967176210627,-0.25130606619527374,4450.116125812327,-11.146805749975712,8886.847633008358,74,0.14313346228239845,1.001934235976789,0.40540540540540543,0.05,0.002,75,0.0,0,5.239568695435421,-0.17931374037597972,0.8157419222641131,0.3968221172766627,-0.5266656020203124,0.14681833216580506,0.125,3,3,40,-59.51122226005541,134,11
True,False,5.0,4.0,40,1.5,-91.93962838300868,55,8,400,False,range_bb_reversion,120,3,0.0,73.70416607761149,24.216796010361982,36,0.0,13.085571191040467,36,-774.3359498952999,-0.8690269849239602,-0.3306888390281311,253.13044201949904,0.284554756281388,-0.7077734261737897,-294.8516336683937,-0.3306888390281311,0.22298331855911033,6,22.868299135036402,25.77740129810041,False,0.3269000258269366,0.2860375225985695,-2.814520341915821,-0.4896097832614865,2717.827680534675,-22.113872525129498,13492.010577593586,75,0.1450676982591876,1.0154738878143132,0.4666666666666667,0.08,500,True,9.803524682392185,36,-854.6198885958785,-0.9257977761462242,-0.24039485652427994,393.3480351537569,0.4269711441602448,-0.6818812312494886,-222.31614056272983,-0.24039485652427994,0.22298331855911033,4,17.731594688246798,19.311404352310177,False,0.46026080179343704,0.4727002829229894,-1.9428610414780303,-0.44383102382878725,3232.296661422357,-16.673710542204702,6437.682480157544,75,0.1450676982591876,1.0154738878143132,0.5066666666666667,0.2,0.0005,75,1.5,0,6.056247179841018,-0.16280817392047234,0.7516559057330742,0.5276318378591106,-0.5171060473986004,0.15886698672666694,0.3,3,3,20,-36.72783842153258,123,11
True,True,4.0,8.0,40,1.5,-96.16925864700596,20,10,150,False,channel_reclaim,72,8,0.0025,70.60403336911452,23.051401352274382,48,0.01,11.89488046313788,48,-765.1413690905288,-0.8264570493054566,-0.25656848726919596,595.3322689782351,0.6338823909124612,-0.6432472962954688,-234.2248274051575,-0.25656848726919596,0.320815537110162,8,21.744521455136255,24.26281358714178,False,0.778068332242793,0.4979637326353874,-1.9360289503490622,-0.39776854451859045,3551.69144480376,-19.20643584722292,17719.337770149203,82,0.15860735009671179,1.1102514506769825,0.3902439024390244,0.04,650,False,8.781260603684082,48,-881.8507562230853,-0.9001225783611545,-0.13195066235562658,786.3995544001515,0.8023124787321777,-0.48826157541805215,-129.1036648443078,-0.13195066235562658,0.320815537110162,6,15.567474858137695,16.618622205644037,False,0.891760367443868,0.7332251910094025,-0.8780373131302447,-0.2729319086350349,4418.767584743792,-10.58650051723326,8824.887354431636,82,0.15860735009671179,1.1102514506769825,0.45121951219512196,0.12,0.0005,50,1.0,0,8.684520458318676,-0.1639746847803278,0.7411260450895137,0.4095929354443287,-0.4890194727226734,0.306729773814549,0.23076923076923078,3,3,39,-59.05221191851549,159,11
True,True,2.0,12.0,20,2.2,-96.76070620169182,40,10,100,False,channel_reclaim,24,1,0.0,59.86916963522309,41.970985973583865,24,0.0,12.191922686085654,15,-746.557323520411,-0.8204426533376608,-0.30111668148950865,735.2554867322974,0.7998543788285742,-0.6965707727241519,-271.6173202342865,-0.30111668148950865,0.09710693851237005,7,22.22530469359654,24.821086945211825,False,0.9848613945211608,0.4645572615665853,-2.048108038220729,-0.44974099947198865,5355.73363177371,-21.18615097827431,26749.756408793128,78,0.15087040618955513,1.056092843326886,0.32051282051282054,0.015,908,False,5.63158577831052,15,-875.8237053213572,-0.8934631355403152,-0.1038658461296584,1062.0983019397497,1.0932655281381116,-0.5128586866591348,-105.62393320476349,-0.1038658461296584,0.09710693851237005,5,11.491374342659704,11.966816685893038,False,1.2126850363681863,0.7998560878173144,-0.5660490627524726,-0.20445488041809734,7617.00676558122,-8.238666789971553,15231.482580897151,78,0.15087040618955513,1.056092843326886,0.3974358974358974,0.2,0.0005,75,0.75,0,8.985862436546808,-0.12394329467857469,0.7994226875797801,0.38629757568376494,-0.6418473168962004,0.14257280902452754,0.07142857142857142,5,4,14,-28.6585238145023,173,11
False,True,4.0,3.0,55,1.8,-99.59519344814237,8,10,80,False,trend_reclaim,120,3,0.0,72.78594568424752,22.821412685925132,48,0.0005,14.856524098334646,28,-749.3270791267499,-0.8582479184189272,-0.3358130075349646,206.91300335131865,0.23759116294743318,-0.7286164079814537,-293.44517934069404,-0.3358130075349646,0.2002578773470868,6,25.491620415571063,29.22226291742037,False,0.27613175756633634,0.25158671244932856,-3.1698734445590313,-0.5715680221849578,3889.3067504600867,-25.236285423299705,19553.223801792643,86,0.16634429400386846,1.1644100580270793,0.47674418604651164,0.015,1006,False,10.019973998498338,28,-865.306607144316,-0.9446302509025479,-0.21518415645950242,381.0014011467255,0.4191167952301025,-0.6897758861923378,-198.67674224445665,-0.21518415645950242,0.2002578773470868,5,17.97469088484876,19.585165148042194,False,0.4403079763878216,0.5063541728459948,-1.905792855012938,-0.566280200972586,5012.388598985374,-17.08619983302323,10048.916720860785,86,0.16634429400386846,1.1644100580270793,0.5348837209302325,0.08,0.001,20,0.75,0,8.777973325478696,-0.16058949358113475,0.717538010788759,0.5536916786916787,-0.4272711998457859,0.21201849115125004,0.3888888888888889,2,2,16,-30.934902782293054,205,11
True,True,4.0,8.0,30,2.0,-109.90027577387801,55,30,100,False,channel_reclaim,72,3,0.0025,70.80198793578415,44.66328132346094,36,0.0005,13.912421489770322,43,-770.2664382747164,-0.837696167284133,-0.32270592841849827,625.3469701589675,0.6643586960739684,-0.6337945467571647,-291.77041252602476,-0.32270592841849827,0.24458054637762913,9,23.516836140807158,26.582587417641143,False,0.8118580001481731,0.42357808703382943,-2.206838440306635,-0.4541927578060418,3238.3100556592,-20.42392887682168,16199.59126942804,70,0.13539651837524178,0.9477756286266924,0.34285714285714286,0.01,1061,False,11.067147737038301,43,-843.9907730949517,-0.8757496194201184,-0.19921074828141694,851.7207621362242,0.8782400464950335,-0.5168639164235234,-189.93060950578388,-0.19921074828141694,0.24458054637762913,9,18.549183839394946,20.246639708242352,False,1.0091588549160628,0.6336578856449698,-1.2145907887134413,-0.3176473154655009,4038.7453821094914,-13.295142665404928,8084.47560685362,70,0.13539651837524178,0.9477756286266924,0.38571428571428573,0.05,0.0,10,0.75,0,5.872123331459765,-0.10863426222557872,0.8678714059574338,0.41146126600672056,-0.47084426853387684,0.20101272528556957,0.18181818181818182,4,3,10,-26.579181868942484,125,11
False,True,2.0,2.2,55,1.8,-110.97211176631643,30,20,100,False,channel_reclaim,120,3,0.008,61.690737118882865,39.6029954787884,12,0.0005,10.332959968213224,13,-765.470054719938,-0.8391605960880408,-0.31004175238209586,230.40025010542743,0.2532137909177812,-0.7167197883060827,-283.0953758201517,-0.31004175238209586,0.07139979047465549,8,18.37560352167444,20.157899186838858,False,0.3009918528945248,0.2827499224160688,-2.56750775571325,-0.3914573466806378,4549.979221322313,-18.1181040524897,22817.9679768458,64,0.12379110251450677,0.8665377176015474,0.484375,0.01,473,False,5.5982388731989285,13,-903.6775920167591,-0.93126086317018,-0.12144627939023211,490.4419051339359,0.5084095079941718,-0.42895505669038975,-119.48537486949317,-0.12144627939023211,0.07139979047465549,8,12.740771197095246,13.527166677711337,False,0.5427177894711375,0.6977800150343194,-0.8993522904527336,-0.1929369006957673,6494.40943620975,-7.647063991647533,12991.17153559832,64,0.12379110251450677,0.8665377176015474,0.5625,0.12,0.0,100,0.25,0,7.8334083572690965,-0.2398659008564284,0.5285245865501755,0.47965317510772054,-0.5137387195284455,0.09649124971779008,0.25,0,0,133,-112.32173255840837,167,11
