allow_long,allow_short,atr_stop_mult,atr_tp_mult,bb_lookback,bb_std,deploy_score,donchian_lookback,ema_fast,ema_slow,exit_on_flat_signal,family,max_holding_bars,min_holding_bars,pullback_depth,rsi_high,rsi_low,slope_bars,slope_min,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_r_multiple,stress_avg_win,stress_avg_win_r,stress_calmar_ratio,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_max_consecutive_losses,stress_max_drawdown_pct,stress_max_drawdown_r,stress_pass,stress_payoff_ratio,stress_profit_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_trades_per_week,stress_win_rate,trend_strength_max,trial,use_mid_target,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_r_multiple,validation_avg_win,validation_avg_win_r,validation_calmar_ratio,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_max_consecutive_losses,validation_max_drawdown_pct,validation_max_drawdown_r,validation_pass,validation_payoff_ratio,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_trades_per_week,validation_win_rate,volatility_max,volatility_min,volume_lookback,volume_min,wf_gate_windows,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_win_rate,wf_min_exp_r,wf_min_pf,wf_min_win_rate,wf_positive_exp,wf_profitable,wf_rank,wf_score,wf_total_trades,wf_windows
True,False,1.5,12.0,40,1.8,-1.7671024756015683,55,30,50,False,range_bb_reversion,120,6,0.0,60.816037358653304,28.79921122927638,3,0.001,4.1140271252351495,37,-991.4660716175149,-1.0,-0.1830977159341664,3634.0354612156952,3.7380332475818348,-0.4191246137733988,-193.9658073359269,-0.1830977159341664,0.35256203673864,10,9.56179249911955,10.0,False,3.6653149968984753,0.7636072910205155,-0.7499705059731527,-35492292885199.625,1590.2529139970648,-5.625008412741881,7931.188203309125,29,0.05609284332688588,0.39264990328820115,0.1724137931034483,0.08,429,False,4.102704112305115,37,-1013.364072569064,-1.0,-0.040656225088011484,4500.763134007213,4.5641938944895335,-0.1346053505815442,-62.652485228326555,-0.040656225088011484,0.35256203673864,10,9.56179249911956,10.0,False,4.441407837359925,0.9252932994499844,-0.14201869803061987,-5286402238238.745,1975.4814971893486,-1.8169220716214913,3951.2965526537537,29,0.05609284332688588,0.39264990328820115,0.1724137931034483,0.2,0.0,75,0.5,0,13.0,0.2248190541059837,1.5520849430063324,0.23239538239538238,-1.0,0.0,0.0,6,6,1,125.04813115706628,67,11
True,True,3.0,4.0,30,1.5,46.496822088015435,55,20,200,False,trend_bb_reversion,48,6,0.018,74.93353370557114,37.77418377051587,48,0.01,5.71855268441098,24,-853.5392579789412,-0.8945327164794278,-0.17097521757163966,624.9471179623159,0.6668282022163253,-0.5030933399589007,-168.3870349817733,-0.17097521757163966,0.32001289075088624,5,9.796181785438531,10.21075158817111,False,0.7321832149139821,0.6323400492438934,-1.8277417432087684,-0.7531666789332573,1399.1552999631097,-6.903868434252741,6973.13451791424,41,0.07930367504835589,0.5551257253384912,0.4634146341463415,0.015,1124,False,4.018659073777944,24,-856.0805298374904,-0.8850519610365697,-0.07021060532421304,832.9917232604994,0.8732899118164104,-0.2594754780307354,-73.3397296213488,-0.07021060532421304,0.32001289075088624,5,8.223638459106821,8.470387177164032,False,0.9730296324092618,0.8403437734443625,-0.680566193800862,-0.2834387993850206,1611.115200617473,-3.0069289144753273,3216.2524422545807,41,0.07930367504835589,0.5551257253384912,0.4634146341463415,1.0,0.002,10,0.25,0,3.9530049659306696,-0.007880933960654634,1.1825402130979052,0.5049422799422799,-0.5951629255987491,0.10756384799843235,0.25,6,6,2,124.38613469339977,78,11
True,True,2.0,1.3,20,1.8,-35.488232876248546,10,14,400,False,trend_reclaim,96,1,0.005,76.64114829686959,42.30130175538108,36,0.0,10.395601547896888,9,-848.948870665463,-0.932930737257266,-0.3992948215068965,204.5361228800059,0.22328041353520142,-0.7097689645240787,-362.72502749063113,-0.3992948215068965,0.161778923622301,5,19.341484522148274,21.357064668403492,False,0.24092867067445037,0.2065102891495288,-5.545372999306338,-2.1137755372502256,2105.0332806361384,-18.86170142951283,10505.621453206577,52,0.10058027079303675,0.7040618955512572,0.46153846153846156,0.01,384,False,8.068593922982672,9,-934.1460697591717,-1.0,-0.30655250250951127,362.4559423949755,0.3868949949809774,-0.669412791927641,-285.8450636820981,-0.30655250250951127,0.161778923622301,5,16.053200522774596,17.350046559329176,False,0.38800777964887095,0.3880077796488707,-4.063169130522248,-104562093955704.39,2520.0350638183477,-14.863943311469091,5035.628500384814,52,0.10058027079303675,0.7040618955512572,0.5,0.2,0.0005,10,0.0,0,4.324290887974172,-0.01686769957898334,1.1740500318051985,0.6882367632367633,-0.2606169971963848,0.39003955618613556,0.5384615384615384,4,4,3,123.7941969920941,103,11
True,True,5.0,12.0,80,1.5,15.96898792173836,20,20,300,False,channel_reclaim,18,2,0.012,70.35492590436895,29.121050637179163,48,0.01,4.430064488554915,11,-350.32042194614434,-0.36219735161934263,-0.17770415194789632,296.9721065442517,0.314277713842627,-0.6051480538723559,-173.78609599421816,-0.17770415194789632,0.12375120850789559,5,6.753045609088382,6.9573790262223945,False,0.8477156566964457,0.3178933712611671,-2.84175062931952,-0.37776210682423245,872.9994267943376,-5.734941167809171,4352.310943492254,33,0.06382978723404255,0.44680851063829785,0.2727272727272727,0.01,4,True,3.453415564704499,11,-438.4036230338452,-0.4490942204218745,-0.10207531527526924,255.9962385272288,0.26663227144299884,-0.44784015686375106,-101.72490227696082,-0.10207531527526924,0.12375120850789559,3,5.32210752139479,5.434054397011296,False,0.583928200126817,0.5495794824722983,-1.551585500340803,-0.19663158600407066,963.7210955689534,-3.356921775139679,1924.5387509675288,33,0.06382978723404255,0.44680851063829785,0.48484848484848486,0.05,0.003,10,0.5,0,2.8123593121073607,0.1087283325916144,5.728382142971011,0.7045454545454546,-0.2742148380293616,0.0,0.0,8,8,4,116.94631554408991,51,11
True,False,4.0,1.3,30,1.5,130.53124237512435,8,8,200,False,trend_reclaim,36,1,0.005,74.50296144335913,31.884058017998203,3,0.0005,0.6697444660897338,14,-351.58192285144474,-0.3503968354551544,-0.031971337600577965,115.11131283263329,0.11499427679384197,-0.3243879503864977,-32.265498436022924,-0.031971337600577965,0.08926844988720593,1,1.336344849182217,1.3396341297399523,False,0.32740964580614035,0.7093875659133041,-0.6952002957841898,-0.04676139446383444,506.4858431480462,-0.6130444702844543,2531.957057565288,19,0.0367504835589942,0.2572533849129594,0.6842105263157895,0.015,1126,True,0.6230686788891324,14,-296.9581802411163,-0.2931531077349662,0.04922591980561397,208.66848354554043,0.20724700943972788,0.6567960709568522,48.99690550764883,0.04922591980561397,0.08926844988720593,1,1.0000000000000049,1.0,False,0.702686430042477,1.5224872650920334,0.9941304361896964,0.06592875058965987,555.9623899605766,0.9309412046452926,1114.908994360719,19,0.0367504835589942,0.2572533849129594,0.6842105263157895,1.0,0.001,10,0.25,0,1.7662067459501891,-0.008174144290496788,3.888616403522489,0.612012987012987,-0.3834464088851707,0.0,0.0,5,5,5,113.88218654474528,47,11
True,False,3.0,1.7,80,2.0,73.03905854120995,10,10,80,False,trend_reclaim,96,4,0.0025,63.74360689533496,44.66120856607109,12,0.001,4.912738101957427,15,-983.5361500483049,-1.0,-0.1530269087355822,215.9971150110714,0.21964125142076163,-0.5272510128687501,-150.5269382015158,-0.1530269087355822,0.1853045439896874,5,7.320181638841391,7.54226602253464,False,0.21961278698344033,0.49911997041691014,-2.184959509464688,-17754960468540.246,1340.1933952340062,-5.418969775254591,6680.638140813886,36,0.06963249516441006,0.4874274661508704,0.6944444444444444,0.006,154,True,3.7924208481796025,15,-1005.4295069324307,-1.0,-0.048379911244467694,370.4624692050594,0.3703329278079665,-0.23315088669341813,-49.9489679480626,-0.048379911244467694,0.1853045439896874,5,5.463175758522803,5.58702336780593,False,0.36846190274974305,0.8374134153403248,-0.6384666080582245,-13043573021938.893,1545.3919156625836,-1.798162846130217,3090.2896395390694,36,0.06963249516441006,0.4874274661508704,0.6944444444444444,0.2,0.003,30,0.25,0,2.9977278492729615,-0.15926730191238073,1.754568127825698,0.5718975468975469,-1.0,0.0,0.0,5,5,6,111.15405136359587,63,11
True,True,5.0,8.0,20,2.2,61.43687578016521,55,10,150,False,trend_reclaim,18,6,0.0,62.8916315872207,26.19735993848753,36,0.0005,2.0109008803976134,16,-412.37427455945686,-0.41385835421729655,-0.05252023727629365,387.94656165024713,0.3904103576836455,-0.49704096468669673,-52.809840900024625,-0.05252023727629365,0.3628746374476313,7,5.207446715041087,5.27820403831915,False,0.9407632473308233,0.7674647544014609,-1.2060591250093684,-0.30994060820035174,1619.2315802412736,-3.6438790221016966,8137.898169429635,69,0.13346228239845262,0.9342359767891684,0.4492753623188406,0.006,988,False,1.4673245272024118,16,-416.98576657885894,-0.40716681810804767,0.022033561609868198,471.15370115353085,0.46385748190772275,0.2746843628041107,20.648174042898347,0.022033561609868198,0.3628746374476313,5,3.656730917663726,3.7115184260026712,False,1.1299035576659853,1.0976205988755285,0.46137527162545133,0.12524715542451184,1806.4312904334743,1.4247240089599364,3634.1656704620036,69,0.13346228239845262,0.9342359767891684,0.4927536231884058,0.2,0.001,100,0.75,0,4.25350601296589,-0.005318664037928653,1.2479798455101774,0.5252479546597194,-0.3411760343285582,0.1139457196995283,0.3333333333333333,4,4,7,103.56058808547722,146,11
True,False,3.0,1.3,55,1.5,-7.349789390605785,16,14,80,False,channel_reclaim,24,1,0.018,63.07031356892758,28.932353789236924,12,0.0005,8.425218107531439,7,-740.154862191208,-0.7901506843794837,-0.34171544456101494,119.98497763254363,0.12914155724837723,-0.7102784836045237,-320.5744525210853,-0.34171544456101494,0.10505961972284886,3,13.340904490107294,14.238066894866023,False,0.162107936813833,0.15438851125126954,-4.884301917697263,-0.9810979365236768,1424.1033479291852,-13.143552553364499,7061.803052464859,41,0.07930367504835589,0.5551257253384912,0.4878048780487805,0.08,1040,False,7.06050476867082,7,-809.3051967884315,-0.854069004899852,-0.2611594973427888,233.90990002037216,0.2508987137292204,-0.6978746298508811,-249.53124240321978,-0.2611594973427888,0.10505961972284886,3,10.51972810995685,11.03045657192738,False,0.2890255752077184,0.3346611923457792,-3.6345432955785104,-0.8881375553798672,1635.2951032338879,-10.230780938531984,3253.3778663653047,41,0.07930367504835589,0.5551257253384912,0.5365853658536586,0.12,0.0,75,0.75,0,2.318042366482201,-0.0964178511901669,1.6313350497876555,0.6264069264069264,-0.4636084732964402,0.22576621971488917,0.4,4,4,8,101.34969246227384,58,11
True,False,5.0,6.0,30,2.5,8.859430601198575,20,14,50,False,channel_reclaim,14,8,0.005,68.44120316986918,24.511658751171286,36,0.0,4.180301614562106,12,-473.1156653202144,-0.48924481861532465,-0.22644611419755423,216.6670741822143,0.22747892070586745,-0.6409094471979939,-220.19532750265722,-0.22644611419755423,0.12020625201417982,5,7.35437764808919,7.599893409082921,False,0.4579579372743229,0.2651335426325027,-3.331508850774098,-0.4673858604943221,732.6670264598168,-6.6058598250797225,3633.913186315638,30,0.058027079303675046,0.4061895551257253,0.36666666666666664,0.01,1158,False,3.5879360381279652,12,-489.6803058534436,-0.5025001286391342,-0.16443111128703902,266.95453671266074,0.2776591421733932,-0.5601694190002396,-161.8052074081317,-0.16443111128703902,0.12020625201417982,4,6.166562060297033,6.32624735666291,False,0.5451608600991145,0.41688771654638157,-2.3537216563399843,-0.3249505807218485,800.2122773240135,-4.854156222243997,1592.306820209684,30,0.058027079303675046,0.4061895551257253,0.43333333333333335,0.2,0.002,30,0.0,0,2.401950639560523,-0.019114457554958723,2.3903692121819007,0.4651515151515151,-0.45225258736977736,0.0,0.0,6,6,9,98.7500000214899,53,11
True,False,3.0,4.0,80,1.5,46.428028039672284,40,30,50,False,range_bb_reversion,8,1,0.012,70.80407355600178,43.08867351926581,18,0.0,2.518391026723641,5,-551.6606295081275,-0.5612729144099112,-0.1204458635733256,400.16565625474334,0.4085465974305773,-0.6008004803010478,-119.01231779773164,-0.1204458635733256,0.08056719303899453,5,6.206059924616675,6.339859690491725,False,0.7253837501718033,0.6044864584765027,-1.8647971820266658,-0.33023839531676574,1407.214219854955,-5.236541983100207,7017.004152368211,44,0.0851063829787234,0.5957446808510638,0.45454545454545453,0.08,848,False,1.571801805715836,5,-605.0984593414831,-0.6003884390198907,-0.0280687375845568,495.06737203461586,0.4944840332911829,-0.2342787189126572,-30.011774758522336,-0.0280687375845568,0.08056719303899453,4,3.9898526869312363,4.0494221075968095,False,0.8181600273340441,0.8960800299372862,-0.39732898494554986,-0.07571924793064568,1601.9747138491628,-1.320518089374993,3204.5262848789,44,0.0851063829787234,0.5957446808510638,0.5227272727272727,0.2,0.0005,150,1.5,0,7.011952030928985,-0.11984759726087874,2.36690555473021,0.5126262626262625,-0.4833192321695683,0.01954025647879934,0.2,4,4,10,89.269281851502,78,11
