allow_long,allow_short,atr_stop_mult,atr_tp_mult,bb_lookback,bb_std,deploy_score,donchian_lookback,ema_fast,ema_slow,exit_on_flat_signal,family,max_holding_bars,min_holding_bars,pullback_depth,rsi_high,rsi_low,slope_bars,slope_min,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_r_multiple,stress_avg_win,stress_avg_win_r,stress_calmar_ratio,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_max_consecutive_losses,stress_max_drawdown_pct,stress_max_drawdown_r,stress_pass,stress_payoff_ratio,stress_profit_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_trades_per_week,stress_win_rate,trend_strength_max,trial,use_mid_target,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_r_multiple,validation_avg_win,validation_avg_win_r,validation_calmar_ratio,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_max_consecutive_losses,validation_max_drawdown_pct,validation_max_drawdown_r,validation_pass,validation_payoff_ratio,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_trades_per_week,validation_win_rate,volatility_max,volatility_min,volume_lookback,volume_min,wf_gate_windows,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_win_rate,wf_min_exp_r,wf_min_pf,wf_min_win_rate,wf_positive_exp,wf_profitable,wf_rank,wf_score,wf_total_trades,wf_windows
True,True,6.0,4.0,40,2.2,47.0101152949978,12,10,150,False,channel_reclaim,72,6,0.005,60.801276344447004,30.273204269231883,24,0.01,7.156254690869971,44,-520.2579321415369,-0.5430303927847129,-0.07894204461972816,319.78883754543017,0.33629489847525806,-0.5789052631064341,-76.89991480674871,-0.07894204461972816,0.3879442340236925,5,10.263605608699997,10.692441856005395,False,0.6146736412630632,0.686988187294012,-1.1086196842222527,-0.14725496046247197,2761.4502449956553,-8.305190799128905,13800.76562405577,108,0.20889748549323017,1.4622823984526112,0.5277777777777778,0.006,144,False,4.121077696721808,44,-545.763634961411,-0.5443532018934661,0.002260849582405126,437.87759889972796,0.43955209076310203,0.007333574125689114,0.7037171836662424,0.002260849582405126,0.3879442340236925,5,7.32078207382518,7.518694427107567,False,0.8023209515062115,1.0029011893827644,0.029426448649315994,0.004087472629781853,3170.4848195572645,0.07600145583588165,6340.379267989968,108,0.20889748549323017,1.4622823984526112,0.5555555555555556,0.12,0.003,10,0.0,0,6.614356910685761,-0.11383438452595218,0.7539966425242762,0.4657069535575847,-0.3676218373584545,0.16889682608970424,0.2,4,4,8,68.86967614618696,221,11
True,False,5.0,3.0,55,2.5,44.9805955683879,10,20,150,False,channel_reclaim,36,8,0.0,74.60299531702968,37.54754299314391,18,0.005,3.443905261355346,23,-576.1799388596081,-0.591981194899789,-0.14529352042751273,226.2599976810864,0.23267297335672094,-0.6684834719245355,-141.5249732333986,-0.14529352042751273,0.09275525828028044,4,7.25307797010691,7.47626062176793,False,0.3926898220873616,0.46408797155779097,-1.399180595443347,-0.12209484531180644,1599.817850919076,-6.793198715203093,7973.191845548411,48,0.09284332688588008,0.6499032882011606,0.5416666666666666,0.006,51,False,1.894737538736168,23,-581.3352022810548,-0.5821201397500049,-0.0472360204032151,366.58929894291276,0.3687849613109548,-0.43754957336433103,-48.127670342573026,-0.0472360204032151,0.09275525828028044,4,3.742770742330115,3.7547798362835816,False,0.6305988309403633,0.8107699254947529,-0.4241132543345974,-0.0376676086502212,1834.5053299335143,-2.3101281764435115,3668.072183971355,48,0.09284332688588008,0.6499032882011606,0.5625,1.0,0.0005,20,1.25,0,3.6103345181444704,-0.03224370113791326,1.7111988795806234,0.6072829131652662,-0.1962358807836669,0.3776743443842015,0.4,4,4,9,68.17597445148498,123,11
True,False,4.0,6.0,40,2.0,-1.614558561984559,8,50,100,False,trend_bb_reversion,48,1,0.018,63.58888845730699,31.12386302530708,48,0.0,8.559611479700916,34,-678.8661821935932,-0.729962799229272,-0.19044576373537928,470.98297948012174,0.5125612825142385,-0.6769856474144652,-179.5895725194801,-0.19044576373537928,0.21017003787573535,5,14.546987358511423,15.53143537487414,False,0.6937788209721292,0.5324349091181456,-1.5969180579038167,-0.25184118769538427,3021.446148862164,-13.648807511480394,15054.204608578728,76,0.1470019342359768,1.0290135396518376,0.4342105263157895,0.006,435,False,5.912654726077907,34,-776.2709551279743,-0.7985453087572122,-0.07995732773638763,615.0792754848367,0.6386306532844369,-0.432054407654327,-80.5958398215688,-0.07995732773638763,0.21017003787573535,3,10.108344006212109,10.512767028666552,False,0.7923512678423427,0.7923512678423426,-0.6073808495479351,-0.12352691753249362,3639.92707290195,-6.125283826439234,7274.902590480209,76,0.1470019342359768,1.0290135396518376,0.5,0.2,0.0005,10,0.0,0,5.409489017561805,-0.07515505381045463,0.8979248985800865,0.4725053615427947,-0.3478148506220645,0.34627691440531877,0.25,3,3,20,54.807017195494296,152,11
True,False,5.0,3.0,30,2.5,-7.415723503721086,16,50,300,False,channel_reclaim,48,8,0.0025,74.45740469467195,41.11210730051034,18,0.0025,9.030166526821116,29,-618.6493439308639,-0.6695251925883353,-0.17157138103589084,221.21395492752865,0.24339012859114625,-0.68359859470374,-160.54209000810437,-0.17157138103589084,0.20912241115319527,6,14.923395047169366,16.058252680606714,False,0.35757567206318747,0.4290908064758248,-2.05274670549439,-0.26258858058025775,2920.9320226772043,-14.127703920713246,14548.709802343299,88,0.1702127659574468,1.1914893617021276,0.5454545454545454,0.006,408,False,6.795807887844692,29,-666.8222098176066,-0.6915173654311989,-0.07344437216701803,358.28597758254324,0.3749615249069957,-0.4243331384664997,-72.72541939251968,-0.07344437216701803,0.20912241115319527,6,10.75814622989163,11.2709482613318,False,0.5373036055300916,0.7406076724874231,-0.8235561569139032,-0.11308585363690532,3438.8680252111326,-6.399836906541721,6871.829756103087,88,0.1702127659574468,1.1914893617021276,0.5795454545454546,0.08,0.0,50,0.0,0,5.296493503831616,-0.1668368957090334,0.5678579722003202,0.5107601335862205,-0.4572284091217299,0.0856953807579197,0.4,1,1,49,24.716561191032874,177,11
True,False,6.0,3.0,80,1.8,-28.414154703794622,30,20,400,False,channel_reclaim,18,3,0.018,72.11043843378317,40.22767035944243,48,0.0025,7.932411930780194,14,-328.6396050161744,-0.35271011791204615,-0.17291144657104218,166.175913742704,0.18026451499164425,-0.721269742372895,-161.7138878445046,-0.17291144657104218,0.09879925860262713,9,13.422252691093833,14.351650065396507,False,0.5056478622974412,0.25742072989687903,-2.8748956758293334,-0.32203492155404595,2373.9909048950094,-13.422252691093833,11814.732377308701,83,0.16054158607350097,1.1237911025145069,0.3373493975903614,0.08,121,False,4.82302033706285,14,-316.6788515751592,-0.32883046380003433,-0.09038263076139602,242.13926919501677,0.25326277567664157,-0.591443233256241,-87.76540451267748,-0.09038263076139602,0.09879925860262713,9,8.79745319256782,9.155433877486038,False,0.7646209021872384,0.5305532790686961,-1.4936371847232615,-0.15677381249389286,2715.4294796887984,-7.284528574552285,5421.724171688175,83,0.16054158607350097,1.1237911025145069,0.40963855421686746,0.08,0.001,10,0.25,0,3.4811062554084105,-0.07744004583062418,0.7463457174662004,0.5153313034652748,-0.2944759492593188,0.1628812225741007,0.25,3,3,7,73.36962745585335,165,11
True,False,6.0,2.2,14,1.8,-29.779135514065324,20,8,80,False,range_bb_reversion,72,1,0.012,62.9575216991989,39.7626722463075,12,0.0,13.756787731212235,21,-550.5091771180686,-0.6262534442646042,-0.2014716841700402,93.41995811746723,0.10746050498964269,-0.7283721135065442,-177.70809882381099,-0.2014716841700402,0.23289547908775887,8,23.814056994977552,27.031203190584147,False,0.16969736745629457,0.23333388025240515,-3.22987667054562,-0.38523740720705246,4149.289473563685,-23.63517714356678,20649.047008451664,133,0.2572533849129594,1.8007736943907158,0.5789473684210527,0.01,747,False,7.61325848659199,21,-771.0044180551554,-0.8272242693765978,-0.11202034359204521,191.44202118544916,0.20671184072498366,-0.6923988803995454,-105.25199391879741,-0.11202034359204521,0.23289547908775887,6,14.595908766065316,15.609749171068279,False,0.24830210657982763,0.557165702569369,-1.7299527738499991,-0.2976392382336101,4944.398113334255,-13.99851519119997,9870.6912588095,133,0.2572533849129594,1.8007736943907158,0.6917293233082706,1.0,0.0,30,0.25,0,7.633531155161735,-0.1626531252791624,0.6151307768768989,0.645413732854842,-0.41428841404484146,0.19499092669803403,0.4117647058823529,2,2,5,77.83220107760076,231,11
True,False,6.0,4.0,30,2.2,-33.39402167229589,40,14,100,False,range_bb_reversion,120,6,0.008,58.24195216253066,42.453697744074695,12,0.0,9.759013978056283,42,-783.670076293685,-0.8563522885049821,-0.30855663692433016,287.6383740219544,0.3174955363107009,-0.725568443927237,-283.72613281305325,-0.30855663692433016,0.205334837617858,4,17.023567968783233,18.5133982154598,False,0.3670401393687517,0.3211601219476578,-2.3838010344936835,-0.3784282706495333,1892.4597147250051,-17.023567968783233,9386.49941713371,60,0.11605415860735009,0.8123791102514506,0.4666666666666667,0.01,130,False,7.610866065522999,42,-845.4825605248577,-0.9040213016696556,-0.2322605287060401,407.1515221886183,0.4395002442575754,-0.7151790007661974,-219.16551916811972,-0.2322605287060401,0.205334837617858,3,13.256057708419998,14.08069396077517,False,0.48156111219593606,0.48156111219593617,-1.7080742144880545,-0.35962443879475287,2167.436541816088,-13.149931150087154,4312.881415962858,60,0.11605415860735009,0.8123791102514506,0.5,0.05,0.002,30,0.5,0,6.054791876507173,-0.14586912170045163,0.7471992082199594,0.5537238311302483,-0.48527222626031735,0.21626001158479724,0.3333333333333333,2,2,38,32.44464514050374,123,11
True,False,6.0,1.7,14,1.8,-35.08642328032849,16,30,200,False,trend_reclaim,72,2,0.0,64.37166627873998,34.763441036683815,3,0.001,3.2042976843289503,20,-216.90740616299067,-0.22393462783976809,-0.13929434840643926,61.92367482911667,0.06384232223354996,-0.7138332338139408,-134.8982646947238,-0.13929434840643926,0.08260133773873801,8,6.8798114994309145,7.104011768728402,False,0.2854843729152585,0.11895182204802436,-2.275233176971783,-0.15556170655949145,1488.4297244208913,-6.8798114994309145,7415.242309742701,51,0.09864603481624758,0.690522243713733,0.29411764705882354,0.04,518,True,1.6784838436287652,20,-267.5094744507756,-0.2696323267315988,-0.055217261557412974,106.40603424933678,0.10744244305748664,-0.563097927717072,-54.89085185659405,-0.055217261557412974,0.08260133773873801,6,3.5268608191414557,3.5683375070348564,False,0.39776547902760934,0.5243272223545759,-0.9134549003416043,-0.05039769109937483,1677.5683317601254,-2.799433444686336,3352.901857441378,51,0.09864603481624758,0.690522243713733,0.5686274509803921,0.12,0.0005,10,0.0,0,3.2486762446179855,-0.10468892788061966,0.43581439306274455,0.43931095255205926,-0.2509166533920897,0.0,0.0,1,1,80,7.558603972831258,134,11
True,True,1.5,1.0,14,1.8,-35.1301473607391,40,20,100,True,trend_state_tp,18,2,0.005,67.22258905666367,38.958658071786076,3,0.005,7.331898244891123,3,-653.036842460652,-0.6904781349985015,-0.3058310595036251,113.04317283244524,0.12155457993512636,-0.7067967828912038,-290.15683521655336,-0.3058310595036251,0.01023450721250705,4,11.208408732241805,11.827020562276768,False,0.17310382122775336,0.155793439104978,-2.3312750163032256,-0.21285127529425055,2003.6407779611134,-11.025959738229023,10016.625229659821,38,0.0735009671179884,0.5145067698259188,0.47368421052631576,0.01,35,False,5.2680073092575155,3,-681.6711808657884,-0.7059815220935295,-0.16681492945008544,303.2842969173425,0.3184350039290142,-0.5701805238546885,-163.27356097993007,-0.16681492945008544,0.01023450721250705,4,7.7594704310873865,8.025919233031392,False,0.4449128926532321,0.49434765850359125,-1.2188371038553598,-0.11397324334114353,2484.5811015690924,-6.2043953172373145,4971.5857682097585,38,0.0735009671179884,0.5145067698259188,0.5263157894736842,0.08,0.003,50,0.0,0,9.979659759329506,-0.12781337895711986,1.5250840502820664,0.505463458110517,-0.4019620023042001,0.0,0.0,3,3,110,-5.6082700306701305,132,11
True,False,5.0,3.0,55,2.2,-38.34480484474436,12,50,100,False,range_bb_reversion,48,6,0.025,77.0061868462235,44.01485411127886,48,0.01,12.499229888836153,23,-619.6863509207154,-0.695383928194357,-0.21360973315263207,215.2131922584219,0.2432451069731416,-0.6965316803097399,-191.1538420323086,-0.21360973315263207,0.21419937142396647,6,22.677460718619223,25.524800701256584,False,0.3472937429373153,0.3662370380066235,-2.692121490879912,-0.3875817738215501,3435.8071029659577,-21.60038414965091,17088.185719813016,113,0.218568665377176,1.5299806576402322,0.5132743362831859,0.04,442,True,7.848963726862998,23,-737.5916968417115,-0.788621848599608,-0.12906369874745072,316.78592231422493,0.3406216503896917,-0.6111536217482554,-121.76052105151854,-0.12906369874745072,0.21419937142396647,4,16.246892210320834,17.51836997676808,False,0.4294868335295371,0.6031091704882858,-1.5450817034451414,-0.2786292832812858,4042.015063344032,-13.758938878821587,8064.589669720541,113,0.218568665377176,1.5299806576402322,0.584070796460177,0.12,0.002,50,0.0,0,8.42896346410873,-0.15241988140241394,0.6300533961768015,0.5147654174857151,-0.31706061534116403,0.19184389954893566,0.2727272727272727,2,2,32,37.67464711372999,209,11
