allow_long,allow_short,atr_stop_mult,atr_tp_mult,bb_lookback,bb_std,break_even_atr,deploy_score,donchian_lookback,ema_fast,ema_slow,exit_on_flat_signal,family,max_holding_bars,min_holding_bars,move_stop_after_partial,partial_exit_atr,partial_exit_fraction,pullback_depth,rsi_high,rsi_low,slope_bars,slope_min,stress_alpha,stress_avg_drawdown,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_pnl,stress_avg_r_multiple,stress_avg_trade_return,stress_avg_win,stress_avg_win_r,stress_best_month,stress_best_trade,stress_best_trade_r,stress_beta,stress_cagr,stress_cagr_pct,stress_calmar_ratio,stress_cvar_95,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_gross_loss,stress_gross_profit,stress_losing_trades,stress_max_consecutive_losses,stress_max_consecutive_wins,stress_max_drawdown,stress_max_drawdown_duration,stress_max_drawdown_pct,stress_max_drawdown_r,stress_median_pnl,stress_median_r_multiple,stress_median_trade_return,stress_pass,stress_payoff_ratio,stress_profit_factor,stress_profitable_months,stress_recovery_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_months,stress_total_return,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_trades_per_week,stress_ulcer_index,stress_var_95,stress_win_rate,stress_winning_trades,stress_worst_month,stress_worst_trade,stress_worst_trade_r,trail_atr_mult,trend_strength_max,trial,use_break_even,use_mid_target,use_partial_exit,use_trailing_stop,validation_alpha,validation_avg_drawdown,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_pnl,validation_avg_r_multiple,validation_avg_trade_return,validation_avg_win,validation_avg_win_r,validation_best_month,validation_best_trade,validation_best_trade_r,validation_beta,validation_cagr,validation_cagr_pct,validation_calmar_ratio,validation_cvar_95,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_gross_loss,validation_gross_profit,validation_losing_trades,validation_max_consecutive_losses,validation_max_consecutive_wins,validation_max_drawdown,validation_max_drawdown_duration,validation_max_drawdown_pct,validation_max_drawdown_r,validation_median_pnl,validation_median_r_multiple,validation_median_trade_return,validation_pass,validation_payoff_ratio,validation_profit_factor,validation_profitable_months,validation_recovery_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_months,validation_total_return,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_trades_per_week,validation_ulcer_index,validation_var_95,validation_win_rate,validation_winning_trades,validation_worst_month,validation_worst_trade,validation_worst_trade_r,volatility_max,volatility_min,volume_lookback,volume_min,wf_gate_windows,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_win_rate,wf_positive_exp,wf_rank,wf_score,wf_total_trades,wf_windows
True,False,3.0,2.2,14,2.2,0.75,529.1920626677329,8,20,200,True,trend_reclaim,36,8,True,1.2,0.5,0.0,64.9740982072997,43.233391668143284,36,0.0,0.0,-0.004881823990831982,0.6205409246418857,8,-354.2037188869814,-0.3272224878032605,93.24115432533051,0.08773341444792453,0.001795224492512792,321.03127159705286,0.2989836919576187,0.04758989375780076,3231.0296530332434,3.148027118251002,0.0,0.10701762994058961,10.70176299405896,6.615587244685432,-1.490035722636408e-05,93.2411543253305,0.08773341444792453,0.10701909904101861,19835.40825767096,35313.439875675824,56,3,9,-0.016176588106605532,1957,1.6176588106605532,1.6215001926813741,60.429795385924244,0.0553462785084448,0.0009930040000000427,False,0.9063464172703587,1.780323319638205,10,9.568168216933598,1.7324066907082039,0.9066388452227075,17786.83670683183,17,0.15478031618004912,15.478031618004911,17786.887758586923,166,0.32108317214700194,2.2475822050290137,0.00661852789459452,0.0,0.6626506024096386,110,-0.009146230430326252,-514.5173357486196,-0.4712355873881357,1.0,0.015,1444,True,False,True,True,0.0,-0.002530464526571664,0.41811006233177767,8,-359.6097206310125,-0.31222129279589356,187.06017225987986,0.16449747486237418,0.0031251311604042773,402.9718106285517,0.3527813578870682,0.068468872467635,3763.61897094071,3.57684485265482,0.0,0.21051877317930257,21.051877317930256,20.553765415588803,-1.1931008467504233e-05,187.06017225987992,0.16449747486237418,0.10701909904101861,16901.656869657596,47953.64546479764,47,3,14,-0.010242345814632906,1111,1.0242345814632907,1.02699628512722,134.01646042611526,0.1140810881645532,0.001944260252467009,True,1.120580972954377,2.8372156549270375,13,30.317262429059042,2.850097235969072,1.6700942504167746,20665.473273423137,17,0.31051988595140034,31.051988595140035,4133.096888706507,166,0.32108317214700194,2.2475822050290137,0.003793037501285621,0.0,0.7168674698795181,119,-0.0053706716929013965,-547.4815418262299,-0.4666635080311219,0.04,0.003,20,0.75,0,1.9746350617656745,0.20694473402427677,3.500498930329168,0.6427112596404059,11,2,304.783867228856,246,11
True,False,4.0,1.3,40,1.5,0.5,207.57766754788906,16,10,100,True,trend_state_tp,14,8,True,1.2,0.33,0.008,58.47625779799973,38.06066255631717,18,0.0025,0.0,-0.00550370653721638,0.6540637522097892,8,-323.5686178122485,-0.2881514099681075,89.18719449486876,0.0820595803426128,0.002518636056125231,280.72747340862907,0.25385683728418895,0.036979370118026766,2006.443165391538,1.8573566041007354,0.0,0.13732218745827018,13.73221874582702,5.36572550987118,-1.6694206534259987e-05,89.18719449486878,0.0820595803426128,0.1445724877105327,22973.371864669636,42951.303431520246,71,5,18,-0.02559247341401312,3218,2.559247341401312,2.587258671652739,39.00986783241535,0.03477167382047405,0.000993004000000031,False,0.8675979620851918,1.8696125098455545,11,7.806174590343349,2.211517290302821,2.0283258988531863,16509.237195634887,17,0.1997793156685069,19.97793156685069,16509.290192092976,224,0.4332688588007737,3.032882011605416,0.007742106582669219,0.0,0.6830357142857143,153,-0.007926016721544804,-422.0090698323353,-0.3667201518587644,1.0,0.015,1356,True,False,True,True,0.0,-0.0035380047948876656,0.5119744359504425,8,-318.5115111466852,-0.2699256381902186,141.39070499089866,0.12374051422476844,0.003541456642080673,337.6547080559822,0.2917381716247947,0.04673749470231403,2339.515207561921,2.022569179200996,0.0,0.21455884106067447,21.455884106067447,10.720259986289777,-1.4762074735731508e-05,141.39070499089863,0.12374051422476844,0.1445724877105327,21340.271246827913,53011.7891647892,67,5,18,-0.020014331866491614,1770,2.0014331866491615,2.0180890372694833,11.275310704632663,0.00948708633560261,0.000197320480000112,False,1.0601020567212118,2.4841197448541825,15,15.824419285755049,3.023177700512024,2.7313773661211704,18353.128916490215,17,0.3167151791796117,31.67151791796117,3670.627931108601,224,0.4332688588007737,3.032882011605416,0.005567552051514596,0.0,0.7008928571428571,157,-0.0009144160441639793,-445.26808820819224,-0.3378666542081629,0.12,0.003,100,1.25,0,1.6210550833219524,0.14599118976858963,2.8066928181069124,0.6645707954321365,10,4,260.5599851409894,366,11
True,False,3.0,8.0,14,1.8,0.75,205.8984956638508,30,20,50,True,range_bb_reversion,72,8,True,1.2,0.67,0.012,60.33427693953948,39.97662521207626,36,0.005,0.0,-0.004274722132723213,0.6477968687324581,8,-371.73715098483154,-0.3277066193660152,99.48253482321698,0.09099751429487841,0.0024044701363710235,346.4666460053665,0.3104562326274848,0.05114223632467074,3130.845374361485,3.0267221028928404,0.0,0.150735074337069,15.0735074337069,8.182056751300461,-2.0309633101049577e-05,99.48253482321695,0.09099751429487841,0.1424772342654525,28252.023474847207,50237.66367077814,76,4,10,-0.018422638575943766,1127,1.8422638575943766,1.8540310724317415,50.55886087150438,0.044891634999857995,0.0009930040000000425,False,0.9320205018182426,1.7781970100479623,12,11.934034370429298,2.0317428215000493,1.3688942539737352,20062.41720096842,17,0.21985640195930958,21.98564019593096,20062.47931150404,221,0.4274661508704062,2.992263056092843,0.006051878370730255,0.0,0.6561085972850679,145,-0.00925405048879413,-567.8329465333876,-0.4608256375146895,1.0,0.08,704,True,False,True,True,0.0,-0.0029362855303434756,0.5475156602554737,8,-364.761394343481,-0.30336289958398355,166.84893217329878,0.1433975612895019,0.003507139622150029,429.0621337660347,0.3637591399635859,0.0625155378646689,3680.887107477457,3.510965031562945,0.0,0.24826594941105884,24.826594941105885,18.73960813363573,-1.8063206908344834e-05,166.84893217329872,0.1433975612895019,0.1424772342654525,26627.58178707411,63501.195797373155,73,4,10,-0.013248193219443377,921,1.3248193219443376,1.330202612332684,44.70603966935917,0.038253838492934934,0.0007185725413672312,False,1.176281647180031,2.384790188803352,15,27.83293797087927,2.852351774486834,1.9341086998976218,22951.570713507357,17,0.3687361401029909,36.873614010299086,4590.316719321008,221,0.4274661508704062,2.992263056092843,0.004446945424889086,0.0,0.669683257918552,148,-0.0034441765946090497,-625.7773055920355,-0.45518872141916256,0.08,0.003,150,1.25,0,2.8502043046671552,0.1291347992290805,2.4422179866928784,0.6745470487998722,10,8,247.0370309406037,463,11
False,True,1.5,3.0,20,2.2,0.5,203.7651298402081,20,8,100,True,trend_bb_reversion,12,8,True,2.0,0.5,0.025,61.19902568794321,34.4517520993221,18,0.0025,0.0,-0.010431688198586262,1.4855434334628026,8,-600.6251322138977,-0.598228609483578,107.95441686123272,0.10202529670281019,0.0017000238466552003,504.7589643433059,0.4941674841671876,0.05638620037536035,2779.37244350558,2.7201610665924743,0.0,0.05877904686312041,5.877904686312041,1.4906522291686983,-1.3172063247134403e-05,107.95441686123289,0.10202529670281019,0.05028608268192441,16817.503701989135,25237.94821716528,28,6,6,-0.03943176397079559,4506,3.9431763970795592,4.2157047272767585,68.584747076666,0.06516766428539716,0.0010070040000000856,False,0.8403893498142008,1.500695267525358,8,2.1354470779984833,0.8675681063328627,0.35456813988319663,10916.164113339162,17,0.08420444515176131,8.420444515176131,10916.19436614164,78,0.15087040618955513,1.056092843326886,0.0148688691084913,0.0,0.6410256410256411,50,-0.023394886625812794,-746.0448305964036,-0.7122819203801547,1.0,0.006,150,True,False,True,True,0.0,-0.007759016278765528,1.2227283338727282,8,-595.4309794270412,-0.5901459243141609,216.71507123861412,0.19947160943838269,0.0028990144996372653,599.8028309865647,0.5719327102650541,0.06785767299979173,3324.5387205959278,3.121799660879984,0.0,0.11665620661275877,11.665620661275877,3.9230189001097844,-1.1247882063414001e-05,216.71507123861412,0.19947160943838269,0.05028608268192441,14885.774485676027,31789.550042287938,25,4,6,-0.029736335608654393,1633,2.9736335608654394,3.43464561899963,19.498809347436648,0.01837840618928318,0.0002026804800000446,False,1.0073423313710186,2.1355657425065604,10,5.684552319786262,1.464907849016118,0.5492208861037863,12317.276489066497,17,0.16903775556611916,16.903775556611915,2463.4565651932953,78,0.15087040618955513,1.056092843326886,0.011414711822303015,0.0,0.6794871794871795,53,-0.017627080819221375,-813.0632002407891,-0.734072441513703,0.08,0.003,100,0.25,0,2.8249994767979487,0.2598882899595241,3.8677526141912324,0.7696193922411204,9,1,328.66759776356014,203,11
True,False,4.0,1.3,55,1.5,0.75,199.1792808609698,40,14,50,True,trend_reclaim,120,8,True,0.6,0.33,0.0025,69.2727008523645,43.67313888327684,24,0.001,0.0,-0.005516956403725426,0.6777401209913185,8,-254.23125907580726,-0.24683998583097183,113.56034034731948,0.11049025958800432,0.0037973168319191237,297.4561400588829,0.2891553822974923,0.03232320535872657,2177.021540901612,2.0546676341717163,0.0,0.052386143019499176,5.238614301949918,3.5676358546220306,-4.392170566387369e-06,113.5603403473195,0.11049025958800432,0.042549762269320654,5593.08769966776,13088.070162590848,22,3,7,-0.014683713572289224,6007,1.4683713572289223,1.4755523479794859,37.85741589153566,0.03635255109259927,0.0009930040000000625,False,1.1700218971506835,2.3400437943013666,9,5.1042826639355585,1.406884530845817,0.573602735239701,4381.085174712556,17,0.07494982462923115,7.494982462923115,4381.101431881401,66,0.1276595744680851,0.8936170212765957,0.006970810004363687,0.0,0.6666666666666666,44,-0.008048963007412757,-394.2941548678879,-0.3662675617381423,1.0,0.006,846,True,False,False,True,0.0,-0.002982783106014229,0.45066680833689604,8,-239.19859031257243,-0.22818977674880606,174.65164616721415,0.16645830005642442,0.005267327692888858,341.952805595213,0.32599688429683665,0.03706775429998532,2392.335804996525,2.19617648989155,0.0,0.08012258158127805,8.012258158127805,7.275224895881662,-3.5074878717153062e-06,174.65164616721418,0.16645830005642442,0.042549762269320654,4544.773215938876,16071.78186297501,19,3,7,-0.01101307282289426,3597,1.101307282289426,1.1048032601211866,72.69920394947373,0.07279317733806762,0.0021964819798717568,False,1.4295770102506318,3.536322077988405,11,10.466659789149386,1.9515511270489296,0.9514912352420106,4721.816676506359,17,0.11527008647036127,11.527008647036126,944.364023028727,66,0.1276595744680851,0.8936170212765957,0.004034690301492743,0.0,0.7121212121212122,47,-0.006686655554960841,-341.82755715775374,-0.3158362493306511,0.04,0.0005,30,0.5,0,1.3650770053364485,0.045737244619731277,1.8796030345219068,0.5363755748114036,6,43,122.7205279283988,129,11
True,False,4.0,6.0,14,2.5,0.5,193.85288983631187,12,30,50,True,channel_reclaim,36,8,True,1.0,0.5,0.018,67.54090886427227,30.62038497275346,6,0.0005,0.0,-0.00392157275225413,0.47167553324562805,8,-271.6160520897221,-0.26422178689934384,56.3912745308581,0.05479629158000515,0.0017819837877786032,213.7009107672588,0.20779475778948883,0.020610980647985278,2143.3133592725108,2.054667634171716,0.0,0.0570971085995704,5.70971085995704,3.2168289309693052,-1.0088077972598827e-05,56.39127453085811,0.05479629158000515,0.09348053831896204,12765.95444821694,20942.68925519137,47,5,6,-0.01774950108471131,2488,1.7749501084711308,1.7874698647397667,36.998512284794764,0.035682137914797234,0.0009930040000000037,False,0.7867757046136126,1.6405110436624266,11,4.606740644680741,1.3350828711986016,0.6605940747141722,10511.742747622027,17,0.08176734806974448,8.176734806974448,10511.771947870986,145,0.2804642166344294,1.9632495164410058,0.005679521350564591,0.0,0.6758620689655173,98,-0.014317513429755402,-393.56124618945154,-0.3849524052315538,1.0,0.006,934,True,False,True,True,0.0,-0.0027067918406598985,0.38294459208320225,8,-257.26654542046276,-0.24503184678007656,92.54200386402752,0.08754102695233064,0.0026354786921893828,244.93384711667673,0.23242425907337924,0.023166456650390188,2381.833791998611,2.19617648989155,0.0,0.09303308859704407,9.303308859704407,6.461458702991964,-8.760381293835512e-06,92.54200386402748,0.08754102695233064,0.09348053831896204,11319.727998500362,24738.318558784336,44,3,6,-0.01439815572201449,1380,1.439815572201449,1.447038291332908,9.71124428098554,0.009287714699774224,0.00019732048000004334,False,0.9520625649804948,2.185416342341589,11,9.319659280922574,1.9568419776476849,0.9996549859630836,11475.154623859557,17,0.1341859056028408,13.41859056028408,2295.0320123227298,145,0.2804642166344294,1.9632495164410058,0.004140403645864179,0.0,0.696551724137931,101,-0.012424174826122236,-387.19172937235925,-0.3708514031581349,0.08,0.0005,50,0.5,0,1.6461753753520176,0.10607819972416312,3.4240288038580933,0.7399603028254144,8,5,252.76877380694415,279,11
True,False,1.0,6.0,40,2.0,0.5,190.9074843993154,8,8,50,True,range_bb_reversion,72,8,True,0.6,0.5,0.018,63.15366697358432,33.88581513819788,36,0.005,0.0,-0.013554684926977752,1.691144245989928,8,-914.1880269535873,-0.8590630913638212,129.53738004702026,0.13631303149615812,0.0015384721223900028,562.7818886133102,0.5494880258908668,0.05780733192461418,4452.426726100424,5.67361551996813,0.0,0.13365428315810823,13.365428315810824,2.494707161232069,-2.965145939853841e-05,129.5373800470203,0.13631303149615812,0.09670400515754694,40224.27318595784,59654.8801930109,44,3,12,-0.05357513909251776,4082,5.357513909251776,5.774450506912833,102.88139339513026,0.0945578421602784,0.0009930040000000195,False,0.6156084656771406,1.4830567582222023,9,3.6267954383653103,1.1858414997069098,0.4080422739937528,28129.31989853082,17,0.1943060700705304,19.43060700705304,28129.395587851686,150,0.2901353965183752,2.0309477756286265,0.018658304355319906,0.0,0.7066666666666667,106,-0.014025753379042438,-1193.5314204127521,-0.9992652455333614,1.5,0.04,881,True,False,True,True,0.0,-0.008312898484017273,1.4705747885088114,8,-972.9807691598365,-0.9196802549067167,247.41756520096757,0.2590830029710327,0.0024635206571974977,661.481285787669,0.6590205368938405,0.06035749711324612,4776.738783222236,7.44429205156809,0.0,0.24980556208602334,24.980556208602334,6.382265372494883,-2.5400000660537337e-05,247.41756520096763,0.2590830029710327,0.09670400515754694,36973.26922807379,74085.90400821892,38,3,12,-0.039140579011739236,2915,3.9140579011739236,4.935176652351714,25.95724070498673,0.028142415617742472,0.0001973204800000136,False,0.6798503184794231,2.003769359728826,14,9.481881902925894,1.9266141603245535,0.9472190106049522,32392.821198003036,17,0.3711263478014513,37.11263478014513,6478.567278960813,150,0.2901353965183752,2.0309477756286265,0.012283453110723064,0.0,0.7466666666666667,112,-0.0053917930829934235,-1363.4969837832045,-0.999336260279019,0.12,0.003,100,1.5,0,6.972642946470231,0.11543860313624835,1.6451659241150969,0.7596996238264508,11,13,206.62501237656122,242,11
True,False,1.0,1.7,80,2.5,1.5,172.34124832623291,12,80,130,True,range_bb_reversion,24,8,True,1.2,0.5,0.0025,69.9245974926058,40.88078138402482,36,0.01,0.0,-0.010762787891251338,1.4523408623526535,8,-596.475142545237,-0.561245008973134,209.63502168307826,0.1929420575679927,0.003033741174351349,848.4393027696676,0.7905997329402062,0.09298344903659239,2837.1218774035133,2.8797401343092326,0.0,0.13690289148981916,13.690289148981915,3.271038444098742,-1.8356399126266585e-05,209.63502168307815,0.1929420575679927,0.06124586993311306,25051.955986899953,44967.283046792385,42,5,7,-0.04185303652936416,2337,4.185303652936416,4.471304271303733,131.65513545910494,0.12272296770178555,0.0015735792651469188,False,1.4224218953186663,1.7949609631402217,9,4.758394781205384,1.5491831518580503,0.36044396857934263,16456.41923503761,17,0.1991532705989247,19.91532705989247,16456.472063255052,95,0.18375241779497098,1.2862669245647969,0.015512073215278458,0.0,0.5578947368421052,53,-0.024117254956565026,-1136.049185265081,-0.9507551512799157,1.0,0.08,324,True,False,True,True,0.0,-0.007012310036721773,1.2408650832124792,8,-673.1124972889219,-0.6343922570306113,384.7795331852573,0.35378298717885615,0.004482784674500612,1001.8832176285285,0.9302185463010455,0.11576948951669674,3422.304118338479,3.509702426107505,0.0,0.2462063337632836,24.62063337632836,7.8503837862019115,-1.610148321136536e-05,384.7795331852573,0.35378298717885615,0.06124586993311306,23558.937405112265,60112.993057711705,35,4,10,-0.031362330870501366,2152,3.1362330870501367,3.831383855392083,321.16098164911426,0.282871468046692,0.0031789816349473317,False,1.4884335406990483,2.5516003554840827,11,11.655401444342669,2.3409731566513297,0.629371491852853,18987.820011772128,17,0.3655405565259943,36.55405565259943,3797.566375931777,95,0.18375241779497098,1.2862669245647969,0.010753191351758094,0.0,0.631578947368421,60,-0.022174624804832344,-1344.051148770468,-0.988629726663171,1.0,0.0005,50,0.0,0,4.33116428701446,0.12779352051091988,1.7847536872488967,0.4791333918606646,7,26,154.1819621564834,177,11
True,False,4.0,4.0,80,1.5,1.0,167.5570003421389,30,8,80,True,range_bb_reversion,48,8,True,2.0,0.33,0.005,74.64464437502278,26.994502951182366,36,0.0,0.0,-0.005723965189675239,0.7193916347264268,8,-238.4758732654676,-0.23420320212709603,53.921748678706905,0.05317346311402225,0.001931587784659325,226.22749018152405,0.22252042655968124,0.013802305822534278,1359.1976160467916,1.3284657492626313,0.0,0.033670231544873586,3.3670231544873586,2.1380931887570593,-6.257047984289303e-06,53.921748678706905,0.05317346311402225,0.05737770972681119,7869.703817760432,12668.739450165347,33,5,9,-0.015747784858922424,3312,1.5747784858922425,1.5849872428447531,38.66991093265425,0.0380995782287402,0.000993004000000039,False,0.9486389003792058,1.6098114673101673,9,3.0474353538591883,1.09939378793087,0.30826901693200254,6086.895793145716,17,0.047990356324048626,4.799035632404863,6086.9127659895685,89,0.172147001934236,1.205029013539652,0.007418431259043991,0.0,0.6292134831460674,56,-0.009535272495193703,-373.08558754131406,-0.3598692702300085,1.0,0.04,1536,True,False,True,True,0.0,-0.003672761838588882,0.5285716792608547,8,-242.93361335159574,-0.23414710892003746,102.20710886675162,0.09843405033291903,0.0031681111515371478,260.6323584095996,0.2510942545801777,0.018366892306280302,1465.1446011255623,1.3922053710140867,0.0,0.06343851584236049,6.343851584236049,4.535420416239122,-5.309888272261323e-06,102.20710886675162,0.09843405033291903,0.05737770972681119,6802.141173844681,15898.573862985577,28,5,9,-0.013987350679821918,2227,1.398735067982192,1.4066097647341307,47.68161182327606,0.047484648847335074,0.0010545338727165874,False,1.0728542452970007,2.3372896058256085,10,6.503327826236098,1.8501513640300926,0.6872586953425132,6608.690883788746,17,0.09096432689140828,9.096432689140828,1321.7388578320788,89,0.172147001934236,1.205029013539652,0.005386919446311751,0.0,0.6853932584269663,61,-0.007802493481908757,-369.4223411976036,-0.34621143068042126,0.05,0.002,20,1.25,0,1.2932406810249415,0.06799142931136283,2.513316658009128,0.5908341064758177,8,17,186.30573125588398,155,11
True,True,1.0,1.3,20,2.5,0.5,166.8092191841833,8,30,150,True,range_bb_reversion,8,6,True,1.0,0.5,0.025,67.8453398283172,24.6597696154038,3,0.005,0.0,-0.01361367614819981,1.6803452946648487,6,-764.1183838389607,-0.7875181553561438,47.301052390837604,0.043109563287759944,0.0005019458755491642,407.0024519566244,0.4113259746453668,0.030552982060557232,2954.635420345225,3.011712267440421,0.0,0.046341956371195314,4.634195637119531,1.1647105172709638,-2.504472119248084e-05,47.301052390837526,0.043109563287759944,0.06769280361028286,32857.090505075306,39479.23783979254,43,4,9,-0.0397883900626048,6380,3.9788390062604804,4.233009054520041,101.97634827472123,0.09913960497544227,0.0010070040000000257,False,0.5326431879728218,1.201543935659621,8,1.6643416142994933,0.5596498062062029,0.22762472168775985,27669.422256557897,17,0.0662214733471736,6.62214733471736,27669.484217610265,140,0.27079303675048355,1.8955512572533848,0.017197794481093157,0.0,0.6928571428571428,97,-0.016195339491310135,-991.4712620393464,-0.921424900943255,1.0,0.04,928,True,False,True,True,0.0,-0.007000727023888961,1.121457839856662,6,-797.9190772091376,-0.853675473567119,155.56464367871223,0.17463824434077221,0.0014694375576279766,461.39904471821114,0.5044747198961337,0.05210770289998101,3141.9666395100817,3.8782840910800904,0.0,0.1493579162517611,14.935791625176108,4.635109035297071,-1.9470551085414652e-05,155.5646436787121,0.17463824434077221,0.06769280361028286,27129.248625110675,48908.2987401304,34,4,14,-0.03222317212267878,2319,3.222317212267878,3.334191631653283,22.953244837747754,0.02884428552462521,0.00020268047999999744,False,0.5782529305252802,1.8027885481082273,10,6.75881630526735,1.5689506155789092,0.6575330618178441,30667.112056046964,17,0.21779050115019766,21.779050115019764,6133.424754392063,140,0.27079303675048355,1.8955512572533848,0.010481595738395445,0.0,0.7571428571428571,106,-0.008951730820104031,-1110.4581113865245,-0.982623032692568,0.03,0.001,30,1.0,0,4.618204313728326,0.40161848208239204,2.658429079537781,0.7243538845511923,9,11,221.83876688334254,202,11
