allow_long,allow_short,atr_stop_mult,atr_tp_mult,bb_lookback,bb_std,break_even_atr,deploy_score,donchian_lookback,ema_fast,ema_slow,exit_on_flat_signal,family,max_holding_bars,min_holding_bars,move_stop_after_partial,partial_exit_atr,partial_exit_fraction,pullback_depth,rsi_high,rsi_low,slope_bars,slope_min,stress_alpha,stress_avg_drawdown,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_pnl,stress_avg_r_multiple,stress_avg_trade_return,stress_avg_win,stress_avg_win_r,stress_best_month,stress_best_trade,stress_best_trade_r,stress_beta,stress_cagr,stress_cagr_pct,stress_calmar_ratio,stress_cvar_95,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_gross_loss,stress_gross_profit,stress_losing_trades,stress_max_consecutive_losses,stress_max_consecutive_wins,stress_max_drawdown,stress_max_drawdown_duration,stress_max_drawdown_pct,stress_max_drawdown_r,stress_median_pnl,stress_median_r_multiple,stress_median_trade_return,stress_pass,stress_payoff_ratio,stress_profit_factor,stress_profitable_months,stress_recovery_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_months,stress_total_return,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_trades_per_week,stress_ulcer_index,stress_var_95,stress_win_rate,stress_winning_trades,stress_worst_month,stress_worst_trade,stress_worst_trade_r,trail_atr_mult,trend_strength_max,trial,use_break_even,use_mid_target,use_partial_exit,use_trailing_stop,validation_alpha,validation_avg_drawdown,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_pnl,validation_avg_r_multiple,validation_avg_trade_return,validation_avg_win,validation_avg_win_r,validation_best_month,validation_best_trade,validation_best_trade_r,validation_beta,validation_cagr,validation_cagr_pct,validation_calmar_ratio,validation_cvar_95,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_gross_loss,validation_gross_profit,validation_losing_trades,validation_max_consecutive_losses,validation_max_consecutive_wins,validation_max_drawdown,validation_max_drawdown_duration,validation_max_drawdown_pct,validation_max_drawdown_r,validation_median_pnl,validation_median_r_multiple,validation_median_trade_return,validation_pass,validation_payoff_ratio,validation_profit_factor,validation_profitable_months,validation_recovery_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_months,validation_total_return,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_trades_per_week,validation_ulcer_index,validation_var_95,validation_win_rate,validation_winning_trades,validation_worst_month,validation_worst_trade,validation_worst_trade_r,volatility_max,volatility_min,volume_lookback,volume_min,wf_gate_windows,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_win_rate,wf_positive_exp,wf_rank,wf_score,wf_total_trades,wf_windows
True,False,1.5,6.0,20,2.0,0.75,1118.252080640376,12,10,50,True,trend_state_tp,96,8,True,2.0,0.67,0.025,60.84998662485222,42.11751077278476,48,0.0005,0.0,-0.00910314186321942,1.2398824972027085,8,-755.9756734629269,-0.5430192297721258,416.95080277984425,0.2901691625962462,0.005754185302018202,1065.3387306407549,0.7507515658309364,0.10877635610459535,5365.605675957881,4.41047512522673,0.0,0.6561692753707371,65.6169275370737,12.152105405270905,-3.946167342999848e-05,416.95080277984425,0.2901691625962462,0.16270448867757273,67281.83493820051,171519.53563316163,89,4,12,-0.05399634495320683,1167,5.399634495320683,5.526950053646573,82.13435973703932,0.05350528813740784,0.000993004000000112,True,1.4092235610713724,2.5492695880055174,14,19.30458455758318,3.349380601123122,2.926576999692295,31735.123785419535,17,1.042377006949611,104.2377006949611,31735.291493533892,250,0.4835589941972921,3.3849129593810448,0.015255901587988004,0.0,0.644,161,-0.011592495072993536,-1387.0577345065813,-0.6940357556295903,1.0,0.01,298,True,True,False,True,0.0,-0.008049703177607883,1.2101739487658552,8,-838.5007088015368,-0.5323471881634478,616.140006548684,0.3785845566560369,0.006991937732855742,1378.9394060616044,0.8562682765004009,0.12665394208019953,6792.525042829788,4.936163674192711,0.0,0.9321866462085224,93.21866462085224,18.937348302204057,-3.739125954104583e-05,616.1400065486838,0.3785845566560369,0.16270448867757273,72111.06095693217,226146.06259410313,86,4,12,-0.0492247716698556,1095,4.92247716698556,5.022303385344173,111.86545716675218,0.09512531243907689,0.0018457023986222718,True,1.6445298037165799,3.1360800908083615,14,31.292171890661983,3.9026312011134467,3.605143887887003,38864.56978769424,17,1.5403500163717099,154.03500163717098,7772.921984437667,250,0.4835589941972921,3.3849129593810448,0.013631616939225114,0.0,0.656,164,-0.0106186280951025,-1748.4275445175426,-0.723769742086627,0.2,0.001,20,1.25,1,3.9162761173117375,0.5085304023399538,3.958031333509276,0.641836069451889,11,1,453.66015317932784,452,11
True,False,2.0,8.0,30,2.0,0.5,1093.7743295836235,12,14,50,True,trend_reclaim,36,8,True,2.0,0.25,0.0,65.57904194128736,37.78351251605124,12,0.0,0.0,-0.004086710088673355,0.7481712720091639,8,-572.8558549219434,-0.44889114020831805,312.2623658130268,0.24444367281616394,0.006207189092886595,732.8504565168779,0.5739006407072299,0.10072129080296954,10445.74045902464,7.255924565724203,0.0,0.4241510808672715,42.41510808672715,17.985011364622274,-2.451757266972961e-05,312.2623658130268,0.24444367281616394,0.13409622048513176,38381.34227977021,103331.91436887975,67,5,14,-0.023583587036347678,959,2.3583587036347677,2.3807386216435162,57.23359865860054,0.04628618268735694,0.0009930040000000705,True,1.2792929499109948,2.6922433722007497,13,27.54058235034639,2.7828717284882716,2.778066628213897,21228.698714414397,17,0.6495057208910948,64.95057208910949,21228.806122490234,208,0.402321083172147,2.816247582205029,0.006557348129210697,0.0,0.6778846153846154,141,-0.009227475923010653,-914.7816789199577,-0.5601672517324319,1.0,0.015,219,True,False,True,True,0.0,-0.002992715663541212,0.6459800685698398,8,-625.7923819251611,-0.44799574324254277,447.8123956560408,0.32100705259158724,0.007536789349544184,853.0804242794084,0.6112928761846033,0.11954645629141214,12655.238071309781,7.694006706520122,0.0,0.5921017909207964,59.21017909207964,29.43403121624882,-2.083361129544336e-05,447.81239565604074,0.32100705259158724,0.13409622048513176,35670.165769734194,128815.14406619071,57,4,15,-0.02011623166975278,747,2.0116231669752778,2.026938154050015,49.818527541284304,0.035023552510128286,0.0008026341352559828,True,1.3632003982775054,3.611285265612339,14,46.3033931133888,3.359128483638121,3.3318059350033566,24727.89787209146,17,0.9314497829645645,93.14497829645644,4945.584487156178,208,0.402321083172147,2.816247582205029,0.005143150479012319,0.0,0.7259615384615384,151,-0.002619463815466183,-1079.103251598134,-0.5667759119832997,0.05,0.003,150,0.25,0,2.1209359647581,0.4584501057384028,4.122819984545559,0.6546610284752578,10,11,354.4733748948815,199,11
True,True,3.0,2.2,30,2.5,1.0,1064.216394378271,20,30,50,True,trend_state_tp,72,8,True,2.0,0.25,0.025,72.98789771151172,29.588894894941728,24,0.0,0.0,-0.001929700244743928,0.44041150460407796,8,-347.6751299572394,-0.3004503136730804,203.06154223427203,0.180338096290215,0.005888800962283816,531.0283245505653,0.46665029548184045,0.05521378991742232,4137.195473200068,4.088302586817036,0.0,0.1960134594433225,19.601345944332248,18.960576288951792,-1.2926265626003138e-05,203.06154223427208,0.180338096290215,0.09162704488677573,18426.781887733687,47261.52088500032,53,3,8,-0.010337948407060723,838,1.0337948407060724,1.037339298246799,50.26084694919351,0.04043607890152574,0.0010070040000002113,True,1.5273693134618993,2.5648277150586614,14,27.892128942695063,2.4092055046347243,1.8505143616833768,10806.999838001237,17,0.28834738997266673,28.834738997266673,10807.050286789814,142,0.2746615087040619,1.9226305609284333,0.003212472549336729,0.0,0.6267605633802817,89,-0.002030850740082024,-500.7846111735245,-0.4019169731244581,1.0,0.04,23,True,True,True,True,0.0,-0.0016162589968970581,0.3777244672109812,8,-331.4529786086609,-0.27585292172706255,272.83145359012605,0.23282645464388396,0.00714540409576416,621.9735699716474,0.5267300943248753,0.0652013998234775,4404.36494585539,4.327814413253688,0.0,0.26028038177474766,26.028038177474766,26.735541963363765,-1.1645033227640245e-05,272.8314535901261,0.23282645464388396,0.09170763155774035,17235.554887650367,55977.62129744827,52,3,8,-0.009735369574008073,838,0.9735369574008073,0.976657243424037,99.3839150149906,0.08596938491635148,0.0025123825405270537,True,1.8765062018223637,3.2477991954617833,15,39.795167625924734,2.8817848728333315,2.1769675868782503,11892.412398213952,17,0.3874206640979787,38.74206640979787,2378.4846001610413,142,0.2746615087040619,1.9226305609284333,0.002856367745712494,0.0,0.6338028169014085,90,0.0,-529.6908197124113,-0.3931251702369361,0.03,0.0005,150,1.0,0,2.0791377811695453,0.3283455028471225,4.423406739162183,0.59026827473757,10,41,282.95772436028597,183,11
True,False,1.0,2.2,80,1.5,1.25,533.8884684020293,12,30,80,True,range_bb_reversion,72,8,True,1.2,0.5,0.008,74.14280238561024,32.73882724882763,6,0.0025,0.0,-0.01489479259392455,1.9966577396919052,8,-695.3032953281613,-0.5471104718195746,315.9055176499373,0.26926913250095547,0.005013262774282105,1170.4481765046683,0.9591673896732347,0.09973690845640548,5658.613765689876,4.109343146212825,0.0,0.27718530715733025,27.718530715733024,4.005284310817957,-2.6596396445177282e-05,315.9055176499372,0.26926913250095547,0.0846965911838182,41718.19771968967,83101.82053183144,60,6,8,-0.06920490173660697,3911,6.9204901736606965,7.08573718309875,85.85517542899142,0.07351987371302858,0.0011815859978213674,False,1.6833634823379537,1.9919801207665788,11,5.979868733814159,2.1365960567994886,0.7030227467143174,20646.536505301305,17,0.41383622812141724,41.383622812141724,20646.619182078663,131,0.25338491295938104,1.7736943907156673,0.02389638798792861,0.0,0.5419847328244275,71,-0.027569879191724156,-1323.7859198167985,-0.9428925755880514,1.0,0.025,923,False,False,False,True,0.0,-0.011217008096031057,1.7782684623097174,8,-836.5808193561132,-0.5940345243975039,518.6261329120147,0.4031989689275855,0.0065509931626228386,1410.6610888353393,1.0596058252934673,0.12142193891558839,7149.780067338269,4.576954492066605,0.0,0.4423374371901503,44.23374371901503,7.491324182408748,-2.496724278773279e-05,518.6261329120146,0.4031989689275855,0.0846965911838182,43502.20260651788,111442.2260179918,52,5,10,-0.059046628662640765,3466,5.9046628662640765,6.052242383865369,309.9186449359639,0.23354127801758284,0.002786360676115497,True,1.686222127254932,2.561760539483455,12,11.50616469564162,2.7952341637760965,1.0474664541978498,25208.365536030462,17,0.6794002341147378,67.94002341147379,5041.677034808194,131,0.25338491295938104,1.7736943907156673,0.01883516344827055,0.0,0.6030534351145038,79,-0.02899374135067334,-1598.6385982989427,-0.9906641161763826,0.08,0.001,150,0.0,0,4.360523495041197,0.41011977683828743,3.388180862136961,0.5746298240096795,9,16,339.7325464513065,238,11
True,True,3.0,4.0,40,2.5,0.75,517.7020574466145,16,10,400,True,trend_state_tp,24,8,True,1.0,0.25,0.025,77.76389471893503,44.70188024281781,36,0.01,0.0,-0.006382709756167477,0.7108771689881389,8,-312.47868339767643,-0.28925537519728395,139.09172503681634,0.12512918944447607,0.0042161443945288824,428.25523219223714,0.39048070890805925,0.050525988231191254,3719.208359388345,3.1584108704973213,0.0,0.17742830802395537,17.742830802395538,6.154662408122809,-1.717556725996562e-05,139.09172503681634,0.12512918944447607,0.12208880651140301,22810.943888030375,48821.09646991504,73,6,8,-0.028828276233281096,2814,2.8828276233281094,2.9176963544535797,29.738371820386035,0.026859030994627307,0.0009930040000000722,False,1.370510229804116,2.140248852022867,12,9.022444620485821,2.173476021676563,1.4849613682746696,11461.194990135571,17,0.26010152581884627,26.010152581884626,11461.243922726428,187,0.3617021276595745,2.5319148936170213,0.009942528403625235,0.0,0.6096256684491979,114,-0.014864805128409153,-457.8346470763287,-0.40795281180817067,1.0,0.08,3199,True,True,True,True,0.0,-0.005145776882959773,0.6310170610847416,8,-313.29651440089464,-0.280356967508805,192.71239869826238,0.16630789583778224,0.005406587439409247,488.59896652743043,0.42749328203197307,0.06027458933165497,4284.104731825147,3.410506853660499,0.0,0.24287222108359918,24.28722210835992,9.788094204182679,-1.5740138940689606e-05,192.71239869826235,0.16630789583778224,0.12208880651140301,21617.459493661732,57654.67805023679,69,3,8,-0.024813024478229303,2814,2.48130244782293,2.507071875143403,35.50353448802842,0.03243441002876528,0.0008730173141279616,True,1.559541661233481,2.6670422612398657,12,14.523509049932175,2.6854061240747273,2.1213175246768325,12494.82991425782,17,0.36037218556575185,36.03721855657518,2498.9680240919342,187,0.3617021276595745,2.5319148936170213,0.008358209568332723,0.0,0.6310160427807486,118,-0.012700883888918546,-486.7666390984628,-0.4009736210393071,0.04,0.0,30,0.0,0,1.4030048396893253,0.2996055132461918,4.346646100171068,0.6865458190146018,11,38,286.2270079175516,220,11
True,False,3.0,1.7,30,1.5,0.5,335.0209377657159,10,8,300,True,trend_bb_reversion,18,8,True,2.0,0.25,0.008,77.12636834675837,34.953295673336264,18,0.005,0.0,-0.0026133878503804154,0.5010765013248822,8,-248.86902305902632,-0.2394196360401533,178.51723520333198,0.17041422044062324,0.008598473215350348,317.88231941931843,0.3040556953800069,0.03878529421944732,2407.2890164292153,2.3002787184974074,0.0,0.07575733457598943,7.575733457598943,7.099655722040779,-2.905108025078733e-06,178.51723520333198,0.17041422044062324,0.03932629543073576,3733.0353458853947,14622.586693288647,15,2,11,-0.010670564537489033,2613,1.0670564537489033,1.0691696152407022,142.42816395137578,0.14145995557541485,0.004957793777151218,False,1.2773076998977235,3.917076946353019,9,10.205225139817891,2.107901234129402,0.4595158643182514,2888.1065410780334,17,0.10889551347403234,10.889551347403234,2888.1232068589757,61,0.11798839458413926,0.8259187620889749,0.004140896905506786,0.0,0.7540983606557377,46,-0.005197129127973432,-418.04658442091306,-0.38838438538367703,1.0,0.08,2962,True,False,True,True,0.0,-0.001641978772808735,0.4012043930769695,8,-255.88913543477432,-0.2459274942198816,222.38128225572876,0.2096455155007031,0.009977254212867933,339.508731486056,0.3212144158404382,0.04221880112383625,2564.129584329175,2.4226071915044023,0.0,0.09403147973189996,9.403147973189995,10.405455557814028,-2.3878387657889766e-06,222.3812822557287,0.2096455155007031,0.03932629543073576,3070.669625217292,16635.92784281674,12,2,13,-0.009036748002953754,2613,0.9036748002953754,0.9040257577954707,170.7089693903311,0.16983987858994307,0.0065686152265182485,False,1.326780564204908,5.417687303836707,10,15.011216660202845,2.417946262318351,0.629277171918564,3037.709161492834,17,0.13565258217599419,13.565258217599418,607.542520718903,61,0.11798839458413926,0.8259187620889749,0.002992133949304639,0.0,0.8032786885245902,49,-0.004819865304328874,-386.2167490867671,-0.3804474289858004,1.0,0.0005,150,0.75,0,1.0163227674060433,0.14618983648036848,3.8905684193923507,0.6907578406764642,10,27,299.8813017702724,122,11
True,False,1.0,12.0,20,1.5,0.75,283.04302874734594,16,80,150,True,trend_state_tp,72,8,True,0.8,0.67,0.025,61.643918066859726,36.364255488739154,24,0.005,0.0,-0.010520195122882435,1.4863651889855467,8,-988.6195314928758,-0.8641048843714658,313.60746228217033,0.262187720080644,0.00379859400922382,977.0061194883259,0.8359594242354923,0.07339080685676924,5933.325790388806,4.6204554459795135,0.0,0.3328065823234694,33.28065823234694,10.006300027442764,-3.7930144493626304e-05,313.6074622821702,0.262187720080644,0.10734144572487711,53385.4547006153,103562.6486657625,54,3,13,-0.03325970452722097,1584,3.325970452722097,3.364812681095165,72.58124864415493,0.06259439865749697,0.0009930040000000005,False,0.988252900499535,1.9399038417213084,12,15.08648217968397,1.8256783834510757,0.9130116175829424,24241.2324550632,17,0.5017719396514734,50.17719396514734,24241.331114819404,160,0.30947775628626695,2.166344294003869,0.014388380983066421,0.0,0.6625,106,-0.020037913616906433,-1443.1363717063632,-0.9991837795875225,1.5,0.025,152,True,False,False,False,0.0,-0.009074609593298614,1.4408076440216278,8,-1093.4236555041236,-0.8937426699598884,482.0690604389844,0.36824736517421525,0.004875235018175168,1157.2802244146021,0.9091002373745454,0.09783849054336535,7802.837814549828,5.4245068096093965,0.0,0.49766665386997033,49.76666538699703,16.770635886597557,-3.475178644268055e-05,482.06906043898437,0.36824736517421525,0.10726085905391249,52484.33546419794,129615.38513443543,48,3,13,-0.02967488276742603,1305,2.967488276742603,2.9973352720891446,18.846790882585914,0.014926166002887886,0.00019732048000000344,False,1.058400573820618,2.469601338914775,13,25.992031805060325,2.3210972330726483,1.47523679704972,29244.101616747852,17,0.7713104967023738,77.13104967023739,5848.824812307846,160,0.30947775628626695,2.166344294003869,0.012596304163999195,0.0,0.7,112,-0.018867192468691063,-1689.630295693345,-0.9992151568624945,0.05,0.003,75,1.25,0,6.1136762233868565,0.5578880107058484,3.387579966427017,0.659805729030328,9,3,378.4901423862324,152,11
True,True,1.0,3.0,20,2.5,1.25,274.550296256461,20,8,80,True,range_bb_reversion,120,8,True,1.5,0.67,0.025,61.26139199522886,34.46482308411061,12,0.0025,0.0,-0.011204904318771743,1.542119837803478,8,-794.5231863542039,-0.5805251102028781,498.5427361667329,0.36002621458836304,0.006307055946535784,1751.2003486088904,1.2711853104798778,0.14209713690610815,9762.519586767497,9.364774667038338,0.0,0.5983837332764437,59.83837332764437,12.911868883536906,-4.376100069643036e-05,498.5427361667329,0.36002621458836304,0.12184704649850915,73890.65633094095,168115.2334664534,93,5,10,-0.04634369653795078,1321,4.634369653795078,4.726692776285538,62.61288316598274,0.03601054345590372,0.00043675714855025756,False,2.204089671246162,2.275189338060554,13,20.331692155448188,2.497466494852161,1.360747765919985,33308.44987312532,17,0.9422457713551252,94.22457713551252,33308.610714761155,189,0.3655705996131528,2.5589941972920696,0.01584409335534391,0.0,0.5079365079365079,96,-0.023314920030506725,-1703.8540554565639,-0.9626154040974428,1.0,0.04,1280,False,False,False,True,0.0,-0.009148486399504895,1.3936153229166033,8,-937.693567418792,-0.5949566847424284,811.2903631269096,0.5058730940184881,0.00782048229827606,2271.607043000019,1.4250125209450788,0.17879616828027678,13676.716809386058,10.152260430400332,0.0,0.9284176517251397,92.84176517251397,21.185350158430964,-4.1381953314068734e-05,811.2903631269094,0.5058730940184881,0.12184704649850915,80641.64679801611,233975.52542900204,86,4,10,-0.04382356887104199,1097,4.382356887104199,4.462640283133338,199.35821009050295,0.1242493664648987,0.00204033914630248,False,2.422547324552004,2.901422958475076,13,34.988907243541874,3.0976855383852224,1.7973742435493345,42938.12336091687,17,1.5333387863098573,153.33387863098574,8587.632866567643,189,0.3655705996131528,2.5589941972920696,0.01369390249789754,0.0,0.544973544973545,103,-0.017450338057778847,-2311.141261316925,-0.9949407205646397,0.2,0.002,20,1.25,0,3.820366085233662,0.4441744084618509,3.1153908558411683,0.556426298032317,11,8,361.1388272497065,360,11
True,False,4.0,1.3,20,2.0,0.5,260.57404951254966,55,30,150,True,trend_state_tp,36,8,True,0.6,0.67,0.008,68.56474294554873,23.81604929490511,6,0.0005,0.0,-0.003252361689355544,0.44365210563586516,8,-276.6239376478738,-0.25055920091951434,85.0045379148142,0.07804436198590037,0.0036175371931660818,221.14702283253206,0.20175393860911534,0.033030536115864484,2005.6163747929145,1.9190634623175435,0.0,0.13674035723221478,13.674035723221479,9.816821350907416,-1.3103275746730601e-05,85.00453791481422,0.07804436198590037,0.15246998146506568,17703.932009463926,37594.993881530434,64,4,12,-0.013929188720499149,1509,1.3929188720499148,1.4006226122883607,30.353366828655048,0.02598713658443264,0.0009930040000000724,False,0.7994500574062371,2.123539214985316,12,14.280129497271737,2.5852886705229223,2.1912923866341707,10967.308902906216,17,0.19891061872066465,19.891061872066466,10967.35072862715,234,0.4526112185686654,3.1682785299806575,0.004601233363156497,0.0,0.7264957264957265,170,-0.00562489677865019,-365.4662356538515,-0.3132145898901638,1.0,0.015,1396,True,False,False,True,0.0,-0.002331147573401985,0.33048313446394867,8,-264.5914757818405,-0.23276666968314572,116.27847015804899,0.10344047933522131,0.004631793219908273,253.56879950847429,0.22463142839998154,0.03727852361864392,2174.3065994243093,2.036030355741038,0.0,0.18533230565982262,18.53323056598226,13.858952924167308,-1.179432291627578e-05,116.27847015804903,0.10344047933522131,0.15263115480699493,16404.671498474105,43613.83351545759,62,4,12,-0.013372749490810323,1346,1.3372749490810323,1.3444588987782815,9.211077781306045,0.008508429909948162,0.0003844994555266527,False,0.958340773296663,2.6586227904359054,13,20.346722291987525,3.19968836830634,2.6657095715046815,11722.59846211689,17,0.27209162016983524,27.209162016983523,2344.521343474395,234,0.4526112185686654,3.1682785299806575,0.0035244165913866335,0.0,0.7350427350427351,172,-0.005299754737540963,-376.1551558470783,-0.30315520635032145,0.05,0.003,150,0.0,0,0.97521464069446,0.18605572475586699,4.798417528184611,0.7503683795245005,11,7,364.08190829326503,267,11
True,False,1.5,12.0,40,2.0,0.75,250.18519894314957,55,14,100,True,trend_reclaim,24,8,True,1.5,0.33,0.005,60.92716935978532,44.65408377588446,36,0.0005,0.0,-0.006080778336830947,0.8423229641853108,8,-599.4556616348156,-0.534395948791442,228.74097051147288,0.2161767637300829,0.00566743662602469,755.7751909682017,0.6938139444255986,0.05735706188441725,4586.404617108003,4.076264697301062,0.0,0.11372299573833478,11.372299573833477,3.7300330552970515,-1.2102140542025531e-05,228.74097051147285,0.2161767637300829,0.046417922475622535,16784.758525774832,33254.10840260089,28,4,5,-0.030488468614731385,2065,3.0488468614731383,3.0844248775283916,53.681757598457054,0.049106082066817075,0.000993004000000028,False,1.2607691266224375,1.9812086275495455,8,5.401829158735895,1.3507685100961824,0.5615086813984128,6447.933228437863,17,0.16469349876826017,16.469349876826016,6447.962593683229,72,0.13926499032882012,0.9748549323017408,0.008646243767446323,0.0,0.6111111111111112,44,-0.016937593528520756,-816.7173385052844,-0.6897844559646851,1.0,0.04,3705,True,False,False,True,0.0,-0.0054263279910284345,0.8274589915088312,8,-638.3898279207577,-0.5486558902494539,316.93525072560556,0.2909084307499778,0.00703911636513314,856.9015995257241,0.7654447860974826,0.06822353927255409,5242.565507645416,4.4814937374468276,0.0,0.1562856811426876,15.62856811426876,5.271861416201914,-1.1539437911734226e-05,316.93525072560567,0.2909084307499778,0.046417922475622535,16598.135525939702,39417.47357818331,26,4,5,-0.029645255973986283,2065,2.9645255973986284,2.9967766335287607,59.64475865629221,0.055245067863492946,0.001641251857202603,False,1.3422857978747271,2.3748133347014404,8,7.6974670322521686,1.6398483107483768,0.7711531023726328,7130.990946341597,17,0.22819338052243607,22.819338052243605,1426.1994443292933,72,0.13926499032882012,0.9748549323017408,0.007816908547690458,0.0,0.6388888888888888,46,-0.016242158666849527,-880.2239151288231,-0.7097863793615552,0.08,0.0,50,0.25,0,4.360892965437495,0.33801377130785576,4.0547389592531085,0.5916020045414678,8,19,326.1700693558413,146,11
