allow_long,allow_short,atr_stop_mult,atr_tp_mult,bb_lookback,bb_std,break_even_atr,deploy_score,donchian_lookback,ema_fast,ema_slow,exit_on_flat_signal,family,max_holding_bars,min_holding_bars,pullback_depth,rsi_high,rsi_low,slope_bars,slope_min,stress_alpha,stress_avg_drawdown,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_pnl,stress_avg_r_multiple,stress_avg_trade_return,stress_avg_win,stress_avg_win_r,stress_best_month,stress_best_trade,stress_best_trade_r,stress_beta,stress_cagr,stress_cagr_pct,stress_calmar_ratio,stress_cvar_95,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_gross_loss,stress_gross_profit,stress_losing_trades,stress_max_consecutive_losses,stress_max_consecutive_wins,stress_max_drawdown,stress_max_drawdown_duration,stress_max_drawdown_pct,stress_max_drawdown_r,stress_median_pnl,stress_median_r_multiple,stress_median_trade_return,stress_pass,stress_payoff_ratio,stress_profit_factor,stress_profitable_months,stress_recovery_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_months,stress_total_return,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_trades_per_week,stress_ulcer_index,stress_var_95,stress_win_rate,stress_winning_trades,stress_worst_month,stress_worst_trade,stress_worst_trade_r,trail_atr_mult,trend_strength_max,trial,use_break_even,use_mid_target,use_trailing_stop,validation_alpha,validation_avg_drawdown,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_pnl,validation_avg_r_multiple,validation_avg_trade_return,validation_avg_win,validation_avg_win_r,validation_best_month,validation_best_trade,validation_best_trade_r,validation_beta,validation_cagr,validation_cagr_pct,validation_calmar_ratio,validation_cvar_95,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_gross_loss,validation_gross_profit,validation_losing_trades,validation_max_consecutive_losses,validation_max_consecutive_wins,validation_max_drawdown,validation_max_drawdown_duration,validation_max_drawdown_pct,validation_max_drawdown_r,validation_median_pnl,validation_median_r_multiple,validation_median_trade_return,validation_pass,validation_payoff_ratio,validation_profit_factor,validation_profitable_months,validation_recovery_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_months,validation_total_return,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_trades_per_week,validation_ulcer_index,validation_var_95,validation_win_rate,validation_winning_trades,validation_worst_month,validation_worst_trade,validation_worst_trade_r,volatility_max,volatility_min,volume_lookback,volume_min,wf_gate_windows,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_win_rate,wf_positive_exp,wf_rank,wf_score,wf_total_trades,wf_windows
True,True,2.0,6.0,20,1.5,1.5,-50.46632433158202,40,50,150,True,trend_state_tp,14,8,0.012,63.25889393131009,31.442864036194006,36,0.01,0.0,-0.14944729288772005,14.984468090215367,8,-367.8612059789659,-0.42609245917714533,-111.40192383431811,-0.1282031411702077,-0.0039024142311582803,376.49622268476793,0.4385131223551858,0.01078182796667937,1892.5622749684633,2.1909717309863392,0.0,-0.19558955406214407,-19.558955406214405,-0.7376935879696558,-5.392700278406183e-05,-111.40192383431813,-0.1282031411702077,0.15440406156821662,57386.3481327187,30872.690260150976,156,11,4,-0.2651365787256774,12366,26.51365787256774,30.512347598509432,-272.69733210694534,-0.3036864984055705,-0.009250784385775904,False,1.0234735725470756,0.5379796983901295,3,1.0,-2.7737046878247282,-1.4135464166757132,14805.778048821645,17,-0.2651365787256774,-26.51365787256774,73962.51076114054,238,0.46034816247582205,3.2224371373307545,0.16317717984918498,0.0,0.3445378151260504,82,-0.04668266476026206,-536.0420649353183,-0.555543992365749,1.0,0.04,641,True,False,True,0.0,-0.022779140710647863,2.0805421399651753,8,-389.45502353479475,-0.3711754427359519,41.65002324308508,0.04169830391355247,0.0006550453704334172,642.5843308728571,0.6172192840916494,0.04558219002780195,2770.5251876479983,2.6738350823122543,0.0,0.06876745047875521,6.876745047875521,1.1855388502092088,-4.1613625069105053e-05,41.650023243085116,0.04169830391355247,0.15416230155532276,53744.79324780168,63615.848756412866,138,11,5,-0.058005227299484964,3164,5.800522729948496,5.938459007386589,-115.34570041081042,-0.11371057513174838,-0.0029595909955717464,False,1.6499577410520865,1.1836653359721492,9,1.7017527502558039,0.710065838019517,0.32806365055688425,23118.993844837372,17,0.09871055508611157,9.871055508611157,46238.184027769945,237,0.4584139264990329,3.2088974854932304,0.02675574157027103,0.0,0.4177215189873418,99,-0.020759178504121456,-636.9915634412843,-0.5801137189645843,0.2,0.003,50,1.25,0,3.9662221254263805,0.15394632197839123,1.9127831875489811,0.46418152256602896,10,1,196.57818871934356,458,11
True,True,1.5,2.2,40,2.5,1.25,-133.0590191803264,20,30,400,True,trend_reclaim,120,8,0.0,76.1786139300818,38.74192766682762,12,0.001,0.0,-0.1566777445849704,17.05592325759218,8,-452.6913374214906,-0.5319788054514574,-222.4504814011909,-0.2622129672322194,-0.0055582410990236185,332.48901772465945,0.3879918736038929,0.011408443220202846,2270.54895156506,2.4641743885540843,0.0,-0.21949702398321025,-21.949702398321026,-0.7418970520486834,-4.042849681658741e-05,-222.45048140119098,-0.2622129672322194,0.08574421790635829,42552.98571762008,12967.07169126172,94,10,3,-0.2958591402635831,12239,29.585914026358314,34.874324641885174,-438.2065329579114,-0.49920298187154677,-0.009667210461607349,False,0.7344717917919568,0.30472765829666315,1,1.0,-3.8215079142490254,-1.5788767440546516,10725.906523685568,17,-0.2958591402635831,-29.585914026358314,53591.87536889201,133,0.2572533849129594,1.8007736943907158,0.17546232553524235,0.0,0.2932330827067669,39,-0.0392052066214712,-618.5154238286331,-0.6288290220170327,1.0,0.01,541,True,True,True,0.0,-0.049237170157001374,5.25213221993628,8,-491.06784214215895,-0.5072899707132895,-66.43776011932094,-0.06727537358267632,-0.0010495942934483449,535.764901658522,0.556745327802557,0.026108880661270595,3984.1716426744106,4.131739858996399,0.0,-0.06326816270707192,-6.326816270707192,-0.553729093993839,-3.2008436542928267e-05,-66.43776011932098,-0.06727537358267632,0.08574421790635829,38303.29168708841,29467.06959121871,78,10,5,-0.1142583320857182,10263,11.42583320857182,11.94347975860979,-269.96725705301395,-0.28440671725378125,-0.003938385995668103,False,1.0910201313964756,0.7693090670103352,6,0.7733547247338314,-0.7898553901248452,-0.3210301455278422,17143.853593288808,17,-0.0883622209586973,-8.83622209586973,34294.75733987613,133,0.2572533849129594,1.8007736943907158,0.05819267626226675,0.0,0.41353383458646614,55,-0.029095756456446575,-679.1243104690275,-0.6671341778453759,0.03,0.0,50,0.75,0,6.871496535298852,0.03372400906458984,1.2690197605105566,0.42517035042750795,7,2,76.36283627311116,203,11
True,True,2.5,1.3,20,1.5,0.75,-52.95549964553187,16,80,400,True,channel_reclaim,24,8,0.0,71.35073569712314,41.44295870705321,6,0.0,0.0,-0.11618625204168308,12.990153978853682,8,-367.90088133799424,-0.4161784953529052,-131.82640623839495,-0.1494545053475026,-0.004112965730746138,223.94780271452237,0.2525098176183858,0.008347689288831006,1503.5635336961168,1.539941536850643,0.0,-0.17215485196895997,-17.215485196895997,-0.7269223086779022,-3.60955653746948e-05,-131.82640623839492,-0.1494545053475026,0.11475541945362237,39365.394303165376,15900.293992731089,107,6,3,-0.23682703077591397,12050,23.6827030775914,26.88783820613656,-291.9172776839925,-0.32805762817121836,-0.00907615857604944,False,0.6087177663180949,0.4039155271830351,3,0.9908117427962455,-3.5216964033705227,-1.4532629634031207,11337.241793067378,17,-0.2346510031043434,-23.465100310434337,56694.317735176744,178,0.344294003868472,2.410058027079304,0.13740213857118364,0.0,0.398876404494382,71,-0.03729637264781771,-498.0191758678858,-0.5179549114281494,1.0,0.015,701,True,False,True,0.0,-0.02832148290045065,3.0927314917546282,8,-380.0631602795727,-0.3804304676876458,-17.965763757238868,-0.017257940506532565,-0.00041266085224745357,298.3930142570107,0.3000401621885453,0.02885780913117486,2555.733121003497,2.5538649707345593,0.0,-0.02270007802077867,-2.270007802077867,-0.30812286398789057,-2.564422059455422e-05,-17.965763757238875,-0.017257940506532565,0.11475541945362237,31545.24230320454,28347.336354416017,83,4,5,-0.07367216352263556,10634,7.367216352263556,7.531712312163128,72.09637796006105,0.07178268844467961,0.001987999999999891,False,0.7851142795253141,0.8986247777699377,7,0.4340724903247796,-0.358391336994846,-0.1368922888488799,16444.185945468074,17,-0.031979059487884806,-3.1979059487884807,32896.7889419554,178,0.344294003868472,2.410058027079304,0.03441687329081414,0.0,0.5337078651685393,95,-0.02553328215537287,-510.93193745916625,-0.5287724669748515,0.03,0.001,75,1.0,0,7.410708144946833,-0.002373621078488689,1.2091427981848906,0.5362922232744765,6,3,75.35871314898739,245,11
True,False,1.0,4.0,55,2.5,0.75,-191.13968220643937,40,50,150,True,trend_state_tp,18,6,0.0,72.21763182584138,43.37612142119852,3,0.001,0.0,-0.23040330250788008,26.890624358409106,6,-524.4540013238606,-0.6635559611350009,-199.78403973413683,-0.26008621633876255,-0.004817168370829004,324.3819223504773,0.3912986728503453,0.0,1444.1854652047343,1.4392977306479766,0.0,-0.33069547197260485,-33.06954719726048,-0.7427151712138417,-7.214320388810545e-05,-199.78403973413685,-0.26008621633876255,0.10605205898944314,70276.83617739732,26923.699555089617,134,10,4,-0.4452520761520723,11780,44.52520761520723,58.54439306458478,-416.422882479702,-0.572808679723033,-0.010119416852613434,False,0.6185135808510405,0.38310915828833103,0,0.9736762374466895,-4.447411160405979,-3.280758460380157,18806.52259689541,17,-0.43353136622307664,-43.353136622307666,93911.6140393493,217,0.4197292069632495,2.9381044487427466,0.26790767076104754,0.0,0.3824884792626728,83,-0.07312639251977193,-780.6145266208555,-0.8009904258137175,1.0,0.04,214,True,False,True,0.0,-0.0875086043047262,9.330620089660968,6,-673.1004213376697,-0.66665637941324,-51.19394354735288,-0.051332478492642185,-0.0006925234580416124,559.5070121206157,0.5529045052942512,0.05021954855647204,2655.2981679808054,2.9499977551573817,0.0,-0.08095198021042405,-8.095198021042405,-0.3940082484329662,-5.869700640881978e-05,-51.193943547353,-0.051332478492642185,0.10726085905391249,73367.945925806,62105.278345388346,109,7,5,-0.2054575774298711,10691,20.54575774298711,22.697124614590617,115.74011151008918,0.11538567360129888,0.001987999999999823,False,0.831238540912949,0.8464906242324526,3,0.5481748456934818,-0.7130558445740364,-0.3497863786168795,35944.38717378853,17,-0.1126266758041762,-11.26266758041762,71938.5242677394,220,0.425531914893617,2.978723404255319,0.10981354474009122,0.0,0.5045454545454545,111,-0.055652960101995386,-970.5428979782199,-0.8951201578390184,0.03,0.002,20,0.75,0,6.896520825676506,0.007169085817694329,1.117153278216379,0.5489599767850541,6,4,73.33859292226647,248,11
True,True,5.0,3.0,30,1.8,0.5,-41.20915853401449,12,14,150,True,range_bb_reversion,48,6,0.0,64.17110168769742,24.456425498089622,48,0.0025,0.0,-0.0758459678995649,8.033091906334425,6,-266.24442151429264,-0.28830940144854245,-106.7761227609238,-0.11546305216833365,-0.004322289306183354,138.12162175317832,0.14997955565484414,0.0,449.05963780207253,0.48808018358532224,0.0,-0.10967242213024075,-10.967242213024075,-0.723327445262731,-2.007335534696779e-05,-106.77612276092384,-0.11546305216833365,0.06865984366185833,22897.02025022916,7734.810818177986,86,10,5,-0.15162209432051196,12384,15.162209432051196,16.39575340790337,-213.5630359433352,-0.231095639362527,-0.009223316334530373,False,0.5187775239293178,0.33780862023304425,0,1.0,-3.7341209387871377,-1.2717897987316005,6623.22673941405,17,-0.15162209432051196,-15.162209432051196,33143.76587789322,142,0.2746615087040619,1.9226305609284333,0.08772638854541726,0.0,0.39436619718309857,56,-0.026265841378151578,-421.64055431888795,-0.4392511012958037,1.0,0.01,612,True,False,True,0.0,-0.016338390318466556,1.6219670235165844,6,-249.34945504782624,-0.25146679397011446,-12.19873348136868,-0.012059564550962642,-0.00029128333155671094,124.82168342369566,0.1262646124467695,0.006556106122472816,803.0045428411171,0.8139017030409423,0.0,-0.012269129287650449,-1.2269129287650449,-0.3197744572111151,-1.0615581495734638e-05,-12.198733481368677,-0.012059564550962642,0.06865984366185833,12966.171662486962,11233.95150813261,52,4,11,-0.038368071654798774,8211,3.836807165479877,3.9040551238442966,48.08861292367686,0.04880503327301962,0.0019880000000000253,False,0.5005893572125688,0.8664046567140616,9,0.4514743847278164,-0.4520872886260262,-0.16157507022187334,8544.40600443008,17,-0.01732220154354305,-1.732220154354305,17090.36773832256,142,0.2746615087040619,1.9226305609284333,0.019251998471946377,0.0,0.6338028169014085,90,-0.012385288312263043,-413.2099382427075,-0.4097933702881084,0.04,0.0,75,0.0,0,3.6743718792603524,-0.024195033910681642,1.5604232729016232,0.6005243122890181,4,5,65.38068569955767,223,11
True,True,5.0,2.2,55,1.8,0.5,-11.066621528978011,16,30,200,True,trend_bb_reversion,72,8,0.018,66.6586581956323,36.59225900938931,24,0.0025,0.0,-0.06026815730754575,6.5260491285372755,8,-345.14395528878873,-0.3660365003114091,-125.64800982636366,-0.13347124836459057,-0.005392237013413216,112.93453958931578,0.11931706896890777,0.006891047107770776,321.3732957034306,0.35279632612483747,0.0,-0.08680996982026867,-8.680996982026867,-0.7019234246524515,-1.4804906176646564e-05,-125.64800982636362,-0.13347124836459057,0.062051736642759286,17257.197764439436,5194.988821108525,50,7,5,-0.12367441628444233,11657,12.367441628444233,13.161100459113042,-112.4801154020065,-0.11829991948158691,-0.006118173279811974,False,0.3272099593771568,0.3010331626269842,2,0.9753196583187107,-3.137245327871613,-0.7108813834937985,3949.240066524795,17,-0.12062208943330828,-12.062208943330829,19713.31502911648,96,0.18568665377176016,1.2998065764023212,0.07236443654518164,0.0,0.4791666666666667,46,-0.021442198423215708,-480.74837384108343,-0.48748626691013774,2.0,0.006,673,True,False,True,0.0,-0.030616799421406812,3.3218182405638004,8,-331.58049931375695,-0.33974739628002476,-48.73315672769783,-0.049628746936751365,-0.001237289920581399,92.69051456533174,0.09543057773488531,0.007524238500009384,458.0895951644324,0.48150935538435236,0.0,-0.03328346438445284,-3.3283464384452843,-0.601825074166953,-8.807450324822398e-06,-48.73315672769784,-0.049628746936751365,0.06213232331372391,10610.575978040222,5932.192932181229,32,6,9,-0.055304216811710376,9936,5.530421681171037,5.6730794460051674,40.99329747907239,0.0421965868432759,0.0019879999999999854,False,0.27954151331928495,0.5590830266385697,5,0.845936045308636,-1.4329383745321203,-0.2229879397767581,4773.735282685345,17,-0.04678383045858966,-4.678383045858966,9545.436941082145,96,0.18568665377176016,1.2998065764023212,0.03746559025315773,0.0,0.6666666666666666,64,-0.016377257253333277,-476.11730761570925,-0.47566513726819326,1.0,0.0,10,0.5,0,2.2596176258599514,-0.007862975399551718,0.9440489352774364,0.7075461034082653,5,6,64.68447954014323,221,11
True,False,4.0,6.0,55,2.5,0.75,5.139119245180087,16,10,300,False,trend_reclaim,48,1,0.0025,59.445921506075045,34.64008387158986,24,0.0,0.0,-0.08833873097584441,9.232096870846558,16,-716.5954927796281,-0.7726787482160228,-199.18187292877755,-0.21313721695577778,-0.008817324947543273,106.56253880127034,0.11750096060709427,0.005265136298481243,171.7889998900276,0.1872920314910932,0.0,-0.1006500082033609,-10.06500082033609,-0.7178835521666931,-1.62485016609646e-05,-199.18187292877764,-0.21313721695577778,0.09283584495124507,18631.482812270326,4688.751707255895,26,3,6,-0.14020380868120222,12350,14.020380868120222,15.009917011834283,85.57157094573176,0.09583271677778321,0.0049399999999999306,False,0.14870668302408804,0.251657463579226,5,0.9944616509468518,-2.3841749167405686,-0.2728133532709651,3070.522761929029,17,-0.13942731105014491,-13.942731105014492,15298.363421806525,70,0.13539651837524178,0.9477756286266924,0.09591943987082875,0.0,0.6285714285714286,44,-0.02700328627810089,-1000.0,-1.0000000000000002,3.0,0.08,678,True,False,False,0.0,-0.07010791003020811,7.130057022748636,12,-774.8427359309246,-0.818834037609567,-142.73377780999013,-0.1494050687277711,-0.005366425511976221,71.94473626881783,0.07794816598680103,0.0155953245571816,1067.0149228922908,1.167298345612022,0.0,-0.07270959667798527,-7.270959667798527,-0.7028606844652777,-1.1929593425311378e-05,-142.7337778099901,-0.1494050687277711,0.07341445724877105,13947.16924675664,3813.0710222473444,18,3,15,-0.10344809189790045,12350,10.344809189790045,10.842580425513344,46.496291929811235,0.05006344695259154,0.0019879999999999646,False,0.09285075917035059,0.2733939020015878,6,0.9796312371340091,-1.8876658365012213,-0.20516737620875966,3746.9440789879036,17,-0.10134098224509289,-10.13409822450929,7481.118225541101,71,0.13733075435203096,0.9613152804642167,0.07348643042329984,0.0,0.7464788732394366,53,-0.02284968800567788,-999.9999999999999,-1.0000000000000002,0.2,0.003,150,0.75,0,6.852209902873149,-0.06623791470053786,2.0520305397307568,0.7720125329216239,6,7,64.32328892959534,127,11
True,True,5.0,2.2,14,1.8,1.5,-155.31248563773588,10,14,400,True,channel_reclaim,18,8,0.012,77.11453932033663,26.4045793553316,12,0.0005,0.0,-0.18241482145083174,20.36423804736016,8,-210.58454404306792,-0.2558893011155825,-108.40037217378165,-0.1320584019117447,-0.005781228953884419,152.86597635564354,0.18455469264352234,-0.003492500856452252,1019.5467924864513,1.0759785127359869,0.0,-0.253826411904181,-25.3826411904181,-0.7481035227339343,-4.673302983036201e-05,-108.40037217378165,-0.1320584019117447,0.20178902409541463,47381.52240969031,13452.20591929664,225,14,4,-0.339293164903937,12361,33.9293164903937,41.33427979837606,-185.05758405128384,-0.2410509342807988,-0.0095836499844509,False,0.725912611727003,0.2839124881421168,0,1.0,-6.166884296681833,-3.014407711899744,11744.35260480295,17,-0.339293164903937,-33.9293164903937,58696.29309098815,313,0.6054158607350096,4.237911025145068,0.20644350798763633,0.0,0.28115015974440893,88,-0.04097156348645048,-382.1763489301835,-0.43337049865103744,1.0,0.01,211,True,False,True,0.0,-0.05147527022626123,5.293543301800485,8,-187.89041833839127,-0.1953665062974726,-28.366893042161156,-0.02935661704790914,-0.0010392160813714585,221.37895393800233,0.23054411120345655,0.006750709551283318,1576.5069294956545,1.592847652376241,0.0,-0.06357754060568166,-6.3577540605681655,-0.6028174873354508,-3.0371970293681662e-05,-28.36689304216118,-0.02935661704790914,0.20178902409541463,35887.069902632735,27008.232380436293,191,14,5,-0.10546731297843481,10847,10.54673129784348,11.064842294885969,-95.26226695169413,-0.10105266531164639,-0.0035561702489533657,False,1.178234397984564,0.7525895107545385,5,0.8418568058154653,-1.3700373763742588,-0.6819235016928632,16209.597297259383,17,-0.0887883752219651,-8.87883752219651,32425.289624536836,313,0.6054158607350096,4.237911025145068,0.05872217617841348,0.0,0.38977635782747605,122,-0.024649535401739975,-344.6031707148582,-0.35469777910643563,1.0,0.002,20,1.0,0,8.221983708114957,0.001249649088832493,1.0994987322670633,0.39448841018191394,7,8,62.619699490677256,619,11
True,False,2.5,6.0,30,1.8,0.75,-22.780862814536434,16,14,300,True,trend_bb_reversion,24,8,0.012,61.57305041154992,27.07661045425989,3,0.0,0.0,-0.059292475505268366,8.211351813821175,8,-545.7882488467169,-0.5675306932709069,-148.11930700160167,-0.15505484935890002,-0.003915006377646352,296.33421623705647,0.30594756442510773,0.012653500832813691,2313.290813602919,2.3245348727055504,0.0,-0.07658017889954039,-7.6580178899540385,-0.5729514907721531,-1.7428613499510596e-05,-148.1193070016017,-0.15505484935890002,0.046417922475622535,20739.95345617524,10075.36335205992,38,8,6,-0.13365909703164416,10206,13.365909703164416,14.274428878962507,-189.3299165456571,-0.20793976972552936,-0.0060348693319731105,False,0.5429472269936708,0.4857948873101265,5,0.7978948190552586,-1.6367052149699723,-0.32069780789306296,5198.964018052243,17,-0.10664590104115297,-10.664590104115296,25968.004519291437,72,0.13926499032882012,0.9748549323017408,0.0731780894967262,0.0,0.4722222222222222,34,-0.0390046231816652,-814.6727234145054,-0.8437652790297926,2.5,0.08,248,True,False,True,0.0,-0.025729076644947283,3.5141099247601795,8,-526.9913231359965,-0.5146633086482221,23.085021568929818,0.02487091899643539,0.00043495294665960856,315.6788219438906,0.31185721029678515,0.028067018311559,3638.7944421555653,3.6207151526843617,0.0,0.011714110566164448,1.1714110566164448,0.17198464606011954,-1.040901441323966e-05,23.085021568929847,0.02487091899643539,0.046417922475622535,13174.783078399914,14836.904631362864,25,4,13,-0.06811137409364801,10016,6.811137409364801,7.023843229565181,87.80273271537622,0.0849565478475552,0.001987999999999978,False,0.5990209099940453,1.1261593107888055,6,0.24402995462660768,0.23308928637010937,0.04031071413457598,7240.362558339539,17,0.016621215529628825,1.6621215529628826,14498.623689332904,72,0.13926499032882012,0.9748549323017408,0.03179671358328518,0.0,0.6527777777777778,47,-0.022783530406497943,-931.7594104776003,-0.91376459243172,0.04,0.0005,20,0.5,0,2.9264593555301928,-0.04974332697355563,1.076174600178198,0.5586859578486373,4,9,47.60936328143996,128,11
True,False,3.0,8.0,14,1.8,0.75,-338.0572403473341,30,20,150,True,trend_state_tp,36,8,0.025,69.96263473977432,24.520007827747968,36,0.0005,0.0,-0.26247262378732,33.61261326134468,8,-251.43983931232933,-0.34353696815626333,-156.92045462341318,-0.22155603820785377,-0.006569830684954709,283.63599943509445,0.34699914375507235,0.0,1682.2571245628803,1.8224227300452105,0.0,-0.4082174383210607,-40.82174383210607,-0.7721515864358964,-7.650228054334156e-05,-156.92045462341315,-0.22155603820785377,0.2214521718107825,69145.95581089056,16734.523966670567,275,23,4,-0.5286752568952349,12358,52.86752568952349,74.96740167925513,-225.11264115289498,-0.3512578191996535,-0.00991009117097913,False,1.1280471710880002,0.2420173930697891,0,0.9913728921610213,-7.222441276159104,-3.6114985463121205,16683.55878718703,17,-0.5241143184421999,-52.41143184421999,83240.34238238231,334,0.6460348162475822,4.522243713733076,0.3025262769712218,0.0,0.17664670658682635,59,-0.09210982798020251,-526.5462036189151,-0.5332423925009854,1.0,0.01,706,False,True,True,0.0,-0.07661011383932854,8.769116691818958,8,-260.08377266047273,-0.27020042901340613,-50.94603267751382,-0.05487781439187347,-0.0012867577628248002,448.423672996082,0.4592598572554596,0.027401688868098573,2695.6713394380417,2.715294764452898,0.0,-0.12270075555350879,-12.270075555350878,-0.5805418382125938,-5.136222614877099e-05,-50.94603267751381,-0.05487781439187347,0.22298331855911033,60859.60280255061,43945.51995361604,234,19,4,-0.2113555776294902,10052,21.13555776294902,23.558176325719806,-159.98187778611015,-0.16797860492994987,-0.00413741569838936,False,1.7241509087976752,0.7220802951374882,5,0.800266689842714,-1.6115346069492926,-0.8223564716223514,27524.506973647374,17,-0.1691408284893469,-16.91408284893469,55070.49751923079,332,0.6421663442940039,4.4951644100580275,0.09733923632115145,0.0,0.29518072289156627,98,-0.046521282957722176,-478.95926689191947,-0.5019540803781976,1.0,0.0005,50,0.25,0,7.792838465485665,-0.005130502101709033,1.0799957058243117,0.3377466580436152,5,10,40.189460066610785,498,11
