trial,train_score,donchian_lookback,volume_lookback,volume_mult,atr_stop_mult,atr_tp_mult,min_holding_bars,max_holding_bars,trend_sma_period,volatility_min,volatility_max,use_trend_filter,allow_long,allow_short,train_total_trades,train_win_rate,train_profit_factor,train_sharpe_ratio,train_sortino_ratio,train_calmar_ratio,train_total_return_pct,train_max_drawdown_pct,train_max_drawdown_r,train_avg_drawdown_r,train_expectancy,train_expectancy_r,train_avg_win,train_avg_loss,train_avg_win_r,train_avg_loss_r,train_avg_r_multiple,train_payoff_ratio,train_trades_per_day,train_avg_holding_bars,train_max_consecutive_losses,train_exposure_pct,train_total_fees,train_total_slippage,train_rank,validation_total_trades,validation_win_rate,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_calmar_ratio,validation_total_return_pct,validation_max_drawdown_pct,validation_max_drawdown_r,validation_avg_drawdown_r,validation_expectancy,validation_expectancy_r,validation_avg_win,validation_avg_loss,validation_avg_win_r,validation_avg_loss_r,validation_avg_r_multiple,validation_payoff_ratio,validation_trades_per_day,validation_avg_holding_bars,validation_max_consecutive_losses,validation_exposure_pct,validation_total_fees,validation_total_slippage,stress_total_trades,stress_win_rate,stress_profit_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_calmar_ratio,stress_total_return_pct,stress_max_drawdown_pct,stress_max_drawdown_r,stress_avg_drawdown_r,stress_expectancy,stress_expectancy_r,stress_avg_win,stress_avg_loss,stress_avg_win_r,stress_avg_loss_r,stress_avg_r_multiple,stress_payoff_ratio,stress_trades_per_day,stress_avg_holding_bars,stress_max_consecutive_losses,stress_exposure_pct,stress_total_fees,stress_total_slippage,deploy_score
1069,-999949,16,20,0.8690116169630336,1.969241885657837,5.008250158537497,4,120,200,0.002,0.2,False,True,True,51,0.39215686274509803,1.4682930199416853,2.66304220962906,3.747922032630697,0.46977461843026364,15.094513298425838,7.641068084191424,7.797042082273563,3.3127868638825806,295.97084898874186,0.28790865390511916,2366.3782687018806,-1039.7758734068314,2.1483700193524835,-0.912389001222213,0.28790865390511916,2.275854180909612,0.03502747252747253,15,4,0.5353466026080989,1517.92590870282,1534.2087694794259,1,20,0.5,2.4769721861538687,5.648512412242189,5.303154686532019,4.330798009585955,12.413769900442407,1.9900000000000049,2.0,1.3392629041503368,620.6884950221205,0.5980816392770937,2081.864713294377,-840.487723250136,2.0002489921807216,-0.8040857136265341,0.5980816392770937,2.4769721861538683,0.03868471953578337,19,3,0.7567567567567568,542.0854492589111,549.7852348534043,20,0.5,2.3624424709827103,5.4208514339445015,5.032354694007758,4.006093403706785,11.468358691510904,1.9900000000000049,2.0000000000000004,1.3446016295947185,573.4179345755447,0.5550121235728329,1988.5858098468557,-841.7499406957662,1.918325241981708,-0.8083009948360423,0.5550121235728329,2.3624424709827103,0.03868471953578337,19,3,0.7567567567567568,526.1796107473438,1066.8977187794862,-1000000
189,-999950,20,30,0.5458215397398221,1.2439937429441041,9.463202549274856,2,24,50,0.002,0.2,False,True,True,50,0.38,2.0008184835647698,4.027456817959521,274691007402220.03,1.3339666629321416,43.03106813238567,7.041689044704541,6.900164395012418,3.4197328928891757,860.6213626477147,0.7507791980754714,4527.733939280434,-1386.9637649658875,3.6073136791459777,-1.0,0.7507791980754714,3.2644933152898874,0.034340659340659344,11,5,0.40837336993822926,2726.1259380652077,2770.535885231239,2,21,0.3333333333333333,1.5274051869874967,2.5505034180342565,10.015447701158717,1.3241715891879935,7.46483856500189,3.9403990000000064,4.0,2.1431185578315746,355.46850309532897,0.3676051454709153,3088.390760089501,-1010.9926254017568,3.040841107186111,-0.9690128353866825,0.3676051454709153,3.0548103739749934,0.04061895551257253,11,4,0.45366795366795365,874.4315417206827,887.6482773767982,21,0.3333333333333333,1.4365500560048754,2.2379973227396506,8.808716980026327,1.0930790326492505,6.15076103823664,3.9403990000000095,4.0,2.1779761991136954,292.8933827731736,0.3066795763439095,2891.4622708573943,-1006.3910612689366,2.861252876776479,-0.9706070738723752,0.3066795763439095,2.8731001120097512,0.04061895551257253,11,4,0.45366795366795365,834.9686526205887,1694.490429719275,-1000000
172,-999958,10,14,1.3513431320453233,3.013727036243352,1.652883950433487,4,168,200,0.0,0.2,False,True,True,42,0.6666666666666666,1.0044665844898004,0.07411160772603463,0.11077890878964394,0.0032721766682699232,0.06200266271363943,4.752275494791341,4.809135026036783,2.275193487359274,1.4762538741323397,0.003909535789432789,497.98039984772106,-991.5320380730449,0.49528473643590887,-0.9788408655035192,0.003909535789432789,0.5022332922449002,0.028846153846153848,12,2,0.3534660260809883,707.0847346665987,710.2374962331598,3,25,0.6,0.7787128996385454,-1.9761894984881263,-2.0790181605082982,-0.25636593616755576,-2.097346425151627,5.797709705835609,5.921231813359464,3.5861326165048095,-83.89385700606539,-0.08224701733650652,492.0397419185654,-947.7942553930116,0.48995589101244963,-0.9405513798599408,-0.08224701733650652,0.5191419330923637,0.048355899419729204,9,3,0.4691119691119691,470.6427069618465,470.59776621095557,25,0.6,0.7345511840010698,-2.423013660069692,-2.5642587703891806,-0.29939704992847427,-2.512234375426735,5.950153006908828,6.08392935007889,3.6916476293905,-100.48937501706854,-0.09930926847332727,463.45776755830167,-946.4100888801237,0.46233652334842407,-0.9417779562059545,-0.09930926847332727,0.4897007893340465,0.048355899419729204,9,3,0.4691119691119691,461.1418996430099,921.7534788869079,-1000000
973,-999962,10,20,1.4753610766024399,1.403063659165396,2.1081120815449883,6,48,300,0.0,0.2,False,True,True,38,0.5263157894736842,1.4435065250109305,2.3711186880749016,106436560437627.3,0.7014609623401346,8.56705872899384,2.9701,3.0,1.2382677360241963,225.4489139208901,0.22328569454752706,1394.1852574942006,-1073.1470233827881,1.3242428196403015,-1.0,0.22328569454752706,1.299155872509837,0.0260989010989011,11,3,0.2868908716540837,1420.8692310101499,1423.0485777849192,4,19,0.42105263157894735,0.9289208008727153,-0.4505627212282381,-29264047704366.027,-0.08017128016559956,-0.7700489404449327,6.793465209301,7.0,3.85175848663703,-40.52889160236532,-0.03427682119268005,1257.953253645195,-984.8795426915,1.2935925496673848,-1.0,-0.03427682119268005,1.2772661011999835,0.0367504835589942,9,7,0.3532818532818533,718.519944055948,727.3246415260058,19,0.42105263157894735,0.8623122286495501,-0.9972081904577107,-46426664815640.17,-0.1550666026879901,-1.4878410964245123,6.793465209300985,7.000000000000001,4.009883657607943,-78.30742612760639,-0.07296184299390567,1164.758096480392,-982.3550789334233,1.201715622889474,-1.0,-0.07296184299390567,1.1856793143931315,0.0367504835589942,9,7,0.3532818532818533,689.3668445807934,1395.233784249157,-1000000
784,-999967,30,75,1.414998246030879,0.9290457218901463,10.99653121986974,2,48,50,0.001,0.2,False,True,True,33,0.2727272727272727,2.3413429414978606,3.008804810348538,392282820434966.0,1.514625653548444,36.815618375071296,5.40130215402857,5.521303868001727,2.40613342482582,1115.6247992445842,1.0251302254004695,7140.272595686487,-1143.6181244211293,6.4254774931350545,-1.0,1.0251302254004695,6.243581177327627,0.022664835164835164,14,5,0.3369938229238161,1793.1364706648565,1819.8745012267905,5,14,0.2857142857142857,2.3410534213988172,3.2134286817185327,0.0,1.427575049217541,13.998999102345419,6.7934652093009955,7.0,3.2,999.9285073103853,1.012389931015897,6109.451760415448,-1043.8807939316398,6.04336475855564,-1.0,1.012389931015897,5.852633553497044,0.027079303675048357,11,7,0.3088803088803089,739.1073440336168,765.861563332633,14,0.2857142857142857,2.1844311565151573,3.0348359284863125,299208617270357.9,1.2563271183629043,12.29150663493709,6.793465209300999,7.0,3.2,877.964759638362,0.8954635958332301,5667.266920955425,-1037.756104888463,5.634122585416306,-1.0,0.8954635958332301,5.461077891287894,0.027079303675048357,11,7,0.3088803088803089,698.2351134561586,1446.3860308443204,-1000000
1028,-999967,16,14,1.015636472588648,1.92326559393867,10.346989355307466,5,72,100,0.002,0.2,True,True,True,33,0.30303030303030304,1.623944727017981,2.301142321008146,6.655639283935584,0.5067264640303429,15.680448930295096,7.34444044399797,7.564721310619273,3.5015667484219186,475.1651190998506,0.46915552350097367,4081.159957762344,-1092.6587237968859,3.771169743229077,-0.9665028329025496,0.46915552350097367,3.735072872141357,0.022664835164835164,25,8,0.5676046671242279,991.2199771619537,999.2470555309378,6,14,0.35714285714285715,2.0183827590833228,3.0444975278196846,3.085336176731023,0.9888577802680395,6.9136127047208,4.8906828517250736,4.9903024562454075,2.271212024654044,493.8294789086278,0.4989080563281874,2740.4856497666087,-754.3128382346952,2.731091794804927,-0.7411940206033346,0.4989080563281874,3.6330889663499804,0.027079303675048357,26,4,0.7181467181467182,382.1000308839357,394.628101333282,14,0.35714285714285715,1.9215876111762744,2.8786413459222775,2.898401486631443,0.8875731705578462,6.300141419254185,4.969559231001667,5.073236199538701,2.119893824530973,450.0101013752992,0.456462189902179,2627.2648531907753,-759.5758718555209,2.624398017923371,-0.7479466034429275,0.456462189902179,3.458857700117294,0.027079303675048357,26,4,0.7181467181467182,371.1273506562845,766.3520751216826,-1000000
1026,-999968,8,5,0.9117130300429377,1.6144559726648935,5.740993939318022,4,48,50,0.0005,0.2,True,True,False,32,0.4375,2.132374372559439,3.6091845807977245,185250466136732.22,0.7734693819354649,22.64754118786262,6.79346520930099,7.0,3.115509122830291,707.7356621207055,0.6598078296306638,3046.256331623451,-1111.1137474925408,2.7938464677272314,-1.0,0.6598078296306638,2.7416241932907064,0.02197802197802198,16,7,0.3514070006863418,1149.515775053472,1173.3378024110907,7,15,0.4,1.9377688288361459,3.598786457386322,6.715344123331761,1.1747712736838996,8.246033763375177,4.900995010000004,5.0,2.117228749684787,549.7355842250114,0.5482573095561979,2839.8802734127366,-977.0275419001389,2.7785362458569067,-0.9385953146442743,0.5482573095561979,2.90665324325422,0.029013539651837523,17,5,0.5135135135135135,510.73435034516854,519.5003947273666,15,0.4,1.84776569007765,3.3912895553232496,6.355328898350434,1.0623790097874788,7.44886368799991,4.900995009999988,5.0,2.1323296753615133,496.5909125333269,0.49754213056270535,2705.8881390310444,-976.2739051318181,2.6555334184595933,-0.9411187280352201,0.49754213056270535,2.7716485351164755,0.029013539651837523,17,5,0.5135135135135135,493.38286443943116,1002.6860017139555,-1000000
729,-999969,24,100,1.3107139630414768,1.210626689780168,6.5019163205282675,3,96,150,0.0,0.2,False,True,True,31,0.2903225806451613,1.680413710607337,2.3748538524585476,6.19190623459909,0.6131207377525787,16.435768611809838,6.346382738158192,6.3594220460896125,2.9377214424343596,530.1860842519311,0.521050993817964,4510.146709125344,-1097.9796259235563,4.1665598834536794,-0.9702935519421014,0.521050993817964,4.1076779592623796,0.021291208791208792,18,5,0.3925875085792725,1313.637519797673,1331.394639701908,8,16,0.3125,1.9210824956964507,3.4415089048351306,315420619035740.7,1.0652568900189732,10.395326051743323,6.793465209301015,7.000000000000001,3.103851657155983,649.7078782339603,0.65069875617265,4336.262823008379,-1025.998914845321,4.282236019752481,-1.0,0.65069875617265,4.226381490532192,0.030947775628626693,9,7,0.305019305019305,665.0651331509636,690.0317569662787,16,0.3125,1.8120050154764353,3.203010824625784,308181745276137.1,0.9365714379354636,9.12360825249662,6.793465209300999,7.0,3.126069428650475,570.2255157810403,0.5751337294965381,4071.901921213165,-1021.4455775971983,4.040427934388921,-1.0,0.5751337294965381,3.986411034048158,0.030947775628626693,9,7,0.305019305019305,635.5453398978436,1318.3329097656879,-1000000
934,-999969,16,5,1.326928997681758,2.5623028368431218,5.7951577904680445,4,96,50,0.002,0.2,True,True,True,31,0.5161290322580645,1.7066251912845738,2.8411590297756213,13.384429525393363,0.48036417616433713,11.685022169391639,5.851985059899997,6.0,2.2198790867112956,376.93619901263367,0.3671520930749276,1763.8375903665103,-1102.425285098168,1.637862616626585,-0.9882724653801738,0.3671520930749276,1.5999611168292873,0.021291208791208792,28,6,0.6005490734385724,683.069352101075,692.7909603683008,9,18,0.3333333333333333,1.1559362676805551,1.0007813886849795,0.7865434110473123,0.154323921527153,1.5104326992647839,6.899383165285013,7.114797274502783,3.1043632137574755,83.91292773693101,0.09211902546534526,1866.1084674108472,-807.1848421000269,1.9002731382902491,-0.8119580309471067,0.09211902546534526,2.3118725353611107,0.03481624758220503,24,8,0.8436293436293436,347.58020776408466,355.53390460165383,18,0.3333333333333333,1.1130190255908698,0.7681152129496988,0.5997538678416318,0.11200931986577911,1.0975760679978412,6.9116751508587555,7.127945328220576,2.980349460687246,60.97644822210191,0.06908182103900018,1801.5005870738696,-809.2856212037817,1.837752154822865,-0.8152533458529323,0.06908182103900018,2.2260380511817393,0.03481624758220503,24,8,0.8436293436293436,340.39755889759266,696.0392935249798,-1000000
383,-999971,40,50,0.701928583396236,2.3090042762858807,7.839907512270615,1,360,150,0.0005,0.2,True,True,True,29,0.3793103448275862,1.7310139386218435,2.665697730694647,13.849673785914518,0.5571493959190013,14.65525600586353,6.2644977459260565,6.310108828581768,2.8750923214806936,505.35365537460393,0.49174957309785094,3154.8275969137962,-1113.7693088993467,2.911581893861216,-0.9870368451464279,0.49174957309785094,2.83256826319938,0.019917582417582416,27,5,0.546328071379547,694.1754012453318,706.238231002402,10,10,0.3,1.2561455647815398,1.0865752670233588,0.8500176642096717,0.27458326720201987,1.5349264706473476,3.9403989999999918,4.0,1.6867235537072327,153.49264706473514,0.1657149567742553,2509.1085479902445,-856.0570247604832,2.538833102840955,-0.8513356772543303,0.1657149567742553,2.931006317823593,0.019342359767891684,31,4,0.5984555984555985,244.59509330854385,249.7606603448513,10,0.3,1.2060846497093454,0.915682053756584,0.7101163429598449,0.2215682967128757,1.2380373722174554,3.9403989999999967,4.0,1.7470874787573658,123.80373722174579,0.13569441106591296,2415.1529844716647,-858.2030830282196,2.4459953536692782,-0.8544345643355291,0.13569441106591296,2.814197515988473,0.019342359767891684,31,4,0.5984555984555985,238.6850525454185,487.1198463310869,-1000000
