trial,train_score,donchian_lookback,volume_lookback,volume_mult,atr_stop_mult,atr_tp_mult,min_holding_bars,max_holding_bars,trend_sma_period,volatility_min,volatility_max,use_trend_filter,train_total_trades,train_win_rate,train_profit_factor,train_sharpe_ratio,train_sortino_ratio,train_calmar_ratio,train_total_return_pct,train_max_drawdown_pct,train_max_drawdown_r,train_avg_drawdown_r,train_expectancy,train_expectancy_r,train_avg_win,train_avg_loss,train_avg_win_r,train_avg_loss_r,train_avg_r_multiple,train_payoff_ratio,train_trades_per_day,train_avg_holding_bars,train_max_consecutive_losses,train_exposure_pct,train_total_fees,train_total_slippage,train_rank,validation_total_trades,validation_win_rate,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_calmar_ratio,validation_total_return_pct,validation_max_drawdown_pct,validation_max_drawdown_r,validation_avg_drawdown_r,validation_expectancy,validation_expectancy_r,validation_avg_win,validation_avg_loss,validation_avg_win_r,validation_avg_loss_r,validation_avg_r_multiple,validation_payoff_ratio,validation_trades_per_day,validation_avg_holding_bars,validation_max_consecutive_losses,validation_exposure_pct,validation_total_fees,validation_total_slippage,stress_total_trades,stress_win_rate,stress_profit_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_calmar_ratio,stress_total_return_pct,stress_max_drawdown_pct,stress_max_drawdown_r,stress_avg_drawdown_r,stress_expectancy,stress_expectancy_r,stress_avg_win,stress_avg_loss,stress_avg_win_r,stress_avg_loss_r,stress_avg_r_multiple,stress_payoff_ratio,stress_trades_per_day,stress_avg_holding_bars,stress_max_consecutive_losses,stress_exposure_pct,stress_total_fees,stress_total_slippage,deploy_score
304,88.57384530602168,20,150,2.361135033698473,2.439317081211952,7.541006789261658,3,18,100,0.001,0.08,True,88,0.5,2.626965671164775,2.321972485175813,0.7722422611529718,3.0313641828775757,1.0935296679480961,0.08994042407008875,3.4371767324481333,0.8618915418006139,12.426473499410008,0.2846178077326567,40.12859014194015,-15.275643143120133,0.9550747990600837,-0.38583918359477026,0.2846178077326567,2.6269656711647733,0.06030150753768845,3,7,0.04008679762448607,177.0521829765485,177.26117595136597,1,42,0.4523809523809524,0.8853348852890486,-0.446870570024687,-0.08017493098223645,-0.15332437374712463,-0.056468151253357066,0.2602124368380108,5.166322084978742,2.14088520657217,-1.3444797917473927,0.017694610744922006,22.94701691618668,-21.411368376562493,0.6246740753014489,-0.483723207801774,0.017694610744922006,1.0717211769288484,0.08123791102514506,3,7,0.05252980986142443,84.04055036632698,84.32823338232154,42,0.42857142857142855,0.7390447165629165,-1.1108341642689594,-0.19837433603156887,-0.3384998342337096,-0.14094962114703957,0.29423546391003486,5.51310897885398,2.222686336003637,-3.35594336064322,-0.03260177311599101,22.176654482338083,-22.505391742879198,0.5719644448017518,-0.48602643655429817,-0.03260177311599101,0.9853929554172223,0.08123791102514506,3,7,0.05252980986142443,84.00583232874843,168.56313428456647,-999964.5203546232
821,83.06682427546201,55,150,1.825156827883002,1.3041867464005958,7.410983872235611,4,48,150,0.0005,0.08,False,104,0.5096153846153846,2.0130450365236454,2.0147487413107346,0.787110408755761,1.838505912669303,0.9021304013753543,0.12242662993578236,4.832818096557041,1.719609836946221,8.67433078245554,0.3726249357288611,33.82347207679389,-17.4610513469549,1.4328767548249293,-0.7292053860768566,0.3726249357288611,1.9370810728812442,0.07126541799908634,4,6,0.05767473732297853,209.04276031585496,209.1272144808122,2,57,0.45614035087719296,0.9232073694858409,-0.36242523221337664,-0.11205512325725574,-0.14541529110457466,-0.0493192301402014,0.23962787332015534,7.574077225467913,3.0978267557041286,-0.8652496515831487,0.04112161430344247,22.804610495515362,-20.71739042011738,1.0694221446364771,-0.8213239917823286,0.04112161430344247,1.1007472482331178,0.1102514506769826,4,5,0.08701256848211408,114.02183224575492,114.41279640086736,57,0.45614035087719296,0.7671191342539013,-1.2018366463028154,-0.3732076213585714,-0.4386791568069816,-0.16395072115410583,0.2641013198509293,7.977951444318217,3.355292127812503,-2.876328441300366,-0.05013671166463688,20.77155413763133,-22.71003641072695,0.8878440148148764,-0.8368302241958416,-0.05013671166463688,0.9146420446873441,0.1102514506769826,4,5,0.08701256848211408,113.95771236507395,228.63713466532238,-999953.0273423329
1194,76.0912448429474,16,150,2.118083705156997,0.9356612444653148,4.3005623510411555,3,120,400,0.001,0.08,True,87,0.42528735632183906,1.83801087440494,1.7188920915868693,0.7932848543594858,1.1388541900118039,0.6343954615527618,0.13912230120312558,8.747799454202447,2.934199244157666,7.291901856928003,0.37616815650994256,37.60596742997826,-15.140506667129184,1.9925379155295577,-0.8199454651645725,0.37616815650994256,2.4837984789255922,0.05961626313385108,3,7,0.03654636820465966,174.55185734878734,174.47427838504842,3,50,0.36,1.0725617995774857,0.2787483574755369,0.12195007654501507,0.1488163680157587,0.03634939022897742,0.172553171233424,7.090855451506986,3.199528475103567,0.7269878045796769,0.14094916182491837,29.849626743117696,-15.654496598347958,1.8675324220003289,-0.83025392202375,0.14094916182491837,1.9067765325821957,0.09671179883945841,3,6,0.05897518530454399,100.07815915164424,100.31711137467555,50,0.32,0.8871620195773225,-0.48796381390706545,-0.19473768055450127,-0.2163284868211102,-0.0640861836593831,0.20931060603673152,7.663177774664846,3.5234084831866714,-1.2817236731875017,0.013076219908041762,31.49140692105797,-16.704373364597135,1.745186539043895,-0.8020345185088305,0.013076219908041762,1.885219291601811,0.09671179883945841,3,8,0.05897518530454399,100.0289402877314,200.4796646821211,-999950.0
584,64.88653024532523,16,150,2.125382647254326,1.1043365617062928,6.106396625389984,4,72,150,0.0005,0.08,True,101,0.42574257425742573,1.7401276210187429,1.6008070078225989,0.7834130074614872,0.9333888688909387,0.7479734936281311,0.20005274553473004,11.054677041642876,3.337124232478895,7.405678154733716,0.3329852170125462,40.89707432500714,-17.42415004046899,1.9134834264296936,-0.8387634554863733,0.3329852170125462,2.3471488841648167,0.06920968478757424,4,9,0.05459113750571037,202.84826647136998,202.53131809495667,4,57,0.3684210526315789,0.956012449423136,-0.1971718284692433,-0.0745902750141313,-0.08000018008439813,-0.026875994549060127,0.23735063222170208,9.584193263286572,3.8771543830636674,-0.4715086762992602,0.03217807411428525,27.814997049297858,-16.971970349564245,1.470313348216831,-0.8067341691121998,0.03217807411428525,1.638878484725376,0.1102514506769826,4,6,0.08604576216564615,114.08377140011957,114.36327478174354,57,0.3684210526315789,0.7929929931664425,-1.0387318058576256,-0.3941918645665054,-0.3286596985726042,-0.14131786047470812,0.30383681865434736,10.382781411950065,4.374879055245616,-2.479260710082178,-0.06653820935411849,25.778762362147777,-18.963107502216317,1.2314409565101085,-0.8236927227749176,-0.06653820935411849,1.3594165597139012,0.1102514506769826,4,6,0.08604576216564615,114.0196631304762,228.55427835663937,-999956.3076418708
1198,64.20485330524694,16,100,2.3429654879386717,2.918713264106336,6.927127705221097,2,120,200,0.003,0.08,True,84,0.5357142857142857,2.2346835683809116,1.960841130274355,0.4888903460566798,1.7591233378220381,0.7932726244325021,0.11255733678809172,2.262466526691462,0.9363133925920275,9.443721719434754,0.18092656320348377,31.905850111689936,-16.474118733167376,0.6466628735424744,-0.35646148718765935,0.18092656320348377,1.9367257592634575,0.05756052992233897,3,4,0.028894472361809045,168.64443629783756,168.4810002350405,5,50,0.42,0.7791273720024787,-0.9694185190239928,-0.20507308522457296,-0.27529568371465163,-0.12048391240440832,0.3092474783661998,5.136560390634254,2.49135936015041,-2.4096782480881114,-0.011434467663499452,20.238407234606083,-18.810016011418387,0.48591139122225885,-0.3715814689256003,-0.011434467663499452,1.0759377994319945,0.09671179883945841,2,7,0.047695778279084756,99.96369986671883,100.27798839819144,50,0.4,0.6348332852625975,-1.7601556976516217,-0.3720887520366999,-0.4052368295112451,-0.22093229034554682,0.3852928012283722,6.4827813328645885,3.191655663776591,-4.4186458069103685,-0.054012557753799824,19.204265618992046,-20.167253424178647,0.442103057190642,-0.3847563010500944,-0.054012557753799824,0.9522499278938962,0.09671179883945841,2,7,0.047695778279084756,99.91435021912643,200.43352203304022,-999960.8025115507
471,62.45884724371506,8,150,1.6097616660733016,1.6220427376870987,5.455096797691014,2,12,300,0.0,0.05,True,86,0.5116279069767442,2.0355267945814512,1.9590733238549605,0.6096018208242944,1.4727598754405735,0.5276572476638975,0.08951539517039245,4.793135714227844,1.8768675621494466,6.135549391440783,0.22819124326534837,23.572992281345595,-12.13224792179283,0.9870559664163902,-0.5668098952738382,0.22819124326534837,1.9430028493732034,0.05893101873001371,2,7,0.028780264961169484,172.5403574991855,173.07838425999884,6,55,0.5272727272727272,1.9249122381483799,2.5589708835888336,0.9303226292107472,1.5918339940241995,0.32984301083988976,0.146318489089242,5.610717682616974,2.0843110349331155,5.997145651633115,0.26269305496694284,23.671168446407982,-13.716187465615771,1.017794927675953,-0.5795359569007995,0.26269305496694284,1.7257833859261338,0.10638297872340426,2,7,0.05156300354495649,110.2404526106172,110.55945888558338,55,0.509090909090909,1.533617440416581,1.730359927237701,0.6018280172318818,0.9405434032770957,0.21895194610719046,0.1644107479106993,5.853793782582546,2.2842403702144076,3.9809444746762797,0.16140700417662582,22.473866758298726,-15.196900856487737,0.8887515643141572,-0.5928762433734069,0.16140700417662582,1.4788453889731317,0.10638297872340426,2,7,0.05156300354495649,110.180576220051,220.91429863318052,-999945.0
214,60.67733966763443,12,30,2.453257380917287,2.609573968763582,5.65584989352208,3,18,200,0.003,0.12,True,101,0.5346534653465347,2.1459876990403273,2.1485579753295543,0.5105186609708167,2.0927046900858084,0.9017924786241783,0.1075154345043452,3.194470335373719,0.9230361358768692,8.928638402220049,0.17481873388209349,31.272321422519024,-16.742827195570264,0.6634859265927786,-0.38662867901954456,0.17481873388209349,1.8678041084239885,0.06920968478757424,3,5,0.045340338053905894,203.00998234874578,202.93959912111532,7,57,0.43859649122807015,0.8319195651697601,-0.7565587150458347,-0.1633594824472002,-0.18237420841552565,-0.1115522562921833,0.432200981818588,9.663204663656845,3.971109618230587,-1.9570571279329112,-0.02054132193101056,22.08526046283076,-20.74011774571703,0.6055093099510634,-0.5096433780888809,-0.02054132193101056,1.0648570434172926,0.1102514506769826,3,7,0.07251047373509507,114.1145030327911,114.28292694895157,57,0.38596491228070173,0.6913503739751571,-1.521112675188474,-0.32468030706819606,-0.3227586308688196,-0.22569382904023225,0.4941803455425982,10.570849489010868,4.159621701243495,-3.95954086035532,-0.06912890905507,22.978911413161168,-20.892282289422827,0.5982205643936317,-0.4886057209371111,-0.06912890905507,1.099875594960477,0.1102514506769826,3,7,0.07251047373509507,114.05047662334684,228.42610300250993,-999956.825781811
127,57.36494134092993,30,20,2.0673746001562368,2.7459328581746387,3.9029314403368818,3,72,300,0.003,0.12,True,108,0.5277777777777778,2.0125434791831163,2.1998670124265822,0.4993075076265151,2.229502500487032,0.9367523009620053,0.10481717707970081,2.911851117431379,0.7294410139144907,8.673632416315062,0.17036452529793614,32.66491281816817,-18.14015156222665,0.6550542278345082,-0.37134749518411514,0.17036452529793614,1.8006967971638408,0.07400639561443582,3,4,0.047967108268615805,217.0126398449693,216.98791214515813,8,65,0.47692307692307695,1.0913323093504546,0.3804237080252491,0.09118198996605778,0.13574288892447087,0.06277325104622286,0.326675988829334,5.712069597191641,2.2468958025207337,0.9657423237878646,0.07798354601706227,24.196107286820688,-20.214884554271478,0.6376261366681402,-0.4322788160471558,0.07798354601706227,1.1969451134811435,0.12572533849129594,3,8,0.08121173058330648,130.19955392186506,130.671764957612,65,0.4153846153846154,0.9103753423527585,-0.4098758181276447,-0.09659211669917807,-0.12307705275250608,-0.06813571478793165,0.39114776065976964,6.498456788342908,2.6696873626318296,-1.0482417659686494,0.025324255170891305,25.633270982306595,-20.00615871869054,0.6400928876338187,-0.41148503631592565,0.025324255170891305,1.2812690003483271,0.12572533849129594,3,8,0.08121173058330648,130.11560542981823,261.11519356356325,-999935.0
101,54.85576702806727,16,100,2.2078846815883364,3.7230356149752826,6.926962382419918,5,12,150,0.003,0.08,True,89,0.4943820224719101,1.9854229786156963,1.8950680371498891,0.4829958919961465,1.2579122270625367,0.9735570036609279,0.19304885834339783,4.275923635707745,1.428750091990389,10.938842737763983,0.17375028588274558,44.57989771458614,-21.954633239573237,0.7492383052394778,-0.3889491108216146,0.17375028588274558,2.0305462281296895,0.060986751941525814,5,5,0.06007309273640932,178.97068272463403,178.91637356017037,9,56,0.4642857142857143,0.6507879845491935,-1.7247501508862293,-0.3532401615474417,-0.44803888725271374,-0.2804355141857377,0.4423804278162061,7.584817741586567,3.9116750792115758,-5.007777039031094,-0.07275200950274384,20.100645827452453,-26.768410189983506,0.3855743305933717,-0.46996817091937726,-0.07275200950274384,0.7509092129413771,0.10831721470019343,5,4,0.10602642603931679,111.8850308581916,112.16704070476264,56,0.4107142857142857,0.5460240491331707,-2.386758291402925,-0.4772607346575289,-0.5374716748652377,-0.3926090214511496,0.5163628207769124,8.564159352973277,4.584133699049496,-7.010875383056842,-0.10510229423134894,20.531059563805332,-26.206769436930475,0.3799980619579626,-0.44320254248450547,-0.10510229423134894,0.7834258096258535,0.10831721470019343,5,5,0.10602642603931679,111.82328167264158,224.17107992244345,-999965.0204588462
176,51.922409438949444,40,20,2.1564185935013076,2.1722422045187635,7.504773192906239,1,120,300,0.0,0.08,False,100,0.48,2.061321151721832,1.934251162993287,0.5699387268596795,1.4991712330638038,0.624356747932994,0.10401659658760665,3.545869018068444,1.3497595406136278,6.243567479329252,0.14714494922482335,25.26331938276557,-11.313126585381195,0.6920898547675461,-0.3558811174299978,0.14714494922482335,2.233097914365317,0.06852444038373687,1,7,0.022727272727272728,200.6306845930879,200.64464090788832,10,64,0.5,0.7879774359676823,-1.0151379073326912,-0.2245790699955976,-0.30607994942753863,-0.12163544308727434,0.2808034910426622,6.759470833046961,2.2673139193831116,-1.900553798237965,-0.03375771019890334,14.126737082812745,-17.927844679288675,0.4358337911260448,-0.5033492115238515,-0.03375771019890334,0.7879774359676822,0.12379110251450677,2,5,0.0412504028359652,127.9884093395741,128.47676672623297,64,0.4375,0.6109443347569856,-2.0647191573073735,-0.44565703180811567,-0.48695265958848344,-0.250352189771118,0.3633490626714553,8.809174023370254,3.3642297320035635,-3.911752965172882,-0.09018192809145759,14.040522227354595,-17.87463367047203,0.4074297118675658,-0.4772132036151424,-0.09018192809145759,0.7854998589732674,0.12379110251450677,2,5,0.0412504028359652,127.90719007133752,256.74306820035235,-999954.0363856183
