trial,wf_score,donchian_lookback,volume_lookback,volume_mult,atr_stop_mult,atr_tp_mult,min_holding_bars,max_holding_bars,trend_sma_period,volatility_min,volatility_max,use_trend_filter,allow_long,allow_short,wf_rank,validation_total_trades,validation_win_rate,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_calmar_ratio,validation_total_return_pct,validation_max_drawdown_pct,validation_max_drawdown_r,validation_avg_drawdown_r,validation_expectancy,validation_expectancy_r,validation_avg_win,validation_avg_loss,validation_avg_win_r,validation_avg_loss_r,validation_avg_r_multiple,validation_payoff_ratio,validation_trades_per_day,validation_avg_holding_bars,validation_max_consecutive_losses,validation_exposure_pct,validation_total_fees,validation_total_slippage
373,-999998,55,30,2.2315152218519407,1.5310337274729693,11.68438055694719,2,48,50,0.001,0.2,True,True,False,30,2,0.5,6.702709023899723,2.882998660390407,0.0,3.995932411492409,5.702709023899718,1.0,0.9999999999999999,0.9999999999999999,2851.354511949861,2.885206577727132,6702.709023899722,-999.9999999999999,6.770413155454264,-0.9999999999999999,2.885206577727132,6.702709023899723,0.0038684719535783366,22,1,0.08494208494208494,68.93903403200187,149.44504855229198
243,-999999,160,5,1.7519389921167514,1.1972792799305219,9.409048730320636,6,72,600,0.0,0.2,False,True,False,46,4,0.5,6.608730649115053,4.0680477197517035,0.0,8.012354728298416,11.527149787131348,1.0000000000000062,1.0,1.0,2881.7874467828387,2.836590684774176,6791.182609845484,-1027.6077162798067,6.673181369548352,-1.0,2.836590684774176,6.608730649115053,0.007736943907156673,14,1,0.11003861003861004,191.98040383149936,407.4475743559782
539,-999998,16,14,2.501701839933164,1.8194451626590604,11.894254165465314,1,72,400,0.0005,0.2,True,True,True,32,2,0.5,5.8353204034001545,2.7990954084934243,0.0,3.392306045113669,4.835320403400154,1.0,0.9999999999999999,0.9999999999999999,2417.660201700077,2.447131516868764,5835.320403400154,-999.9999999999999,5.894263033737528,-0.9999999999999999,2.447131516868764,5.8353204034001545,0.0038684719535783366,50,1,0.19498069498069498,58.982964962822756,127.77462497434573
575,-999999,10,5,2.3264862086084395,3.036540795921173,6.997243107618539,2,48,300,0.0,0.2,True,True,False,60,1,1.0,inf,3.4202718002551924,0.0,0.0,2.129452929915133,0.0,0.0,0.0,2129.4529299151295,2.1294529299151295,2129.4529299151295,0.0,2.1294529299151295,0.0,2.1294529299151295,0.0,0.0019342359767891683,13,0,0.025096525096525095,17.666317541165643,39.63562059671561
497,-999999,160,5,1.7905222092774793,0.9156614130671119,9.571139895687738,2,24,100,0.003,0.12,False,True,True,55,3,0.3333333333333333,4.008763470074914,2.56810352687985,0.0,4.367365168072923,6.237485339177292,1.0,1.0000000000000002,1.0,2079.1617797257654,2.1315122059576566,8310.591251694239,-1036.552956258471,8.39453661787297,-1.0,2.1315122059576566,8.017526940149828,0.005802707930367505,6,1,0.03474903474903475,187.20109636968726,387.27881347146314
411,-999999,55,10,2.0164975709170414,1.7783857079060215,7.048544248170191,5,48,200,0.001,0.2,True,True,False,53,2,1.0,inf,3.6512424904280967,0.0,0.0,3.7869698692300884,0.0,0.0,0.0,1893.4849346150502,1.8891211158518444,1893.4849346150502,0.0,1.8891211158518444,0.0,1.8891211158518444,0.0,0.0038684719535783366,30,0,0.11583011583011583,60.58373475046405,128.87848243723502
305,-999995,40,20,0.8705136615389527,1.1393770310013718,9.696377294129796,1,48,200,0.0005,0.12,False,True,False,11,6,0.5,4.597408669128228,3.8261124614327313,265883515802451.0,7.958756222589746,11.448822083414678,1.0000000000000058,1.0000000000000002,0.9455508648159032,1908.1370139024464,1.8884301359909141,4877.113754065324,-1060.8397262604317,4.776860271981828,-1.0,1.8884301359909141,4.597408669128227,0.01160541586073501,11,1,0.13513513513513514,307.24219986531386,638.0461047387383
153,-999991,10,20,1.269567929669693,1.0035773259189271,9.268890418775726,6,72,300,0.003,0.2,True,True,False,5,9,0.4444444444444444,4.178670481220449,4.681712229261965,393731163034129.44,2.890732796317462,16.496500121049813,3.9403989999999935,4.0,2.2,1832.9444578944222,1.768675375496876,5421.562136319129,-1037.9496848453432,5.229519594867972,-1.0,1.768675375496876,5.223338101525561,0.017408123791102514,27,4,0.4806949806949807,449.3113200594699,932.5857765900282
294,-999998,40,20,2.966110890364409,3.491161572689114,11.922278789581846,1,36,300,0.0,0.2,False,True,True,28,2,1.0,inf,4.073643138213185,0.0,0.0,2.992464258478212,0.0,0.0,0.0,1496.2321292391066,1.48969694420457,1496.2321292391066,0.0,1.48969694420457,0.0,1.48969694420457,0.0,0.0038684719535783366,35,0,0.13513513513513514,32.647069325803145,69.09725304539857
285,-999999,160,100,2.8115619218481505,2.911657717620867,9.556177347823699,5,72,600,0.003,0.2,False,True,True,47,2,0.5,9.512918556625932,3.0445959676863854,0.0,5.990496703058819,2.7172931471572666,0.31919642236472284,0.31919642236472345,0.31919642236472345,1358.6465735786314,1.3635082749913026,3036.489569521986,-319.19642236472345,3.0462129723473286,-0.31919642236472345,1.3635082749913026,9.512918556625932,0.0038684719535783366,49,1,0.19111969111969113,38.25474073230707,82.03192755965466
