allow_long,allow_short,atr_stop_mult,atr_tp_mult,break_even_atr,deploy_score,donchian_lookback,ema_fast,ema_slow,exit_on_flat_signal,family,max_holding_bars,min_holding_bars,mom_lookback,mom_min,move_stop_after_partial,partial_exit_atr,partial_exit_fraction,poc_distance_max,profile_lookback,profile_value_area,rsi_high,rsi_low,slope_bars,slope_min,stress_alpha,stress_avg_drawdown,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_pnl,stress_avg_r_multiple,stress_avg_trade_return,stress_avg_win,stress_avg_win_r,stress_best_month,stress_best_trade,stress_best_trade_r,stress_beta,stress_cagr,stress_cagr_pct,stress_calmar_ratio,stress_cvar_95,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_gross_loss,stress_gross_profit,stress_losing_trades,stress_max_consecutive_losses,stress_max_consecutive_wins,stress_max_drawdown,stress_max_drawdown_duration,stress_max_drawdown_pct,stress_max_drawdown_r,stress_median_pnl,stress_median_r_multiple,stress_median_trade_return,stress_pass,stress_payoff_ratio,stress_profit_factor,stress_profitable_months,stress_recovery_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_months,stress_total_return,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_trades_per_week,stress_ulcer_index,stress_var_95,stress_win_rate,stress_winning_trades,stress_worst_month,stress_worst_trade,stress_worst_trade_r,trail_atr_mult,trend_strength_max,trial,use_break_even,use_partial_exit,use_poc_target,use_trailing_stop,validation_alpha,validation_avg_drawdown,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_pnl,validation_avg_r_multiple,validation_avg_trade_return,validation_avg_win,validation_avg_win_r,validation_best_month,validation_best_trade,validation_best_trade_r,validation_beta,validation_cagr,validation_cagr_pct,validation_calmar_ratio,validation_cvar_95,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_gross_loss,validation_gross_profit,validation_losing_trades,validation_max_consecutive_losses,validation_max_consecutive_wins,validation_max_drawdown,validation_max_drawdown_duration,validation_max_drawdown_pct,validation_max_drawdown_r,validation_median_pnl,validation_median_r_multiple,validation_median_trade_return,validation_pass,validation_payoff_ratio,validation_profit_factor,validation_profitable_months,validation_recovery_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_months,validation_total_return,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_trades_per_week,validation_ulcer_index,validation_var_95,validation_win_rate,validation_winning_trades,validation_worst_month,validation_worst_trade,validation_worst_trade_r,volatility_max,volatility_min,volume_lookback,volume_min,vwap_band_atr,vwap_distance_max,vwap_lookback,wf_gate_windows,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_win_rate,wf_positive_exp,wf_rank,wf_score,wf_total_trades,wf_windows
True,False,1.5,6.0,0.5,525.5615399907906,40,30,400,True,vwap_profile_confluence,72,8,18,0.001,True,0.6,0.67,0.025,72,0.7,64.8794794675254,42.471834061329375,18,0.0005,0.0,-0.011402560594535534,1.5275372632694422,8,-776.8720508470427,-0.5921527272761459,238.3063763311874,0.18832686246429248,0.0025914568359403636,608.9270719676842,0.473263855544135,0.11817243516611353,4778.5763608361785,3.5488969252516607,0.0,0.402934674770526,40.2934674770526,7.680441202068017,-3.2692153396086474e-05,238.30637633118744,0.18832686246429248,0.16802320896123782,53604.17150844595,115087.21660189229,69,4,12,-0.05246243857215297,3714,5.246243857215297,5.671175913709845,112.48376349926127,0.08344732983216999,0.000993004000000046,False,0.7838189973545271,2.1469824710145735,11,11.719440949906899,2.820221052543185,2.109781953665305,51543.51016783769,17,0.6148304509344648,61.48304509344648,51543.67473806508,258,0.4990328820116054,3.493230174081238,0.01597652053936342,0.0,0.7325581395348837,189,-0.016735424984089864,-1100.657199841422,-0.7113410388688691,1.0,0.025,1143,True,True,False,True,0.0,-0.008053762273775062,1.125260463665634,8,-859.1220050281404,-0.5819252940937902,422.6515473412643,0.2972595635012587,0.003549959918760557,845.5046780198307,0.5872999288934397,0.17363882131792963,6032.282206840901,4.4974585235095015,0.0,0.683610329750699,68.3610329750699,16.94540031516826,-2.8641277963654395e-05,422.6515473412643,0.2972595635012587,0.16802320896123782,54983.80832180099,164027.90753584713,64,4,12,-0.040341940410742724,2316,4.034194041074272,4.540961274220749,56.21335722065683,0.04010509960786102,0.0004581906756460551,True,0.9841497168869937,2.9832038293136987,14,27.029958922106967,3.7345908384548885,2.654913686951792,66514.22772556568,17,1.090440992140463,109.0440992140463,13302.853099559043,258,0.4990328820116054,3.493230174081238,0.011874932560108879,0.0,0.751937984496124,194,-0.01436282329118721,-1457.9706792623392,-0.7629670364788994,0.12,0.001,30,0.75,0.25,0.01,168,0,3.735814123148014,0.2987771632677779,3.132025209229394,0.6847620197917471,11,4,351.3480591250898,315,11
True,True,3.0,8.0,1.25,518.9047600033769,16,14,200,False,vwap_profile_confluence,72,8,6,0.0025,True,1.5,0.5,0.005,48,0.68,59.74445266166715,39.4834070931528,36,0.0,0.0,-0.0026105860080424636,0.5546092303593828,8,-361.9328833982526,-0.2928250447612809,235.193458994739,0.19612903193833708,0.005256201933260358,660.1752702474085,0.5441233748146419,0.03880620255582423,2951.737797803356,2.514667818263075,0.0,0.29819423758248753,29.819423758248753,15.54259363263289,-1.8812050529512173e-05,235.19345899473896,0.19612903193833708,0.12974454025304213,28592.697788461955,73279.4549974624,79,6,8,-0.01918561628970376,627,1.918561628970376,1.9334653208763868,137.2015482475449,0.1224179810881833,0.0027878285795708228,False,1.8240267754863961,2.562873064291014,15,23.291801803094636,3.2208237285101147,1.8351582389826298,19723.901241399544,17,0.44686757209000383,44.68675720900038,19723.985376042354,190,0.36750483558994196,2.5725338491295937,0.0044087682673612325,0.0,0.5842105263157895,111,-0.005807885088970899,-574.3854549679405,-0.4888312922795145,1.0,0.04,687,True,True,False,True,0.0,-0.001898963991098569,0.4569166849994658,8,-368.6474807005078,-0.2735478139300514,358.4835742388078,0.27635676562142275,0.006732861031319176,795.9946327192437,0.6072315550125641,0.045765549043356835,3379.3114867191707,2.6940143950437845,0.0,0.4412048810744198,44.12048810744198,26.951948211724286,-1.5771001445087528e-05,358.48357423880793,0.27635676562142275,0.13014747360786527,26173.971129736063,93927.36666087076,71,6,8,-0.016370055240848697,627,1.6370055240848695,1.647204698930345,279.1800464952231,0.196541370461092,0.00429916689190718,True,2.1592298181631033,3.5885791344119173,15,41.38861753017652,4.031749252143237,2.5860576928388572,22923.22607205314,17,0.6775339553113483,67.75339553113483,4584.649024860914,189,0.3655705996131528,2.5589941972920696,0.003445083337991503,0.0,0.6243386243386243,118,-0.003429921741118669,-650.8163396886558,-0.44822999403419506,0.08,0.002,100,1.0,0.75,0.025,120,0,1.733735069313789,0.22566949314706408,3.1343304782805346,0.5495708198721005,11,8,318.5365983854549,341,11
True,False,3.0,3.0,1.0,494.46373375609426,10,20,150,False,vwap_profile_confluence,72,8,36,0.001,True,2.0,0.25,0.015,48,0.8,73.57020315878145,34.449927567847105,48,0.0,0.0,-0.0052696639827250116,0.736643073119739,8,-381.7108584395101,-0.3119102987193285,183.03845245697494,0.1561385448914384,0.003439633608893455,562.4793957155508,0.47060886169242255,0.05850124579684368,3175.813286178922,3.148027118251002,0.0,0.2630268258696915,26.30268258696915,11.80380307146385,-2.1843880854936647e-05,183.0384524569749,0.1561385448914384,0.14521718107824966,32827.13382579787,71997.36265159052,86,7,11,-0.022283227217299906,2317,2.228322721729991,2.2474587028121427,69.29542367550911,0.05734176448934088,0.0009930040000000811,False,1.473574521864662,2.193227195333451,16,17.578346459341468,2.735853931200806,2.256455755655507,23147.811533160093,17,0.39170228825792525,39.17022882579253,23147.896999096254,214,0.41392649903288203,2.897485493230174,0.007889634329489815,0.0,0.5981308411214953,128,0.0,-611.6700496514238,-0.45243222335322264,1.0,0.006,886,True,True,False,True,0.0,-0.003701186676973303,0.5572819148811237,8,-382.7306638361817,-0.281036234308112,308.34430636975975,0.23960828482559,0.004912229743335407,724.0284989748372,0.5527779203947341,0.0732813774876293,3758.6153557964553,3.5768448526548196,0.0,0.42858120241635955,42.85812024163596,24.725324766456325,-1.8316007123950283e-05,308.3443063697597,0.23960828482559,0.14578128777500202,30618.453106894533,96295.79036365339,80,7,11,-0.017333693549610937,1540,1.7333693549610938,1.7454780775883805,164.01776182701502,0.11696300403252129,0.0023103730352431705,True,1.8917441621158935,3.1450246695176745,16,37.88998407568651,3.693517508356029,3.111347146206554,27456.943172099418,17,0.6567733725675885,65.67733725675885,5491.39257944618,213,0.4119922630560928,2.8839458413926495,0.006009521861958584,0.0,0.6244131455399061,133,0.0,-711.7401279673078,-0.44612550288094266,0.12,0.0,50,1.0,0.25,0.015,48,0,2.3429363523096916,0.23198236538491032,3.4587673943157387,0.5718948051247135,11,7,323.16322794315846,271,11
True,False,2.5,8.0,0.5,490.38769844555634,16,8,80,True,vwap_profile_confluence,36,6,24,0.0005,True,2.0,0.5,0.015,72,0.6,59.843153963449616,34.03715446609641,18,0.0,0.0,-0.006489532037344072,0.8722037539551448,6,-517.8396573877775,-0.45862664123261065,153.4082427426363,0.14025047548128655,0.002864509015344595,465.77112696173975,0.41893586642735753,0.031155487311455676,2631.539616308432,2.1822720196186354,0.0,0.1555212360976972,15.552123609769719,6.272904411077912,-1.751479006901168e-05,153.4082427426363,0.14025047548128655,0.07268917721008945,24338.463897225545,47042.88382313573,47,4,12,-0.02479254040967811,2918,2.479254040967811,2.501463263527084,57.39343854280498,0.05037117670518905,0.0009930040000000226,False,0.8994504772216646,1.9328616638167688,12,9.15776259743325,1.9026922919277183,0.4798385961901699,15799.51131543957,17,0.2270441992591026,22.704419925910262,15799.565618935545,148,0.2862669245647969,2.003868471953578,0.008790922844836443,0.0,0.6824324324324325,101,-0.007887906314308468,-976.4021966703268,-0.7955510408779031,2.0,0.01,566,True,False,False,True,0.0,-0.004748029700109411,0.7496941719523708,6,-575.6438712268531,-0.4807752956189291,243.28229902045624,0.210410205375688,0.003962946195842606,536.2925801181173,0.457715109401285,0.03941326335015671,3361.2034909109716,2.523501369361435,0.0,0.24266929296664563,24.266929296664564,11.843368618145892,-1.5245334197201614e-05,243.28229902045618,0.210410205375688,0.07268917721008945,22450.110977847275,58455.8912328748,39,3,15,-0.02048988769925124,1837,2.0489887699251237,2.0626241949637,17.4157053590421,0.013996010535923755,0.00019732048000005073,True,0.9316395204123904,2.6038130185884762,15,17.572463443195566,2.537782522801718,0.6731651170710385,18178.121669372867,17,0.3600578025502749,36.00578025502749,3635.6266466553807,148,0.2862669245647969,2.003868471953578,0.006913648956945671,0.0,0.7364864864864865,109,-0.008155122161605077,-1113.8129362584325,-0.8180823343223904,0.12,0.002,100,1.5,0.25,0.025,240,0,3.397703807916646,0.21514569724836735,2.6035935980657703,0.6837139168021521,9,13,280.63778813554313,180,11
True,True,2.0,12.0,1.0,474.77403383235134,16,50,200,False,vwap_profile_confluence,18,6,24,0.001,True,1.5,0.25,0.01,96,0.8,77.38292295630816,44.40274338835626,48,0.0,0.0,-0.005525961760242787,0.9329337737308897,6,-486.6418488657657,-0.44027294192226646,224.84832602473,0.20079710047201543,0.003835190991202845,692.933967400056,0.6225537073103589,0.037533808033340055,2520.8193911061508,2.317065576179359,0.0,0.1927070732931433,19.27070732931433,6.7855614640901285,-1.7850832870672566e-05,224.84832602472986,0.20079710047201543,0.06728987025545975,24332.092443288275,52662.98152240425,50,6,8,-0.028399576706064553,1758,2.8399576706064553,2.86317660393794,79.3687720361083,0.0630521508049413,0.0010070040000000956,False,1.4239095322671138,2.164342489046014,14,9.97581385537556,2.1502466288048034,1.1533391982913097,15880.715894032244,17,0.2833088907911598,28.330889079115977,15880.77598641239,126,0.2437137330754352,1.7059961315280465,0.008111599468737598,0.0,0.6031746031746031,76,-0.0030067607068802182,-724.7518624730453,-0.5782052969081907,1.0,0.08,220,True,True,False,True,0.0,-0.003524184197615441,0.6655064708670465,6,-501.0414913263253,-0.4190479748877522,393.87908590786543,0.3249554007907504,0.0055584294898670256,874.8988961712428,0.7248572152179455,0.04552918116565796,3081.1146063071237,2.6419684638283187,0.0,0.3219407523747573,32.19407523747573,13.472397693720376,-1.4616371609485175e-05,393.8790859078654,0.3249554007907504,0.06664517688774277,21544.784127031984,69991.91169369941,43,6,8,-0.023896321923811466,931,2.3896321923811468,2.4131528035313057,144.61447730771008,0.11940469642844245,0.0019902298976104686,True,1.7461605701660872,3.248670828215976,16,20.273884709593037,2.977129739348174,1.6464046047836256,18456.263005386038,17,0.4844712756666742,48.44712756666742,3691.2554248626107,123,0.2379110251450677,1.6653771760154739,0.00527485228764236,0.0,0.6504065040650406,80,0.0,-849.6553391361313,-0.5893033447686737,0.04,0.0,75,1.5,1.0,0.025,24,0,3.2972761087236147,0.3480210559244106,3.532459877319532,0.5310206345904286,10,28,234.16615909475178,179,11
True,True,2.5,2.0,0.75,464.44744791133616,10,20,400,True,momentum_volume_breakout,96,8,3,0.01,True,1.0,0.5,0.005,48,0.8,58.212316163663424,35.913705218919695,24,0.005,0.0,-0.005294080789495215,0.75841807930813,8,-411.77493190444744,-0.37302554469270116,194.5398908626813,0.17781266368250032,0.0046773479576557205,553.2049972883068,0.5036606179326194,0.045042471134660644,2735.2262670710284,2.379146537903604,0.0,0.15071752984615738,15.071752984615738,8.803210758579892,-1.2699256607841004e-05,194.5398908626813,0.17781266368250032,0.07301152389394794,17294.547139986793,39277.55480746979,42,4,8,-0.017120745371143505,2497,1.7120745371143504,1.7210096592193747,88.82232394024447,0.07760267275136003,0.0016458065608259437,False,1.3434644861204865,2.271094726537013,13,12.839982834237302,2.098686140284179,1.0177983321157953,10495.635431974519,17,0.21983007667483034,21.983007667483033,10495.678406295454,113,0.218568665377176,1.5299806576402322,0.007220929532311126,0.0,0.6283185840707964,71,-0.005588515633956237,-618.3801379857632,-0.5000868835511679,1.0,0.015,361,True,True,False,True,0.0,-0.0038900486706157566,0.6554802812471023,8,-405.63075637128634,-0.3524258869370873,285.0242547474475,0.2495032461619114,0.00595896422064006,663.4653567303154,0.5793274286819107,0.05020599776280865,3237.6129136283243,2.6381369436327224,0.0,0.2180511490949153,21.80511490949153,14.492963076321661,-1.1428484375746638e-05,285.02425474744757,0.2495032461619114,0.07301152389394794,16225.230254851456,48432.97104131303,40,4,8,-0.015045311848697337,1305,1.5045311848697336,1.5101003584212336,209.507604042099,0.17559889551090133,0.0032513245868477213,True,1.635638684466582,2.985040599151512,15,21.40716065599548,2.650468231776678,1.2537108033983357,11820.18288083967,17,0.32207740786461625,32.20774078646163,2364.038431846132,113,0.218568665377176,1.5299806576402322,0.005786574725570885,0.0,0.6460176991150443,73,-0.005304232195753822,-669.5560163681077,-0.49995578563858983,0.12,0.002,150,0.75,0.75,0.08,240,0,2.0638745682636888,0.15537959749125776,2.373527072999993,0.6591512805284636,9,73,158.24990713801577,323,11
True,True,1.5,8.0,1.25,320.65724595522147,10,10,300,True,vwap_profile_confluence,24,8,3,0.0005,True,0.8,0.5,0.01,72,0.75,68.83508186789199,39.73726712846163,12,0.0005,0.0,-0.005853997393486108,1.1843325792307018,8,-669.6659655617168,-0.4945882083647578,411.9959167136432,0.31502314287314975,0.0046875771301543015,1231.1185071745954,0.9281268845872936,0.08777069667541637,5549.406205756359,4.484271355911226,0.0,0.48234342952749754,48.234342952749756,11.465823834780478,-3.122958664144055e-05,411.99591671364317,0.31502314287314975,0.11717301958256104,52233.945313813914,126805.20623898336,78,4,11,-0.042067926079969495,1040,4.20679260799695,4.277402071448552,194.9042539378539,0.1440794891491828,0.001918842612438743,False,1.838406863251489,2.427639832242351,13,17.726393448398717,2.850728238037706,1.7352890192050414,34609.040813238236,17,0.7457126092516928,74.57126092516928,34609.1846027227,181,0.35009671179883944,2.450676982591876,0.009723780709706642,0.0,0.569060773480663,103,-0.00913088794821637,-1191.1804466070694,-0.7020489143182017,1.0,0.015,346,True,True,False,True,0.0,-0.004168113376263139,0.9188922131777334,8,-734.5834885504377,-0.47577364183608944,688.2433205604267,0.4711827998146906,0.006109013686183834,1672.2543848053238,1.1260872547881273,0.1064155962698301,6883.124025289861,5.004032080814315,0.0,0.7710289335334262,77.10289335334262,27.812205542522374,-2.8246824580080093e-05,688.2433205604269,0.4711827998146906,0.11717301958256104,54359.178152732384,178931.21917416967,74,4,11,-0.027722682127981253,779,2.7722682127981253,2.8819938665638993,443.041947248385,0.2804835114987328,0.003451829242543646,False,2.276466066648467,3.2916468801538645,15,44.93506091739346,3.603066127337906,2.1760092980977093,44272.87073626222,17,1.2457204102143724,124.57204102143724,8854.581255231178,181,0.35009671179883944,2.450676982591876,0.007207648417215483,0.0,0.5911602209944752,107,-0.0017447458293832208,-1573.6820188711663,-0.7437189187339553,0.04,0.002,150,1.0,0.25,0.08,48,0,5.016015672590767,0.4722439332136581,3.638248420688825,0.524187933067641,11,1,411.56547150371154,284,11
True,True,1.5,3.0,0.5,265.3138154766188,30,8,100,False,vwap_profile_confluence,24,6,3,0.01,True,1.5,0.33,0.005,240,0.6,74.64661770912767,24.47970112116314,48,0.005,0.0,-0.008474162098446035,1.5997117184141614,7,-949.2556012094408,-0.871611301780771,202.8019094922331,0.19110473885859242,0.0036116361795192806,562.8198815865061,0.5232035015583935,0.02734531295240661,2824.5154180820005,2.634976475645807,0.0,0.08865793953835133,8.865793953835134,2.628289531576216,-1.0375096153738395e-05,202.80190949223297,0.19110473885859242,0.03610282859215086,14238.834018141612,27015.354316152294,15,1,14,-0.033732181509387255,3661,3.3732181509387256,3.3975181918195734,77.49010313468281,0.07119834332191544,0.0009930040000000668,False,0.5929065689677476,1.8973010206967926,10,3.787635345924825,1.2460836810915037,0.695240410115798,8864.549449054191,17,0.127765202980107,12.776520298010698,8864.579954703415,63,0.1218568665377176,0.8529980657640233,0.012506586838249385,0.0,0.7619047619047619,48,-0.011010488465491353,-1077.2875524757658,-0.9579898295318966,1.5,0.006,854,True,True,False,True,0.0,-0.004675074902672717,1.186916445485064,7,-1056.1787896129238,-0.9536547402514608,353.9033084142827,0.3147847011312109,0.005009507002877704,679.3068694974844,0.6075014952964428,0.03343539637235193,3424.186784305507,3.0876019613086827,0.0,0.15515790419144615,15.515790419144615,6.250292349880807,-8.775516695326297e-06,353.90330841428283,0.3147847011312109,0.03755338866951406,12674.145475355088,35323.95721386919,12,1,15,-0.02482410349883954,3106,2.482410349883954,2.4769470397518774,21.83272112643214,0.02048087857095996,0.00020268047999994588,False,0.6431741256103446,2.7870878776448262,13,9.124120731922043,1.8247052852548558,0.8883836122743396,10399.21244374479,17,0.22649811738514036,22.649811738514035,2079.8438939034177,64,0.12379110251450677,0.8665377176015474,0.00775183091410346,0.0,0.8125,52,-0.009917420892845752,-1196.9519714846385,-0.9917420892845802,0.12,0.0005,100,0.5,0.5,0.005,72,0,2.800175576532572,0.19960050402844853,2.7683873988588683,0.7452878265993942,8,16,267.3052387133747,144,11
True,False,2.0,8.0,1.5,259.1305362566645,16,20,150,False,vwap_profile_confluence,48,8,3,0.0005,False,1.5,0.67,0.04,240,0.6,70.99649238244344,31.526811728544914,12,0.001,0.0,-0.005298614028293574,0.7591914404172057,8,-453.81016416921295,-0.38605841506328575,251.56012482604882,0.22395195614024607,0.003947585113942225,909.9057278882933,0.7932949692635426,0.08720608989579692,2993.5636377776614,2.852431956206275,0.0,0.19828334109436208,19.828334109436206,5.512879372064215,-1.7508318143459672e-05,251.56012482604893,0.22395195614024607,0.07736320412603756,25413.36919347593,54594.3436732976,56,5,5,-0.03596729181108816,2537,3.5967291811088162,3.646986326049877,85.10536063103805,0.06836272280805933,0.0010658262805154422,False,2.005036025480062,2.1482528844429236,13,8.113197577701843,2.0873295094635367,0.9051319502739064,16531.918681061306,17,0.2918097447982158,29.180974479821582,16531.980925934567,116,0.22437137330754353,1.5705996131528046,0.008181530894561856,0.0,0.5172413793103449,60,-0.021004033252163157,-759.8061387432289,-0.5833178252631627,1.0,0.04,1110,False,False,True,True,0.0,-0.00383285620084716,0.7296473274420561,8,-479.52741763856517,-0.38037958112586706,417.9051100585524,0.3455276113200449,0.005416824192689997,1122.0444779439829,0.9150855623160682,0.1091490174739358,3811.142552770337,3.2413540125320917,0.0,0.32212863753582455,32.212863753582454,10.43778295887349,-1.571689106166994e-05,417.9051100585522,0.3455276113200449,0.07736320412603756,24455.898299566827,72932.89106635886,51,5,5,-0.03086178729765336,1232,3.086178729765336,3.1209394238381645,263.06372422243555,0.18995618120725533,0.0026704155949335874,False,2.339896399395671,2.98222090119056,13,15.707772300821377,2.7786495926426165,1.3451084804269244,19743.91457424485,17,0.48476992766792043,48.476992766792044,3948.7858016362775,116,0.22437137330754353,1.5705996131528046,0.006599781863624432,0.0,0.5603448275862069,65,-0.01596066184923517,-891.693254696219,-0.5960410411612863,0.04,0.0005,150,1.25,1.0,0.04,72,0,2.147504221178325,0.3199050172681334,3.610408291578078,0.49160095619425764,10,5,341.7233374050633,145,11
True,False,3.0,12.0,1.25,241.66451639382532,40,30,80,True,momentum_volume_breakout,96,8,3,0.01,True,2.0,0.5,0.025,240,0.7,71.07445652476889,28.29858005795654,12,0.0,0.0,-0.004564449664018767,0.5792954417803562,8,-327.9431667686679,-0.29917480841978417,143.56676825973005,0.13361692238160414,0.003587551445653976,600.5687052872541,0.5530919845429497,0.03343476203714757,2972.3187588525625,2.642204032645293,0.0,0.12657654332733403,12.657654332733404,8.382670087164497,-1.5270204107953e-05,143.56676825973003,0.13361692238160414,0.08300427109356112,20660.419506426068,39036.96584367152,63,4,5,-0.015099788254955593,1318,1.5099788254955593,1.5176750722900945,39.96259526140067,0.03645411758408326,0.0009930039999998857,False,1.831319466738263,1.8894565926664626,12,12.170068895644608,1.7424823255130963,0.8546072818522183,11523.717659585544,17,0.18376546337245483,18.376546337245482,11523.759083608038,128,0.24758220502901354,1.7330754352030948,0.006040972629932627,0.0,0.5078125,65,-0.0065133524264614495,-523.7309978286794,-0.4385394447957013,1.0,0.08,1003,True,True,False,True,0.0,-0.003424033577327318,0.47614642541415286,8,-326.12974610319833,-0.2855256367662449,227.84321586478774,0.20214105404673105,0.004981470639941599,686.8493843525475,0.6062077407203398,0.040871683489963395,3446.788792457397,2.862103906761779,0.0,0.1981716518749952,19.81716518749952,19.121189488749966,-1.3422343112694321e-05,227.8432158647877,0.20214105404673105,0.08300427109356112,18915.525273985502,48079.456904678336,58,4,5,-0.010363981382622161,1158,1.036398138262216,1.0402068998244083,37.82543905798201,0.03323536974517631,0.0006693802186701107,False,2.1060617516784426,2.5417986658188103,14,28.13969897668234,2.3911321356171698,1.330282912347144,12950.5752813614,17,0.29163931630692763,29.163931630692762,2590.116844456931,128,0.24758220502901354,1.7330754352030948,0.004772873690993893,0.0,0.546875,70,-0.005689087952385541,-561.1739523245014,-0.4314815902849203,0.05,0.002,75,0.0,0.25,0.08,96,0,1.8217074769632142,0.2332516014312482,3.532975521440967,0.583418609105108,11,6,336.24373497006474,192,11
