allow_long,allow_short,atr_stop_mult,atr_tp_mult,break_even_atr,deploy_score,donchian_lookback,ema_fast,ema_slow,exit_on_flat_signal,family,max_holding_bars,min_holding_bars,mom_lookback,mom_min,move_stop_after_partial,partial_exit_atr,partial_exit_fraction,poc_distance_max,profile_lookback,profile_value_area,rsi_high,rsi_low,slope_bars,slope_min,stress_alpha,stress_avg_drawdown,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_pnl,stress_avg_r_multiple,stress_avg_trade_return,stress_avg_win,stress_avg_win_r,stress_best_month,stress_best_trade,stress_best_trade_r,stress_beta,stress_cagr,stress_cagr_pct,stress_calmar_ratio,stress_cvar_95,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_gross_loss,stress_gross_profit,stress_losing_trades,stress_max_consecutive_losses,stress_max_consecutive_wins,stress_max_drawdown,stress_max_drawdown_duration,stress_max_drawdown_pct,stress_max_drawdown_r,stress_median_pnl,stress_median_r_multiple,stress_median_trade_return,stress_pass,stress_payoff_ratio,stress_profit_factor,stress_profitable_months,stress_recovery_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_months,stress_total_return,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_trades_per_week,stress_ulcer_index,stress_var_95,stress_win_rate,stress_winning_trades,stress_worst_month,stress_worst_trade,stress_worst_trade_r,target_mode,trail_atr_mult,trend_strength_max,trial,use_break_even,use_partial_exit,use_poc_target,use_trailing_stop,validation_alpha,validation_avg_drawdown,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_pnl,validation_avg_r_multiple,validation_avg_trade_return,validation_avg_win,validation_avg_win_r,validation_best_month,validation_best_trade,validation_best_trade_r,validation_beta,validation_cagr,validation_cagr_pct,validation_calmar_ratio,validation_cvar_95,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_gross_loss,validation_gross_profit,validation_losing_trades,validation_max_consecutive_losses,validation_max_consecutive_wins,validation_max_drawdown,validation_max_drawdown_duration,validation_max_drawdown_pct,validation_max_drawdown_r,validation_median_pnl,validation_median_r_multiple,validation_median_trade_return,validation_pass,validation_payoff_ratio,validation_profit_factor,validation_profitable_months,validation_recovery_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_months,validation_total_return,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_trades_per_week,validation_ulcer_index,validation_var_95,validation_win_rate,validation_winning_trades,validation_worst_month,validation_worst_trade,validation_worst_trade_r,volatility_max,volatility_min,volume_lookback,volume_min,vwap_band_atr,vwap_distance_max,vwap_lookback,wf_gate_windows,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_win_rate,wf_positive_exp,wf_rank,wf_score,wf_total_trades,wf_windows
True,False,2.0,8.0,0.25,183.07737449993255,16,20,100,False,profile_breakout,72,8,36,0.0005,True,0.25,0.5,0.015,120,0.68,74.50795973809724,28.95610886779184,36,0.0005,0.0,-0.0230885889041169,2.7899322284334973,8,-555.1660301169132,-0.5290801847656638,18.214483663475054,0.01918473847051,0.0002512958051460609,340.00966996879504,0.32688444028672997,0.05681980838292633,2002.4777824237335,2.0047264544474945,0.0,0.019608717616529603,1.9608717616529603,0.3300357859160852,-2.363883847450171e-05,18.214483663475022,0.01918473847051,0.10145861874445966,30534.131656430236,33320.94765694191,55,6,11,-0.05941391344002711,9414,5.941391344002711,6.000889380632196,157.68185083638122,0.14867440874483856,0.004933059999999986,False,0.612446820453319,1.0912688800804589,6,0.46905107560784437,0.33497220992837545,1.044902242743916,11002.557465422808,17,0.027868160005116077,2.7868160005116076,55014.5074241357,153,0.29593810444874274,2.0715667311411994,0.0280631547856628,0.0,0.6405228758169934,98,-0.021949472835613548,-588.8202466452926,-0.5499281548228176,atr,1.0,0.04,499,True,False,False,True,0.0,-0.0040647140779759535,0.7692643107282123,8,-654.5326876457727,-0.5258208794141364,238.51219742446168,0.20592941982560145,0.003937354937708161,573.4040293257996,0.48033578204050303,0.10818831673474949,3288.8976735347424,2.8792348056760817,0.0,0.24734616533061393,24.73461653306139,11.18364441845807,-1.796070017517378e-05,238.5121974244617,0.20592941982560145,0.10307035216375211,27490.372881122446,64221.25128448958,42,3,13,-0.022116776613746853,2172,2.211677661374685,2.2186678816826273,65.00094982189947,0.05130424869333048,0.0009930040000000356,False,0.8760510210547662,2.336136056146045,13,16.607699686461903,2.379991051402429,6.160588691595105,18093.04888711759,17,0.36730878403367156,36.73087840336716,18093.121804165585,154,0.2978723404255319,2.085106382978723,0.006294123328440318,0.0,0.7272727272727273,112,-0.01237133860866435,-766.3371576767213,-0.5668950895423902,0.08,0.0005,100,0.5,0.25,0.025,120,0,5.398066006499748,0.24980192265528878,3.544215667262796,0.7528466204996214,11,1,355.42917085991115,300,11
True,True,4.0,4.0,0.25,173.59190730929453,40,8,400,True,momentum_volume_breakout,18,8,6,0.015,True,1.0,0.5,0.08,168,0.75,67.25766492252394,22.13060917614825,48,0.0005,0.0,-0.018021263964598556,1.9152381260922147,8,-385.78499887640913,-0.3872699655108657,7.151319459097199,0.007989828601193653,0.0011023486528539473,231.19395710653507,0.23335725506859586,0.025480281114452108,2288.2316319006986,2.323871734662406,0.0,0.00902665227414201,0.9026652274142011,0.1927500580378761,-2.0475474018388048e-05,7.1513194590972375,0.007989828601193653,0.11548069949230397,25076.024926966602,26356.111110144993,65,6,11,-0.0468308666987184,4880,4.68308666987184,4.774242750825838,80.41029549261796,0.08125533051374317,0.004933060000000019,False,0.5992818740487129,1.0510482098700498,8,0.2733424071379496,0.17696259634403982,0.11678480996100876,6617.823555589693,17,0.012800861831784131,1.2800861831784132,33090.14247925357,179,0.34622823984526113,2.423597678916828,0.022435986679209697,0.0,0.6368715083798883,114,-0.01764294370984887,-453.4112801207795,-0.4497103659956231,atr,1.5,0.025,64,True,False,False,True,0.0,-0.00601450041722983,0.8758386254352482,8,-382.9043635342191,-0.3550711521086483,113.37351520810094,0.10459351880063325,0.00541007546665538,307.23206159181973,0.28415003087457136,0.0387907307588351,3464.4799571548897,2.9941106889806277,0.0,0.13867836143748002,13.867836143748002,5.952034787207409,-1.4457294466964488e-05,113.37351520810095,0.10459351880063325,0.11491659279555162,19145.21817671095,39325.70388375291,50,4,12,-0.02329931971088924,3298,2.3299319710889237,2.3480922189929077,23.064761874045132,0.02143528144336687,0.0010070040000000027,False,0.8023728399333409,2.0540744702293523,13,8.661405550656664,1.8863971305957896,1.2771479225540268,8457.179180958166,17,0.20180485707042026,20.180485707042024,8457.216275838873,178,0.344294003868472,2.410058027079304,0.008618583444532422,0.0,0.7191011235955056,128,-0.009223315646537,-498.1934278450007,-0.42872074924922904,1.0,0.0,100,1.0,0.75,0.08,48,0,1.2476320599094144,0.17426092611910782,3.1304870153427586,0.7715410671111304,11,2,326.1956029688793,346,11
True,True,1.5,3.0,0.25,74.57613350077409,55,10,400,True,vwap_pullback,72,8,24,0.01,True,1.5,0.25,0.04,72,0.68,63.523674348935145,24.46935809668013,24,0.0025,0.0,-0.12813147074328748,14.41984439795424,8,-706.4598718742125,-0.8066680213675294,-76.37100027633686,-0.0829284843252467,-0.001980745730639609,244.47179937166112,0.2856014639846273,0.02504246024322776,1772.1175012457497,2.0480562512940774,0.0,-0.13672078649466146,-13.672078649466146,-0.6360115823782142,-5.4678191730097965e-05,-76.3710002763369,-0.0829284843252467,0.15875574180030622,58636.16936555965,39848.903297580764,83,3,14,-0.21496587528080316,12362,21.496587528080315,23.925851893693093,153.99059614316928,0.17995288462453024,0.004933060000000022,False,0.34605192609608,0.6795959512489281,6,0.8739650441465524,-1.5759950120619919,-0.5972963116653501,17054.802470055856,17,-0.18787266067978942,-18.78726606797894,85276.10094121199,246,0.4758220502901354,3.3307543520309477,0.14707003145735317,0.0,0.6626016260162602,163,-0.04901592730258819,-989.73608223314,-1.0009505769479243,atr,2.0,0.006,573,True,True,False,True,0.0,-0.01791753180018577,2.2146015242225903,8,-983.3860187934589,-0.8981427434149717,96.81665305434996,0.09038618848936575,0.001631206113190061,415.192177388441,0.38174208420853883,0.06456538861423122,3576.0430501135334,3.265972346354867,0.0,0.16291273206983425,16.291273206983426,2.235348849828534,-4.106854224309914e-05,96.81665305434993,0.09038618848936575,0.1586751551293416,55069.61705243373,78886.51370380378,56,2,18,-0.07288022721032145,3648,7.288022721032145,7.113599326554209,66.48878049246413,0.06004434228035664,0.0010070040000000361,False,0.4222067117629461,1.4324870577671376,10,3.2679503842157347,1.341762760698377,0.7142582148653502,31937.60819315525,17,0.2381689665137,23.81689665137,31937.69588535419,246,0.4758220502901354,3.3307543520309477,0.02428848359297629,0.0,0.7723577235772358,190,-0.027087638856328033,-1204.7130980225613,-1.0009378732809804,0.05,0.0005,50,1.0,0.75,0.08,48,0,3.2764312839081526,0.22996820349073088,2.438523240417808,0.7745535587046564,10,3,302.9213875095634,385,11
True,False,2.5,2.0,0.4,114.36392804956677,16,8,80,True,daily_vwap_pullback,96,8,18,0.0005,True,1.5,0.25,0.01,48,0.68,76.73786982806497,28.728124806898325,12,0.0,0.0,-0.049180441820669635,5.606724023068385,8,-439.2297021063517,-0.4282334016577962,0.8422625370207865,0.0022867307889393807,-7.893212945936567e-05,297.0445464315984,0.2920598968588576,0.03769170145947198,5275.18399021998,5.123549176943088,0.0,0.001035149445393957,0.10351494453939569,0.010836102149590325,-2.436308364438047e-05,0.8422625370208152,0.0022867307889393807,0.11217664598275445,30746.079147444627,30892.632828886228,70,10,8,-0.09552784120193,8947,9.552784120193,9.989886936527036,139.94456152883083,0.13800448555643965,0.004933059999999967,False,0.6762851988540483,1.0047665811545854,10,0.015341462718893917,0.03883181638984916,0.02547198722990659,11340.196307730967,17,0.0014655368144158275,0.14655368144158273,56702.68627456084,174,0.3365570599613153,2.355899419729207,0.06026062423841751,0.0,0.5977011494252874,104,-0.03801685893923856,-542.3627892029949,-0.5013508374920089,atr,1.0,0.04,914,True,True,False,True,0.0,-0.006838668145122477,1.1563154884526117,8,-493.6217834193661,-0.41277375747084155,184.97482030917016,0.16311530921177997,0.003810821904375736,466.3441438063682,0.40189858076311086,0.0677364380841956,8015.8237186278675,7.180546378032546,0.0,0.2179071550899867,21.79071550899867,6.875297070059195,-1.7135906903551417e-05,184.97482030917018,0.16311530921177997,0.11217664598275445,25174.710954387672,57360.32968818332,51,7,10,-0.03169421668176886,2101,3.169421668176886,3.2133242073731374,60.06557709301089,0.049961269012997654,0.0009930040000000412,False,0.9447397976968458,2.2784901003276885,12,10.155044706408335,1.9988338005418786,1.9014033794036982,17774.364371806572,17,0.3218561873379556,32.185618733795565,17774.432106220775,174,0.3365570599613153,2.355899419729207,0.01122098906798795,0.0,0.7068965517241379,123,-0.0231457108605434,-604.4753655374169,-0.5001173872574848,0.05,0.0,20,1.5,0.25,0.025,72,0,3.0614160551532184,0.1977518338908208,2.709938620044937,0.6971617464257508,10,4,294.08373015087295,282,11
False,True,5.0,3.0,0.5,115.17445986604105,20,50,80,False,vwap_pullback,72,8,3,0.015,True,1.0,0.5,0.04,168,0.7,73.02360593914908,25.146882434482148,24,0.001,0.0,-0.039035719850258485,3.902294344558307,8,-257.7810574282476,-0.2673041752296958,-26.947024240738784,-0.02758044894270847,-0.0019894283869618203,165.69144949847725,0.17247676148384217,0.0046948189636490945,1320.2275983041397,1.3754365977439786,0.0,-0.04905035756449594,-4.905035756449594,-0.6723989417475704,-2.5272870100778125e-05,-26.947024240738784,-0.02758044894270847,0.16770086227737932,29902.60266167672,23031.111480288335,116,6,5,-0.07294829679091054,12397,7.2948296790910545,7.490042468404197,53.125311107202,0.05483296681841355,0.005067060000000041,False,0.6427603763887766,0.7702042441210339,5,0.9419673225659904,-1.183471898421387,-1.1440759897916415,8471.423143909973,17,-0.06871491181388323,-6.871491181388323,42358.214673215334,255,0.4932301740812379,3.4526112185686655,0.043315785264621605,0.0,0.5450980392156862,139,-0.012073652903407228,-345.93074410274653,-0.3587217993457109,atr,1.0,0.08,523,True,False,True,True,0.0,-0.0034817685251261055,0.35410799538760845,8,-241.86951827781172,-0.21402087793571545,98.61945881084128,0.08844053847237035,0.003706857748471443,242.3814713593837,0.21614646984467326,0.028030840707196747,1851.65554174076,1.7068839804220926,0.0,0.17238326149136007,17.238326149136007,12.865372687802164,-1.3301919138955204e-05,98.61945881084132,0.08844053847237035,0.1683455556450963,18382.08338911369,43628.66484468907,76,4,11,-0.01339901032597361,1261,1.339901032597361,1.347311132293214,27.673809024658823,0.02459964394287343,0.0010070040000001548,False,1.0021166498582263,2.373434170716852,15,18.842124038546075,3.1030467934012536,3.647623252324999,11800.114276294698,17,0.25246581455575445,25.246581455575445,11800.163123152888,256,0.4951644100580271,3.4661508704061896,0.0047167021534426255,0.0,0.703125,180,-0.002185181211997733,-341.42227441304146,-0.30602961323756417,0.12,0.0,150,0.5,1.5,0.01,24,0,1.7307385147895757,0.0862661371399958,2.5981477824043555,0.6880451480445582,11,5,268.59597474189985,482,11
True,True,1.5,1.0,0.25,-101.17095265348719,20,30,300,False,daily_vwap_pullback,36,6,12,0.01,True,1.0,0.33,0.04,72,0.75,58.820849885113525,28.32237043004929,24,0.0025,0.0,-0.19444549683954573,21.946111076686215,6,-472.5043894795113,-0.5880452036589132,-71.07897839117109,-0.09013889976945041,-0.0021480726526009034,252.04983548798816,0.3106525522777952,0.030754037452627836,5480.816214014616,6.226485484239396,0.0,-0.314796013187855,-31.479601318785498,-0.7573808243438459,-0.00012651365573133422,-71.07897839117112,-0.09013889976945041,0.28600209525344505,122851.14126467287,81412.09686262014,260,9,11,-0.415637685916563,12365,41.563768591656306,52.76441496728355,117.67704385146479,0.1643268975012806,0.004933059999999967,False,0.5334338497164745,0.6626889748400818,2,0.9969992088342877,-2.6373228278089957,-2.8423940491175843,38794.580869430465,17,-0.4143904440205275,-41.43904440205275,193977.6876777539,583,1.127659574468085,7.8936170212765955,0.23121646383149086,0.0,0.5540308747855918,323,-0.06923589797491181,-629.3378207396543,-0.6397881090344923,atr,1.0,0.006,1303,True,True,True,True,0.0,-0.01054202659855223,1.4307922046257675,6,-1022.2687914350689,-0.655990956273967,172.8197903506887,0.12317935529250243,0.0021161687427973066,586.0747205009038,0.39261207985287033,0.15746499157915328,12926.812954271752,9.867605229046708,0.0,0.6291892496843385,62.918924968433856,11.463356245143018,-8.089576705312526e-05,172.8197903506886,0.12317935529250243,0.2850350552018696,151295.7811323902,250839.9803743871,148,4,19,-0.05488700134839862,1091,5.488700134839862,5.595734840682908,97.8122543868661,0.0629937272270116,0.0010070040000000756,False,0.5733078476142929,1.6579443160737675,14,18.136206532787973,2.552359664742685,5.420482008669726,105927.35410627424,17,0.9954419924199694,99.54419924199695,105927.66550548738,576,1.114119922630561,7.7988394584139265,0.015230556785705578,0.0,0.7430555555555556,428,-0.012397427667918515,-1449.0944937246686,-0.7040885418238536,0.04,0.0,100,0.5,1.0,0.04,72,1,6.656047663025522,0.13346322824960277,1.8708271484762002,0.7309467277674847,10,6,256.2239023468961,891,11
True,False,1.5,0.8,0.5,164.0462716074726,16,8,80,True,profile_value_reject,48,8,12,0.005,False,0.5,0.25,0.04,72,0.7,70.91964223286205,30.973274108066708,48,0.005,0.0,-0.017648348868903884,1.8428543750451942,8,-551.1941107275749,-0.5535079228918331,1.2118524064693805,0.0023954116391007928,0.0011816664855014143,335.22476034798456,0.33852300926245615,0.01521865395707156,1499.7111025655317,1.5310932388236653,0.0,0.0005906704195794976,0.05906704195794976,0.017414131048237132,-1.1638662349524998e-05,1.2118524064694043,0.0023954116391007928,0.04448384237247159,14331.046878916944,14414.66469496333,26,3,7,-0.033919029203544004,9178,3.3919029203544007,3.4376361163814773,169.37411562045924,0.17091967016948537,0.004933059999999985,False,0.6081791402043261,1.0058347318763852,10,0.024652184337169588,0.02853649457017287,0.007228085309157459,5157.330330203562,17,0.0008361781604636053,0.08361781604636054,25787.427360405258,69,0.13346228239845262,0.9342359767891684,0.02017044277470206,0.0,0.6231884057971014,43,-0.021739455613820957,-636.682006123925,-0.6341038839748685,value_area,1.0,0.08,792,True,False,False,True,0.0,-0.0037484465861346676,0.8647487128967294,8,-653.1305770420638,-0.5894603068623679,358.2063076085259,0.32318931275359686,0.007694323488508207,715.1487374852045,0.6453009432062904,0.053242684894305725,2614.3374664434314,2.4274184858481807,0.0,0.16887385887312645,16.887385887312647,6.96288384858566,-8.586457492532707e-06,358.20630760852566,0.32318931275359686,0.04448384237247159,11756.350386757149,36472.58561174544,18,2,11,-0.02425343615453661,1316,2.4253436154536607,2.445891064202315,322.28334131571023,0.3264067367747753,0.004720753215299752,False,1.0949552243044756,3.102373135529348,12,10.190817939158332,2.4243981186620798,1.0747832925468788,8501.210044588915,17,0.24716235224988298,24.7162352249883,8501.251763285498,69,0.13346228239845262,0.9342359767891684,0.006558868392384068,0.0,0.7391304347826086,51,-0.012270722561354086,-853.3869834520302,-0.6937605368239974,1.0,0.001,30,1.5,0.75,0.04,48,0,3.4794520539939735,0.13767469291011952,3.1310717782378386,0.7185339912612639,8,7,252.96811250123625,132,11
True,False,2.5,4.0,0.4,-122.31364198691405,40,10,100,True,momentum_volume_breakout,8,6,24,0.0005,True,2.0,0.5,0.025,96,0.6,65.548501605028,38.10775152728698,6,0.0005,0.0,-0.18700368501076875,19.204335935774054,6,-298.61033869448096,-0.35333283861471887,-154.3102464877786,-0.17842349799864615,-0.005741406571989124,306.74614568485583,0.38043317567709845,0.010748574119042065,1296.9012596806178,1.7813319704842794,0.0,-0.1958038162165201,-19.58038162165201,-0.7065861258972562,-3.742751019530053e-05,-154.31024648777858,-0.17842349799864615,0.0836489644612781,39117.954368977,12576.591973079085,131,16,3,-0.27711245528332334,12370,27.711245528332334,32.32298015984462,-275.7043953664106,-0.32257544129509574,-0.011094936066499743,False,1.0272455636531022,0.3215043367158563,2,0.9577830909390789,-3.8390577445992107,-1.3234122104582071,8641.362372932284,17,-0.2654136239589787,-26.54136239589787,43207.444550774206,172,0.33268858800773693,2.3288201160541586,0.20351586107880298,0.0,0.23837209302325582,41,-0.06217596436750672,-493.37998120718817,-0.49819452215804216,atr,1.0,0.006,1412,False,True,False,True,0.0,-0.02546275717808412,2.632344401494258,6,-322.51677001187335,-0.32270469297445015,36.20550450767461,0.03652802685535086,0.0011597669771227991,495.3700158926959,0.4963459082374961,0.03743257664440436,2462.738838967496,2.3873271327228514,0.0,0.043351983144117145,4.3351983144117145,0.745513921485975,-2.5119314461645404e-05,36.20550450767456,0.03652802685535086,0.083246031106455,30961.60992113984,37152.7511919522,96,11,5,-0.05815046760992338,9676,5.815046760992338,5.903245559442235,-112.37924694695937,-0.11330693574116502,-0.0029208166701158015,False,1.535951187513316,1.1999618652447785,9,1.0646760938093973,0.6284726427979475,0.2704839935104111,13578.612606123084,17,0.0619114127081231,6.19114127081231,13578.645954522066,171,0.3307543520309478,2.3152804642166345,0.030370663613146717,0.0,0.43859649122807015,75,-0.013054316363943275,-499.8319514032629,-0.4952823962970534,0.12,0.002,50,1.25,1.0,0.015,24,0,2.525770498076625,0.1653030524453005,2.5635541226004297,0.48733161563579197,10,8,248.4960891844772,289,11
True,False,1.5,12.0,0.5,-19.137739965129015,40,10,150,True,momentum_volume_breakout,96,8,18,0.01,True,0.5,0.5,0.08,48,0.7,74.7590405659823,29.82033808534574,12,0.0005,0.0,-0.12506816466482762,12.236161716064391,8,-653.5139358160307,-0.7300620329339995,-159.48664689298005,-0.17619530565406302,-0.004191656190700117,261.8895701296219,0.2962204323200005,0.013539655601318534,2176.8829154336527,2.727407406091793,0.0,-0.14656733911909992,-14.656733911909992,-0.7021554689065561,-3.431409879268394e-05,-159.48664689298005,-0.17619530565406302,0.0814731243452333,37903.80827732978,17808.490768814292,58,10,11,-0.2087391548019194,12368,20.87391548019194,23.24745479701416,144.14584734529024,0.16518280113419642,0.004933059999999892,False,0.4007406051756269,0.46983381296452814,4,0.9626999557215196,-2.2713129496273523,-1.121903230434104,9342.486508662767,17,-0.20095317508515523,-20.095317508515524,46713.331555827244,126,0.2437137330754352,1.7059961315280465,0.14266963116768794,0.0,0.5396825396825397,68,-0.03708740386262366,-823.8765941706481,-0.8428860822133645,value_area,1.5,0.006,518,True,True,False,True,0.0,-0.08063358189257332,8.886669638617802,8,-829.8932445456554,-0.8246277223070082,12.356493200526177,0.015460273502023237,0.0002897621407946656,428.2822896183937,0.43031854303734735,0.048674565536498404,3937.776713055041,3.989942236564212,0.0,0.010539800423321921,1.0539800423321921,0.07464276336490872,-2.6758423697801874e-05,12.356493200526188,0.015460273502023237,0.07913611088725925,33195.729781826216,34690.865459089895,40,4,11,-0.14120324527369957,9968,14.120324527369958,15.130507165318354,57.76806956478035,0.058846331768048404,0.000993004000000011,False,0.5160691359198458,1.045040000237688,9,0.10588536222135594,0.14793153436675666,0.061578096165521755,15174.877852243928,17,0.014951356772636645,1.4951356772636644,15174.909697166286,121,0.23404255319148937,1.6382978723404256,0.09260472574193321,0.0,0.6694214876033058,81,-0.030207728220468688,-1021.1100467667889,-0.9493536844305005,0.04,0.001,75,0.5,1.5,0.01,240,0,2.8895131832249152,0.20995323548355047,2.0697416090482466,0.6551809301809302,8,9,242.98237311840862,146,11
True,False,1.5,2.0,0.25,71.34788016021886,20,50,150,True,vwap_profile_confluence,12,8,36,0.01,True,0.8,0.25,0.005,72,0.75,68.83741292160428,33.52951313128822,36,0.005,0.0,-0.05975619064932863,5.215547579096483,8,-697.4794939867844,-0.7364281843459147,-125.3025353086078,-0.1301541071265447,-0.0029099189838136842,322.03581420342124,0.343841989608599,0.05877517557071488,5870.480034423817,6.370370151770169,0.0,-0.08840578100463214,-8.840578100463215,-0.7013380397289509,-2.5634592347506134e-05,-125.30253530860779,-0.1301541071265447,0.06366347006205174,29991.61824143173,17711.969781188167,43,3,8,-0.12605302435726815,12367,12.605302435726815,13.137382603584804,156.5863500182606,0.16201643751121764,0.004933059999999908,False,0.4617136661074699,0.5905639915328103,2,0.9741653183536297,-1.0583341682325167,-0.2970841315240473,7651.744083915041,17,-0.12279648460243596,-12.279648460243596,38259.561210995664,98,0.1895551257253385,1.3268858800773695,0.06982188352561056,0.0,0.5612244897959183,55,-0.04159268131230953,-963.9121879268589,-0.9990659660066579,atr,2.0,0.025,787,True,True,False,True,0.0,-0.02221507221046018,2.120411416293517,8,-865.6391617622697,-0.8384082416097813,58.696898328446615,0.06628150205024548,0.0016248766026392436,405.32292086246525,0.4055401559227556,0.09837289355217926,9570.057576651381,9.932965966076344,0.0,0.04071186236435764,4.071186236435764,0.6835133111649319,-1.8325421963343378e-05,58.69689832844662,0.06628150205024548,0.06406640341687485,23372.25736758128,29183.250302097502,27,3,13,-0.05956264742667735,4192,5.956264742667735,6.1044941675708815,61.92259843233261,0.05815572207350649,0.000993004000000003,False,0.46823542506707777,1.2486278001788744,7,0.9756102499758113,0.37902190048298395,0.14765789105457935,12684.203779907315,17,0.0581099293451618,5.81099293451618,12684.234959338259,99,0.19148936170212766,1.3404255319148937,0.028415470317075513,0.0,0.7272727272727273,72,-0.04780028414620796,-1096.4340249937427,-0.9991774745675474,0.05,0.0005,30,0.0,1.5,0.015,120,0,3.429464004190878,0.10856610261460324,2.80810766010399,0.8142383892806072,8,10,239.50096997123745,137,11
