allow_long,allow_short,atr_stop_mult,atr_tp_mult,break_even_atr,deploy_score,donchian_lookback,ema_fast,ema_slow,exit_on_flat_signal,family,max_holding_bars,min_holding_bars,mom_lookback,mom_min,move_stop_after_partial,partial_exit_atr,partial_exit_fraction,poc_distance_max,profile_lookback,profile_value_area,rsi_high,rsi_low,slope_bars,slope_min,stress_alpha,stress_avg_drawdown,stress_avg_drawdown_r,stress_avg_holding_bars,stress_avg_loss,stress_avg_loss_r,stress_avg_pnl,stress_avg_r_multiple,stress_avg_trade_return,stress_avg_win,stress_avg_win_r,stress_best_month,stress_best_trade,stress_best_trade_r,stress_beta,stress_cagr,stress_cagr_pct,stress_calmar_ratio,stress_cvar_95,stress_expectancy,stress_expectancy_r,stress_exposure_pct,stress_gross_loss,stress_gross_profit,stress_losing_trades,stress_max_consecutive_losses,stress_max_consecutive_wins,stress_max_drawdown,stress_max_drawdown_duration,stress_max_drawdown_pct,stress_max_drawdown_r,stress_median_pnl,stress_median_r_multiple,stress_median_trade_return,stress_pass,stress_payoff_ratio,stress_profit_factor,stress_profitable_months,stress_recovery_factor,stress_sharpe_ratio,stress_sortino_ratio,stress_total_fees,stress_total_months,stress_total_return,stress_total_return_pct,stress_total_slippage,stress_total_trades,stress_trades_per_day,stress_trades_per_week,stress_ulcer_index,stress_var_95,stress_win_rate,stress_winning_trades,stress_worst_month,stress_worst_trade,stress_worst_trade_r,target_mode,trail_atr_mult,trend_strength_max,trial,use_break_even,use_partial_exit,use_poc_target,use_trailing_stop,validation_alpha,validation_avg_drawdown,validation_avg_drawdown_r,validation_avg_holding_bars,validation_avg_loss,validation_avg_loss_r,validation_avg_pnl,validation_avg_r_multiple,validation_avg_trade_return,validation_avg_win,validation_avg_win_r,validation_best_month,validation_best_trade,validation_best_trade_r,validation_beta,validation_cagr,validation_cagr_pct,validation_calmar_ratio,validation_cvar_95,validation_expectancy,validation_expectancy_r,validation_exposure_pct,validation_gross_loss,validation_gross_profit,validation_losing_trades,validation_max_consecutive_losses,validation_max_consecutive_wins,validation_max_drawdown,validation_max_drawdown_duration,validation_max_drawdown_pct,validation_max_drawdown_r,validation_median_pnl,validation_median_r_multiple,validation_median_trade_return,validation_pass,validation_payoff_ratio,validation_profit_factor,validation_profitable_months,validation_recovery_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_total_fees,validation_total_months,validation_total_return,validation_total_return_pct,validation_total_slippage,validation_total_trades,validation_trades_per_day,validation_trades_per_week,validation_ulcer_index,validation_var_95,validation_win_rate,validation_winning_trades,validation_worst_month,validation_worst_trade,validation_worst_trade_r,volatility_max,volatility_min,volume_lookback,volume_min,vwap_band_atr,vwap_distance_max,vwap_lookback,wf_gate_windows,wf_max_dd_r,wf_mean_exp_r,wf_mean_pf,wf_mean_win_rate,wf_positive_exp,wf_rank,wf_score,wf_total_trades,wf_windows
True,True,4.0,2.0,0.25,203.61009703509868,30,30,400,True,vwap_pullback,18,8,36,0.01,False,0.6,0.33,0.015,168,0.8,77.06877833074559,41.185181075578086,12,0.001,0.0,-0.0033567555310814513,0.4753888827114495,8,-293.40686056144904,-0.28729743798631335,42.44060671499017,0.041889546329178656,0.0028603053946147533,172.30162739521333,0.16917518026450223,0.012126966423245067,1221.2711198063987,1.2216500363231004,0.0,0.03098451977000871,3.098451977000871,2.221135107302754,-6.7555547730504394e-06,42.44060671499017,0.041889546329178656,0.06704811024256588,8508.798956282022,12922.622054641,29,3,8,-0.013949858191037693,2514,1.3949858191037694,1.399636145084317,76.6142995167238,0.07626789583324076,0.004933060000000115,False,0.587244712224879,1.5187363247195147,11,3.1640630592178383,1.1119304012897508,0.48591714060463487,3228.0045515899155,17,0.044138230983589745,4.413823098358974,16140.617319073634,104,0.2011605415860735,1.4081237911025144,0.004820855251228915,0.0,0.7211538461538461,75,-0.005243274152224697,-351.28916581514915,-0.3519674047354692,poc,1.0,0.01,863,True,True,False,True,0.0,-0.0014869248051951097,0.28379550572866724,8,-276.3809176949821,-0.25884754438290825,120.55119905610596,0.11411278927187543,0.006734481370844482,227.04518159908082,0.2141753178134027,0.02358929940331289,1543.056575486459,1.4935023440432125,0.0,0.08702616218233228,8.702616218233228,15.10896314102258,-4.6200275648417494e-06,120.55119905610596,0.11411278927187543,0.06704811024256588,6080.380189289604,18617.70489112463,22,2,11,-0.005759903003935869,1058,0.5759903003935869,0.5768220945654843,33.91049870212002,0.03169679688133106,0.0016535488000500608,False,0.8214936960649762,3.0619310489694587,15,21.766555258427207,2.465707020495588,1.3845071406172842,3852.9010689905617,17,0.12537324701835095,12.537324701835095,3852.9213121374164,104,0.2011605415860735,1.4081237911025144,0.002283997525807702,0.0,0.7884615384615384,82,-0.0020598219256551253,-323.9534590985602,-0.29900458323295176,0.08,0.0,50,1.25,0.25,0.04,96,0,1.7080484948111565,0.09122979310806753,2.5131244005928437,0.7223365749083452,9,1,236.9404069834352,180,11
True,True,6.0,3.0,1.0,160.48337852580136,10,8,150,True,profile_breakout,20,8,12,0.015,True,0.5,0.25,0.01,120,0.75,67.77427909106356,38.5606197299501,6,0.0,0.0,-0.0048658216871742795,0.6178198475367569,8,-162.2973345406099,-0.15786321443905593,29.574817024512434,0.029451281545548682,0.002381612568292739,203.45895438040458,0.1992050435315966,0.02191315607365718,2160.4224258044364,2.1381489634373128,0.0,0.025357766054300512,2.5357766054300512,1.6764330490948915,-7.41742258381826e-06,29.574817024512456,0.029451281545548682,0.07865259086147151,9413.245403355377,13021.37308034589,58,4,6,-0.015126023713259057,5102,1.5126023713259056,1.5208328523663353,25.369133783433952,0.024510630371327086,0.0049330599999999275,False,1.253618581945936,1.3833032628368942,10,2.385377509244384,0.8024762641536226,0.31238160362671624,2627.9152399173463,17,0.03608127676990538,3.608127676990538,13140.06060217459,122,0.23597678916827852,1.6518375241779497,0.006350759400047599,0.0,0.5245901639344263,64,-0.005956996583581509,-264.328699892044,-0.25436374814853646,atr,1.0,0.04,1599,True,True,False,True,0.0,-0.0008805938575761846,0.18427885485418063,8,-140.57247167144237,-0.13066973701611978,111.4529150110223,0.10506905735850575,0.00861913121636557,258.74047865661856,0.2428384826423778,0.02940810620267964,2619.2826916289573,2.5459877196484797,0.0,0.09424924114598698,9.4249241145987,18.188499139195102,-4.768581757947775e-06,111.45291501102234,0.10506905735850575,0.07865259086147151,6325.7612252149065,19923.01685655963,45,4,6,-0.00518180419531624,1002,0.518180419531624,0.5184802210677333,48.953333925453684,0.04393010387624123,0.004728732240559087,False,1.8406198281934478,3.1495050393532327,15,26.24038871178332,2.389988580058044,1.3213338726185475,3036.811761141067,17,0.1359725563134477,13.59725563134477,3036.8314320397226,122,0.23597678916827852,1.6518375241779497,0.0014878895916460779,0.0,0.6311475409836066,77,-0.002112213554840814,-227.83431024539587,-0.2015735344867918,0.12,0.002,100,1.25,1.0,0.025,72,0,1.3002992307457946,0.06437938881538531,2.1273899162695256,0.5719385499261661,10,2,212.17545308178086,235,11
True,False,3.0,6.0,0.25,405.3599759471904,40,50,100,True,daily_vwap_pullback,20,8,36,0.01,True,0.25,0.5,0.015,48,0.68,58.90478648548119,44.96345346021366,6,0.001,0.0,-0.010153490466163468,1.1645618456087063,8,-394.12070991875987,-0.3737901707499936,32.5210969470666,0.0318895691051616,0.0017694076103633204,251.93688333520595,0.24052486388781283,0.03646021009651923,1914.4560839450112,1.797896840098412,0.0,0.06014226745373885,6.014226745373885,1.7070130686689775,-2.750029867366916e-05,32.52109694706661,0.0318895691051616,0.17132726247078733,35470.8638926884,44088.954583661034,90,5,15,-0.03523245870673623,1561,3.523245870673623,3.561110735710596,100.03964571425696,0.09359805762747302,0.004933059999999989,False,0.6392378705172274,1.2429625260057193,10,2.4460656472223214,0.9711171419321978,0.7532081762374213,11814.156026742305,17,0.08618090690972648,8.618090690972648,59072.76775907285,265,0.5125725338491296,3.588007736943907,0.012607117698107432,0.0,0.660377358490566,175,-0.012554313388793203,-464.29354866935523,-0.4459842435304998,value_area,1.0,0.04,2464,True,False,False,True,0.0,-0.0031777049518503723,0.484242631849796,8,-420.4275193538464,-0.3375796191309589,205.5667416675347,0.1654135030250033,0.006631579234144985,381.81755302306925,0.3070329257679441,0.05905471309449162,3102.6149777772107,2.4792629341915076,0.0,0.35836438172885865,35.83643817288586,21.29876046042045,-1.6046236608421236e-05,205.56674166753476,0.1654135030250033,0.17076315577403497,24384.796122523087,78654.41592275223,58,4,15,-0.01682559801519005,956,1.682559801519005,1.693249493865391,37.24111570252885,0.030056358326692907,0.0009930040000000597,True,0.9081649878910956,3.225551508716649,15,32.25419967316157,3.8253500737403137,2.9484499449358372,16999.533712291843,17,0.542696198002291,54.269619800229094,16999.62198106643,264,0.5106382978723404,3.574468085106383,0.005552704286547602,0.0,0.7803030303030303,206,-0.004806452399791161,-596.0586627327299,-0.41503784115456605,0.08,0.0005,100,0.75,1.0,0.025,72,0,3.7898805478313595,0.09854741258866438,1.9956342810272316,0.6919005761529622,8,3,205.03546152510404,412,11
True,False,2.0,0.8,0.5,97.57908038625938,10,30,100,True,vwap_profile_confluence,24,8,6,0.005,True,2.0,0.25,0.08,72,0.7,59.91198758593604,30.959716779478896,48,0.0005,0.0,-0.03897280934253932,4.217487562457833,8,-437.1068926024443,-0.44753028324839333,-2.992084895553631,-0.0017935265176645566,4.8557944408586256e-05,280.8522124512595,0.2896497374985811,0.03560239354186345,2305.3949692116958,2.4209630768373644,0.0,-0.004549074192986335,-0.45490741929863354,-0.05147875225033068,-3.0982304997649e-05,-2.99208489555366,-0.0017935265176645566,0.13860907405915063,37154.08587120777,36510.78761866375,85,7,11,-0.0883679963893669,7824,8.836799638936691,9.162644821502404,97.57749940195487,0.09923126594165536,0.00493305999999994,False,0.6425252431484741,0.9826856659917844,11,0.07279765060074347,-0.03724415655761379,-0.017267345841662503,11445.10830655659,17,-0.006432982525440893,-0.6432982525440893,57227.242259090264,215,0.4158607350096712,2.9110251450676983,0.047403051673077234,0.0,0.6046511627906976,130,-0.04104227331634236,-546.0923034977835,-0.5461013270477197,poc,1.0,0.04,535,True,True,True,True,0.0,-0.0047747557667664935,0.8128334221850808,8,-528.3631110185432,-0.44611359800929457,207.65433831610466,0.1738265809122386,0.0049088071140182925,479.5588737390957,0.40284906739280496,0.07422944868010184,3921.5534727016266,3.5013532950652237,0.0,0.29793386176255465,29.793386176255467,12.698142984754142,-2.112038909847286e-05,207.65433831610474,0.1738265809122386,0.13860907405915063,30645.0604390755,75290.74317703802,58,5,11,-0.02346278996230118,1359,2.3462789962301183,2.3690441988281634,55.44769437566985,0.04736698142438562,0.0009930040000000796,False,0.9076312553589028,2.4568639153680647,15,19.028292376864385,2.703175989847488,2.005826008923354,17896.260999891736,17,0.4464568273796258,44.64568273796258,17896.341438175932,215,0.4158607350096712,2.9110251450676983,0.007526147880411252,0.0,0.7302325581395349,157,-0.010761841426868202,-759.0787786013486,-0.547173274101649,0.12,0.0005,100,1.0,1.5,0.04,240,0,6.207718549582895,0.10387190674241867,2.125610082040641,0.6211587583956005,8,4,196.28764006939818,347,11
True,False,1.5,8.0,0.25,417.9975100987564,16,50,400,False,daily_vwap_pullback,20,8,24,0.005,True,0.8,0.33,0.01,72,0.75,77.80466774549431,25.714046661206407,24,0.005,0.0,-0.009808910884563917,1.58500799099066,8,-641.7428448605413,-0.6103222773867846,62.20558386073504,0.06107439720181135,0.0021245507370695185,364.83761863810616,0.3497122199221424,0.04350276189826263,3064.199563987046,2.928382738498123,0.0,0.06633626176864982,6.633626176864982,1.7955645542927299,-2.2823205235177694e-05,62.205583860735004,0.06107439720181135,0.10016923200902571,29520.17086358489,39037.62519427739,46,4,9,-0.036944515088614883,2724,3.6944515088614884,3.7504498733721867,154.13599695767326,0.14917048583925221,0.004933059999999991,False,0.5685106138072953,1.3224051234213186,8,2.5761481258757812,0.9144706670641207,0.8951136969282047,10373.796983034816,17,0.09517454330692475,9.517454330692475,51870.77896593052,153,0.29593810444874274,2.0715667311411994,0.01392733721787972,0.0,0.6993464052287581,107,-0.02790258987735117,-708.5495068512691,-0.6437137505315471,value_area,1.0,0.006,473,True,True,False,True,0.0,-0.0038151516009803585,0.7379975660805376,8,-835.9346929684469,-0.6681667853712693,324.52098650766345,0.26689578258136964,0.006314296335591012,595.9178792883665,0.48557977024771254,0.07846390654368984,5448.400224921773,4.223687542202573,0.0,0.3295101450089968,32.951014500899674,16.03459313964583,-1.57740449167753e-05,324.52098650766334,0.26689578258136964,0.10137803207349505,24242.10609608496,73893.81703175744,29,2,14,-0.020549953599650547,1495,2.0549953599650546,2.0614067347232825,72.22718602585856,0.053535247951405386,0.0009930040000001175,True,0.712876118554467,3.04815995519841,12,24.16147106848787,2.7766222269940783,7.250230972140981,16653.06807023405,17,0.49651710935672483,49.65171093567248,16653.151028163196,153,0.29593810444874274,2.0715667311411994,0.005831722535415582,0.0,0.8104575163398693,124,-0.006172385143629278,-1022.8031133458002,-0.6897844559646851,0.08,0.001,50,1.0,0.75,0.015,168,0,3.353664385972493,0.09301557645272746,3.011716447107898,0.6545158612309248,5,5,191.31829224272914,175,11
True,True,3.0,1.0,0.5,81.50742694428567,16,50,400,True,vwap_value_rotation,96,8,12,0.0005,False,2.0,0.67,0.025,48,0.75,68.07688790168889,27.035359864568775,24,0.0025,0.0,-0.03410292592056701,3.4288035980329146,8,-346.000914673606,-0.3569022975983652,-57.79076638797873,-0.05899984946553042,-0.003282199129358877,204.68633294357466,0.21230416579830136,0.009574982258149456,1724.6196762577893,1.783285778447697,0.0,-0.04409337752117348,-4.409337752117349,-0.6696494864234331,-1.473608903620196e-05,-57.79076638797878,-0.05899984946553042,0.06898219034571682,17646.04664835391,11462.434644840183,51,5,7,-0.06584545857964316,12187,6.584545857964316,6.742820806212238,70.73597325030936,0.07099222557290409,0.004933059999999892,False,0.5915774330731524,0.6495752206293438,5,0.9391098698225877,-1.175743351419985,-0.47566109914865723,4260.402607976384,17,-0.06183612003513728,-6.183612003513728,21302.49752208488,107,0.20696324951644102,1.448742746615087,0.03739645788059933,0.0,0.5233644859813084,56,-0.017415516347934146,-404.37178513490744,-0.41714819246839874,atr,1.0,0.08,728,True,True,False,True,0.0,-0.0050926149700795936,0.5668733959423339,8,-323.6091103849068,-0.3158187919380011,47.98660879540404,0.04770959073839361,0.0014773906434064684,261.1076830311705,0.2562038102145611,0.01831574149750992,2493.8062712253663,2.479262934191508,0.0,0.03600720555505599,3.6007205555055988,2.340718137872071,-9.981307038559184e-06,47.986608795403995,0.04770959073839361,0.06898219034571682,12620.755305011367,17755.322446119597,39,3,7,-0.015382973700451549,3253,1.5382973700451548,1.5452385657027046,25.686462020868444,0.025011449968756837,0.001007004000000004,False,0.8068613480028547,1.4068351708767723,10,3.337824819239902,0.8026220867827303,0.3651674181370663,5486.897458572852,17,0.05134567141108186,5.134567141108186,5486.913566950699,107,0.20696324951644102,1.448742746615087,0.006438707255252393,0.0,0.6355140186915887,68,-0.008936711105650419,-413.8941667328617,-0.3944534058517389,0.08,0.0005,20,1.25,1.5,0.015,120,0,1.3933851487735853,0.06854511741545516,2.180868987087769,0.6794510958597646,8,6,187.3241496483573,133,11
True,False,2.0,1.2,0.4,104.02132788618687,30,8,400,False,vwap_profile_confluence,12,8,36,0.01,True,0.8,0.67,0.025,48,0.8,72.21545458265217,40.620400011808755,12,0.001,0.0,-0.03944422418057305,4.30418876414619,8,-449.4034446216373,-0.4635643740805182,-36.01114067775727,-0.036270811311807274,-0.0016183387304416418,201.4695445665993,0.20919570347021813,0.0251481336919972,1600.5236417659146,1.686639637992282,0.0,-0.03795438216913383,-3.7954382169133827,-0.45836855723769326,-2.0328468572639297e-05,-36.011140677757325,-0.036270811311807274,0.09622048513175921,24267.786009568415,18938.137189260335,54,3,14,-0.08280319749212654,11231,8.280319749212655,8.594083599495658,107.434216883542,0.1123488187925713,0.004933059999999934,False,0.44830440660333826,0.7803817448280332,4,0.6436525377917734,-0.8029112145850309,-0.28010614291295244,7511.090108011255,17,-0.05329648820308066,-5.329648820308066,37556.443987187806,148,0.2862669245647969,2.003868471953578,0.04530142134930761,0.0,0.6351351351351351,94,-0.022157119666986635,-535.8128983211241,-0.539864291158196,value_area,1.0,0.025,985,True,True,False,True,0.0,-0.005512414455565497,0.8450425338155149,8,-507.29119943721474,-0.464697149923314,106.92479830609054,0.10027062612836526,0.002671098541789842,286.9536252308524,0.2658646294538574,0.03943082550628518,2385.7222250885443,2.1181995199331785,0.0,0.11081224106763332,11.081224106763333,3.887235318992605,-1.2853647166769166e-05,106.92479830609052,0.10027062612836526,0.09767104520912241,17247.900780865304,33286.62052677888,34,3,16,-0.028506697427402163,2293,2.8506697427402163,2.878807200640707,41.690038442363296,0.03769581833655919,0.00099300400000005,False,0.5656585912572438,1.9298940172305965,11,5.626298797592853,1.8219747163619693,0.8214127996776087,10901.884293398167,17,0.16038719745913607,16.038719745913607,10901.922135923709,150,0.2901353965183752,2.0309477756286265,0.007499919989163864,0.0,0.7733333333333333,116,-0.008664727440861886,-624.9729417422196,-0.55589594053078,1.0,0.001,100,1.25,0.5,0.005,168,0,3.6765801108961194,0.18500451916307029,2.568002896150855,0.649278642173379,9,7,182.3894477880086,221,11
True,False,6.0,6.0,0.4,106.68722599613906,10,14,200,False,vwap_pullback,24,8,36,0.0005,True,2.0,0.33,0.025,168,0.68,59.20524480293201,33.675433162092844,48,0.0025,0.0,-0.022672844078582874,2.2882126910523195,9,-346.41695677810753,-0.3493682875086125,-39.533001681095634,-0.0399864529507495,-0.002966886724238433,106.60221503176713,0.10733823017204236,0.0058077574080042105,580.9704591068258,0.5791890125209251,0.0,-0.026116634182116405,-2.6116634182116405,-0.48541054348907353,-8.490116342858157e-06,-39.53300168109568,-0.0399864529507495,0.06986864372632766,10392.508703343226,6715.9395470013305,30,4,8,-0.053803186874337605,10338,5.3803186874337605,5.5107502157217585,44.94164468002669,0.04585741410303493,0.004933059999999954,False,0.30772805125717234,0.646228907640062,4,0.6833366887594958,-1.1153399552388525,-0.47402443880436185,1983.159045099017,17,-0.036765691563418225,-3.6765691563418224,9916.000790261956,93,0.17988394584139264,1.2591876208897486,0.027298245828351973,0.0,0.6774193548387096,63,-0.014518724497617486,-377.2406407431177,-0.3784216654670225,poc,2.0,0.04,1435,True,True,False,True,0.0,-0.009599803498621794,1.1055950605112275,9,-339.16099257564196,-0.33268683496390467,6.211913869841621,0.006513694704958738,0.00108981193208934,126.34162045957505,0.12449648763325903,0.016474754272580494,713.3666793142694,0.7045458851617502,0.0,0.004077937823895317,0.4077937823895317,0.136183922226882,-6.47093284636819e-06,6.211913869841638,0.006513694704958738,0.07405915061648803,8139.863821815407,8717.571811710683,24,4,19,-0.02994434113229229,7346,2.994434113229229,3.02756697484884,11.886318394015431,0.011633335566291092,0.0009930040000000117,False,0.37251223821500495,1.0709726848681396,6,0.192927267072934,0.17338453045528904,0.056911653560917555,2230.927465959358,17,0.005777079898952798,0.5777079898952797,2230.932505527214,93,0.17988394584139264,1.2591876208897486,0.012050236853572717,0.0,0.7419354838709677,69,-0.011729895902406473,-370.92236408591236,-0.36119035535134,1.0,0.001,75,1.5,0.75,0.04,48,0,2.0591590392005252,0.023182074079840506,1.9656500423641263,0.7251522902384971,7,8,171.4092605114951,170,11
True,False,4.0,8.0,0.4,75.17594163552945,40,14,100,True,profile_breakout,18,8,12,0.015,True,0.8,0.25,0.04,96,0.7,71.94293079492093,26.628552313751445,24,0.0,0.0,-0.030215888197497206,3.267775443201085,8,-457.83218228198217,-0.4670967189164672,-63.64761256068614,-0.06424416472646871,-0.002630239469606068,195.93734798748437,0.20104898071572547,0.013414805399605934,968.7077733873078,1.0076269731825682,0.0,-0.030774642177523237,-3.0774642177523237,-0.6036834683968083,-1.0197793653064298e-05,-63.64761256068617,-0.06424416472646871,0.043839149004754614,12361.468921613518,8033.431267486859,27,6,6,-0.05097810986815809,11209,5.097810986815809,5.177406387584102,61.60481758096647,0.06243815521744792,0.00493305999999994,False,0.4279676168915647,0.6498767515760798,5,0.8489992401287588,-0.9127796311924151,-0.1196919967532084,2125.4826066720643,17,-0.043280376541266596,-4.32803765412666,10627.623660075533,68,0.13152804642166344,0.920696324951644,0.03383525128411438,0.0,0.6029411764705882,41,-0.021597436664568592,-734.8724102927937,-0.7339867406970918,session_vwap,3.0,0.01,1267,True,False,False,True,0.0,-0.003357061469846973,0.577920584735403,8,-439.5450944224888,-0.43211379103638575,52.888767096986676,0.0528473764063456,0.004103037716455279,230.16495724399786,0.2274333966857289,0.02571474945869512,1349.713142251793,1.3093592332608253,0.0,0.025276021422419692,2.527602142241969,1.3607820248088398,-6.293937723462471e-06,52.88876709698671,0.0528473764063456,0.043839149004754614,7911.811699604798,11508.247862199893,18,2,8,-0.01857462911884835,6017,1.857462911884835,1.865779648645161,19.578272316332402,0.019423542944474625,0.000993004000000027,False,0.5236435582255966,1.454565439515546,9,1.9362088683351926,0.7213963547717833,0.08872948774921424,2549.1420715108457,17,0.03596436162595128,3.5964361625951278,2549.1507662396925,68,0.13152804642166344,0.920696324951644,0.0050793680635536,0.0,0.7352941176470589,50,-0.013325817402143891,-774.181592164556,-0.7501232443439738,1.0,0.0005,30,1.0,0.75,0.04,72,0,1.6555157139018255,0.02872748920860345,1.9723616329541551,0.6707431183221697,6,9,143.73607446141943,171,11
True,True,3.0,8.0,0.5,94.10900651215097,20,30,100,True,vwap_profile_confluence,12,8,6,0.001,True,0.5,0.33,0.08,240,0.75,77.74251486955362,38.019382853484984,36,0.001,0.0,-0.038354438929130916,3.9618644210650484,8,-562.0110579133536,-0.581985965779681,-28.591070328455874,-0.027953933697116965,-0.002629381765041296,287.9915239292476,0.30086182518115273,0.016251816356693816,1727.9119885950706,1.8291234841839559,0.0,-0.03992378761624005,-3.9923787616240047,-0.5706825436899865,-3.4582804641364845e-05,-28.59107032845594,-0.027953933697116965,0.1278104601498912,41026.80722767481,35422.957443297455,73,4,10,-0.06995796184354285,12026,6.995796184354284,6.971240593162291,86.109821423548,0.08926297778301778,0.004933060000000027,False,0.5124303514569776,0.8634100442357294,8,0.8010310244472406,-0.5037938412787002,-0.12308238736376656,7827.260217190604,17,-0.05603849784377409,-5.6038497843774095,39137.33510459108,196,0.379110251450677,2.653771760154739,0.04086476648821187,0.0,0.6275510204081632,123,-0.025260020114106663,-997.6365502866583,-1.000981807987646,atr,2.0,0.025,346,True,False,True,False,0.0,-0.00618359291616195,1.160077912598536,8,-646.2401464561798,-0.5841922571642041,147.28308226558502,0.13155142201895378,0.003986264774989724,413.60252204206773,0.37176676640234246,0.04326016393039822,2608.1806611642,2.3371143248769273,0.0,0.19526216725112477,19.526216725112477,5.931046999147616,-2.3344821889615063e-05,147.283082265585,0.13155142201895378,0.12797163349182045,31665.76717635281,60385.96821814192,49,3,12,-0.03292204011858058,2319,3.2922040118580584,3.3261907802321513,30.151967943220075,0.02800705659603254,0.0010070040000000368,False,0.6400136610363207,1.9069794798225077,14,8.723700274449229,1.9834817807737588,0.5380107443796438,10900.391252625745,17,0.28720201041788995,28.720201041788997,10900.441773659266,195,0.3771760154738878,2.6402321083172144,0.009972554588889994,0.0,0.7487179487179487,146,-0.007809189451171483,-1261.8155859320236,-1.0009802195866706,0.08,0.0005,50,1.5,1.5,0.005,168,0,7.784315329461053,0.047087787341628995,1.6144958362478585,0.669874254980638,6,10,138.8980890515606,313,11
